name,birth,incoming_links,outgoing_links
Charles Taylor (philosopher), (born 1931),Ludwig Wittgenstein:Hubert Dreyfus:Johann Georg Hamann:Martin Heidegger:Aristotle:Alexis de Tocqueville:Christopher Lasch:Daniel Bell:Karl Marx:William James:Maurice Merleau-Ponty:Johann Gottfried Herder:Plato:Alexander von Humboldt:Dame Iris Murdoch:Max Weber:George Herbert Mead:Wilfred Cantwell Smith:Sir Isaiah Berlin:Hans-Georg Gadamer:Émile Durkheim:Gilles Lipovetsky:Paul Ricœur:Michael Polanyi:John McDowell:G. W. F. Hegel:,Axel Honneth:Ken Wilber:Alain Touraine:Jack Layton:Nikolas Kompridis:Kwame Anthony Appiah:Hans Joas:Daniel A. Bell:Michael Walzer:Bhikhu Parekh:James K. A. Smith:David Lyon:Mary Poovey:Guy Laforest:Craig Calhoun:James Tully:Mark Stuart Edwards:Robert N. Bellah:Sean Dorrance Kelly:Charles Lindholm:Christian Smith:Joseph Augustine Di Noia:Michael J. Sandel:
Richard Taylor (philosopher), (1919–2003),Arthur Schopenhauer:,David Foster Wallace:
Gustav Teichmuller, (1837–1888),Aristotle:Johann Friedrich Herbart:Gottfried Wilhelm von Leibniz:Rudolf Hermann Lotze:,Friedrich Nietzsche:
Pierre Teilhard de Chardin, (1881–1955),John the Evangelist:David Hume:Origen:Charles Darwin:Karl Marx:Paul the Apostle:Jean-Jacques Rousseau:Sigmund Freud:Ignatius of Loyola:Henri Bergson:Friedrich Nietzsche:Edward Gibbon:Voltaire:,Julian Huxley:Theodosius Dobzhansky:Frank Tipler:Henri de Lubac:Thomas Berry:Pope Benedict XVI:Pope Francis:Marshall McLuhan:
Johannes Nikolaus Tetens, (1736–1807),Christian Wolff:David Hume:John Locke:Gottfried Wilhelm Leibniz:,Immanuel Kant:
Thales, (c. 635 – 543 BC),Ancient Egyptian religion:Ancient Egyptian mathematics:Babylonian astronomy:,Anaximenes:Anaximander:Pythagoras:Xenophanes:
Theophrastus, (372–287 BC),Aristotle:Plato:,Strato of Lampsacus:Alexander of Aphrodisias:Peripatetic school:
Thomas of Erfurt,NA,,Martin Heidegger:
Henry David Thoreau, (1817–1862),Aeschylus:Ralph Waldo Emerson:Charles Darwin:Étienne de La Boétie:Homer:Pindar:Thomas Carlyle:Alexander von Humboldt:Indian philosophy:Aristotle:Cato the Elder:,Mahatma Gandhi:Sinclair Lewis:Walt Whitman:Stanley Cavell:John Muir:Martin Luther King Jr.:W. B. Yeats:E. O. Wilson:Leo Tolstoy:Ernest Hemingway:Upton Sinclair:Glenn Gould:George Bernard Shaw:Christopher McCandless:John F. Kennedy:E. B. White:B. F. Skinner:Marcel Proust:John Zerzan:Emma Goldman:
Timon (philosopher), (c. 300 BC),Pyrrho:Xenophanes:Democritus:,Aenesidemus:Sextus Empiricus:
Alexis de Tocqueville, (1805–1859),Montesquieu:Malesherbes:Pascal:Rousseau:Aristotle:Voltaire:Senior:,Juan Bautista Alberdi:Harvey Mansfield:John Stuart Mill:Nassau William Senior:Leo Strauss:Emmanuel Todd:Pierre Hassner:Pierre Manent:Max Weber:Friedrich Hayek:Raymond Aron:Claude Lefort:Camillo Benso of Cavour:
Tzvetan Todorov, (1939–2017),Mikhail Bakhtin:Gérard Genette:,
John Toland, (1670–1722),John Locke:,
Friedrich Adolf Trendelenburg, (1802–1872),Friedrich Schleiermacher:Georg Wilhelm Friedrich Hegel:Johann Erich von Berger:Karl Leonhard Reinhold:Aristotle:de:Immanuel Kant:,Friedrich Paulsen:Gottlob Frege:Wilhelm Dilthey:G. S. Morris:Rudolf Christoph Eucken:Ernst Laas:Hermann Cohen:Franz Brentano:Søren Kierkegaard:
Ernst Troeltsch, (1865–1923),Albrecht Ritschl:Max Weber:,H. Richard Niebuhr:James Luther Adams:
Benjamin Tucker, (1854–1939),Ricardo:Bakunin:Warren:Proudhon:Spencer:Stirner:Jefferson:Smith:Molinari:Spooner:,Wilson:Armand:Cleyre:Carson:Rocker:Meulen:Chernyi:Mella:Mackay:Rothbard:
Nasir al-Din al-Tusi, (1201–1274),Mo'ayyeduddin Urdi:Fakhr al-Din Razi:Avicenna:Siraj Qumri:,Maitham Al Bahrani:Copernicus:ibn Khaldun:Qutb al-Din Shirazi:Ibn al-Shatir:
Michael Tye (philosopher), (born 1950),Ludwig Wittgenstein:Bertrand Russell:Frank Jackson:Fred Dretske:,
Hermann Ulrici, (1806–1884),G. W. F. Hegel:I. H. Fichte:,A. Seth Pringle-Pattison:George Sylvester Morris:
Omar Khayyam, (1048–1131),al-Khwārizmī:Euclid:Avicenna:Apollonius of Perge:,André Gide:Saccheri:Tusi:Hafez:John Wallis:Nizami Aruzi of Samarcand:Edward FitzGerald:Al-Khazini:
Miguel de Unamuno, (1864–1936),St. Augustine:Pascal:Sarmiento:Kierkegaard:Marcus Aurelius:Rousseau:,Txillardegi:José Ortega y Gasset:Joxe Azurmendi:
Peter Unger, (born 1942),Peter Singer:,
Hans Vaihinger, (1852–1933),Friedrich Forberg:African Spir:Arthur Schopenhauer:Friedrich Nietzsche:Immanuel Kant:,George Kelly:Hans Kelsen:James Hillman:Alfred Adler:
György Mihály Vajda, (born 1935),György Lukács:,Andrew Arato:
