name,birth,incoming_links,outgoing_links
Muhammad Abduh, (1849–1905),Abu Hamīd al-Ghāzāli:Ibn 'Arabi:Ibn Sina:Shihāb al-Din Sührawardį:Jamal ad-Din al-Afghani:Abu al-Mānsūr al-Matūrīdī:,Yusuf al-Qaradawi:Abul Kalam Azad:Rashid Rida:Mahmoud Taleghani:Muhammad Asad:Sayyid Qutb:Muhammad al-Tahir ibn Ashur:Mohammed al-Ghazali:Mustafa al-Maraghi:Hassan al-Banna:Mahmud Shaltut:
Peter Abelard, (1079–1142),Porphyry:Aristotle:Boethius:,William of Ockham:John of Salisbury:Arnold of Brescia:
Miguel Abensour, (1939–2017),Claude Lefort:,
Abhinavagupta, (fl. c. 975–1025),,Lakṣmaṇagupta:Bhūtirāja:Śambhunātha:
Robert Merrihew Adams, (born 1937),Gottfried Wilhelm Leibniz:Søren Kierkegaard:,
Adelard of Bath, (12th century),Aristotle:Plato:Euclid:Islamic philosophy:,Isaac of Stella:William of Conches:Peter Abelard:Hugh of Saint Victor:Robert Grosseteste:Roger Bacon:
Theodor Adorno, (1903–1969),Cornelius:Bloch:Kant:Lukács:Husserl:Freud:Marx:Kierkegaard:Weber:Horkheimer:Spengler:Kafka:Hegel:Proust:Berg:Schoenberg:Baudelaire:Simmel:Benjamin:Kracauer:Mann:Nietzsche:,Honneth:Habermas:Reichelt:Badiou:Benjamin:Fisher:Bauman:Zerzan:Žižek:Butler:Marcuse:Horkheimer:Jameson:Geuss:
Aenesidemus, (1st century BC),Timon:Heraclitus:Pyrrho:,Favorinus:Sextus Empiricus:Plutarch:
Jamal al-Din al-Afghani, (1839–1897),Avicenna:Nasir al-Din al-Tusi:Alpharabius:Mir Damad:Suhrawardi:Averroes:Mulla Sadra:Avempace:,Mirza Reza Kermani:Saad Zaghloul:Muhammad Abduh:Rashid Rida:Maulana Azad:
Agrippa the Sceptic, (1st/2nd century),Timon:Aenesidemus:Pyrrho:,Sextus Empiricus:
Hans Albert, (born 1921),Karl-Otto Apel:Karl Popper:Max Weber:,
Albert of Saxony (philosopher), (c. 1316–1390),Abu'l-Barakāt al-Baghdādī:Aristotle:Jean Buridan:William of Ockham:,
Albertus Magnus,), (1193?–1280),Jordan of Saxony:Avicebron:Avicenna:Maimonides:Al-Farabi:Proclian:Plotinus:Pseudo-Dionysius:Plato:Averroes:Aristotle:,Nicholas of Cusa:Thomas Aquinas:Meister Eckhart:Scholasticism:
Alcmaeon of Croton, (5th century BC),Pythagoras:,Plutarch:Galen:Calcidius:Favorinus:Stobaeus:Aristotle:
Alexander of Hales, (died 1245),Bernard of Clairvaux:Peter Lombard:Richard of Saint Victor:Pseudo-Dionysius:St. Augustine:Aristotle:St. Anselm:,Richard Rufus of Cornwall:Alexander Carpenter:Bonaventure:
Samuel Alexander, (1859–1938),Bertrand Russell:T. H. Green:Baruch Spinoza:F. H. Bradley:Immanuel Kant:,John Anderson:Alfred North Whitehead:
Louis Althusser, (1918–1990),Montesquieu:Mao Zedong:G. W. F. Hegel:Georges Canguilhem:Karl Marx:Jean Cavaillès:Antonio Gramsci:Baruch Spinoza:Sigmund Freud:Jacques Lacan:Jean-Jacques Rousseau:Niccolò Machiavelli:Gaston Bachelard:Vladimir Lenin:,Nicos Poulantzas:Étienne Balibar:Jacques Rancière:Giulio Angioni:Roy Bhaskar:Stephen Resnick:Pierre Bourdieu:Dominique Lecourt:Gilles Deleuze:Stuart Hall:Judith Butler:Alain Badiou:Richard D. Wolff:Slavoj Žižek:Terry Eagleton:Jacques-Alain Miller:Pierre Macherey:Anthony Giddens:Michel Foucault:Mahdi Amel:
Ammonius Saccas, (3rd century),Aristotle:Plato:Socrates:,Origen:Plotinus:Tertullian:Hypatia:
Anaxagoras, (died 462 BC),Milesian school:Parmenides:,John Stuart Mill:Archelaus:Socrates:Protagoras:Pericles:
Anaximander, (c. 610 BC–c. 546 BC),Thales of Miletus:,Democritus:Heidegger:Pythagoras:Greek astronomy:Anaximenes:
Anaximenes of Miletus, (6th century BC),Thales:Anaximander:,Scylax of Caryanda:Heraclitus:Diogenes of Apollonia:Leucippus:
John Anderson (philosopher), (1893–1962),Heraclitus:Bertrand Russell:G. E. Moore:Henry Jones:Samuel Alexander:,Hedley Bull:J. L. Mackie:Eugene Kamenka:David Stove:A. J. Baker:John Passmore:David Armstrong:
G. E. M. Anscombe, (1918–2001),Ludwig Wittgenstein:Thomas Aquinas:Peter Geach:,Anthony Kenny:Roger Scruton:Thomas Nagel:Donald Davidson:Charles Taylor:Iris Murdoch:Philippa Foot:Michael Dummett:Brian Davies:John Searle:Alasdair MacIntyre:
Anselm of Canterbury, (1034–1109),Augustine of Hippo:Boethius:,Thomas Bradwardine:Bonaventure:William of Ockham:Thomas Aquinas:Robert Grosseteste:Duns Scotus:
Antisthenes,NA,Heraclitus:,
Karl-Otto Apel, (1922–2017),Georg Henrik von Wright:Max Horkheimer:Charles S. Peirce:Martin Heidegger:Immanuel Kant:,Vittorio Hösle:Jürgen Habermas:Hans-Hermann Hoppe:
Thomas Aquinas, (1225–1274),Avicenna:Maimonides:Al-Ghazali:Socrates:Pseudo-Dionysius:St. Paul:Augustine of Hippo:Boethius:Plato:Anselm of Canterbury:Cicero:Albertus Magnus:Averroes:Aristotle:,Protestant theology:Western philosophy:Catholic theology:
Arcesilaus, (316–241 BC),Theophrastus:Crantor:Timon of Phlius:Crates of Athens:Socrates:Plato:Pyrrho:Polemo:,Plutarch:Clitomachus:Carneades:Philo of Larissa:Favorinus:Lacydes:Cicero:
Archytas, (428–347 BC),Philolaus:,Eudoxus of Cnidus:Menaechmus:
Hannah Arendt, (1906–1975),Walter Benjamin:Heinrich Blücher:Montesquieu:Goethe:Heidegger:Karl Marx:Socrates:Rosa Luxemburg:Kant:Saint Augustine:Karl Jaspers:Aristotle:,Elisabeth Young-Bruehl:Jacques Rancière:Seyla Benhabib:Giorgio Agamben:Julia Kristeva:Mario Kopić:Claude Lefort:Emerita Quito:
Aristippus, (c. 435–366 BC),Socrates:,Theodorus:Epicurus:Anniceris:Arete of Cyrene:Aristippus the Younger:Hegesias:Michel Onfray:
Aristotle, (384 BC–322 BC),Western philosophy:Aristotelianism:Enlightenment:List of writers influenced by Aristotle:Averroes:Aquinas:,
David Malet Armstrong, (1926–2014),John Anderson:,
Antoine Arnauld, (1612–1694),Augustine:Thomas Bradwardine:Bernard of Clairvaux:Estius:Cornelius Jansen:Aquinas:René Descartes:,Nicolas Malebranche:Francisque Bouillier:Gottfried Wilhelm Leibniz:Jacques-Bénigne Bossuet:
Kenneth Arrow, (1921–2017),Alfred Tarski:,
Augustine of Hippo, (354–430),Anaximander:Lucan:Socrates:Plotinus:Ambrose:Horace:Ambrosiaster:Aristotle:Seneca the Younger:Arnobius:Hilary of Poitiers:Ticonius:Plato:Stoicism:Cicero:Virgil:Terence:Paul:Optatus:Sallust:Monica:Victorinus:Cyprian:Quintilian:Anthony:Lactantius:,Protestant theology:Western philosophy:Catholic theology:
Marcus Aurelius, (121–180),Heraclitus:Sextus of Chaeronea:Apollonius:Socrates:Epictetus:Quintus:,Stoic philosophy:
Sri Aurobindo, (1872–1950),,Ken Wilber:Haridas Chaudhuri:Auroville:Mirra Alfassa:
John Austin (legal philosophy), (1790–1859),Jeremy Bentham:,H. L. A. Hart:Joseph Raz:
J. L. Austin, (1911–1960),G. E. Moore:Gottfried Wilhelm Leibniz:Gilbert Ryle:John Cook Wilson:Plato:Harold Arthur Prichard:Aristotle:Immanuel Kant:,Jürgen Habermas:Stanley Cavell:Judith Butler:John Searle:Rom Harré:
Richard Avenarius, (1843–1896),Hume:Kant:,Ernst Mach:Alexander Bogdanov:William James:Anatoly Lunacharsky:
Averroes,), (1126–1198),Avicenna:Al-Ghazali:Al-Farabi:Socrates:Plato:Avempace:Aristotle:Ibn Bajja:,Averroism:Boethius of Dacia:Maimonides:Gaetano da Thiene:John of Jandun:Al-Bitruji:Pietro Pomponazzi:Marcantonio Zimara:Thomas Aquinas:Marsilius of Padua:Agostino Nifo:Samuel ibn Tibbon:Siger of Brabant:
Avicenna,), (980–1037),Al-Biruni:Abul Hasan Hankari:Hippocrates:Galen:Rhazes:al-Farabi:al-Masihi:Neoplatonism:Aristotle:,Ibn al-Nafis:Tusi:Ibn Rushd:Maimonides:Hossein Nasr:William of Ockham:Shahab al-Din Suhrawardi:Enlightenment philosophers:Abu 'Ubayd al-Juzjani:Ibn Tufail:Duns Scotus:Albertus Magnus:Omar Khayyám:Al-Biruni:Aquinas:René Descartes:
Alfred Ayer, (1910–1989),Ludwig Wittgenstein:Bertrand Russell:David Hume:Vienna Circle:Karl Popper:Voltaire:Immanuel Kant:,Ted Honderich:R. M. Hare:Mihailo Marković:Peter Unger:Peter Strawson:
Gaston Bachelard, (1884–1962),Charles Nodier:Auguste Comte:Émile Meyerson:Abel Rey:Max Picard:Léon Brunschvicg:Carl Jung:,Rogelio Salmona:Cornelius Castoriadis:Nader El-Bizri:Michel Foucault:Georges Canguilhem:Gilles Deleuze:Louis Althusser:Michel Serres:François Dagognet:Maurice Merleau-Ponty:Gilbert Durand:Pierre Bourdieu:Don Ihde:Jules Vuillemin:Dominique Lecourt:Alexandre Koyré:
Francis Bacon, (1561–1626),Palissy:William Gilbert:Machiavelli:Plato:Telesio:Michel de Montaigne:Cicero:Biringuccio:Roger Bacon:Aristotle:Paracelsus:,Robert Boyle:Thomas Hobbes:Basil Montagu:William Petty:Encyclopédistes:Thomas Jefferson:Jean-Jacques Rousseau:Isaac Newton:John Locke:Feliks Koneczny:Voltaire:
Roger Bacon, (1214–1294),Avicenna:William of Sherwood:Al Kindi:Al Farabi:Ibn al-Haytham:Albumasar:Robert Grosseteste:Averroes:Aristotle:Adam Marsh:,Thomas Hobbes:Juan Bautista Alberdi:Francis Bacon:
Alain Badiou, (born 1937) ,Georg Cantor:Sylvain Lazarus:Fernando Pessoa:Mao Zedong:Stéphane Mallarmé:Paul Cohen:Louis Althusser:Gilles Deleuze:Karl Marx:Jean-François Lyotard:Jean Hyppolite:Plato:Vladimir Lenin:Samuel Beckett:Georges Canguilhem:Jean-Paul Sartre:Jacques Lacan:Friedrich Nietzsche:G. W. F. Hegel:,Mehdi Belhaj Kacem:Quentin Meillassoux:Simon Critchley:Justin Clemens:Nina Power:Tristan Garcia:Sylvain Lazarus:Peter Hallward:Alberto Toscano:François Laruelle:Ray Brassier:Oliver Feltham:Slavoj Žižek:Jason Barker:
Hibat Allah Abu'l-Barakat al-Baghdaadi, (1080–1165),Ibn Sina:,Samauʼal Al-Maghribī:Ibn Kammuna:Shahab al-Din Suhrawardi:Jean Buridan:Albert of Saxony:Abraham Ibn Ezra:Fakhr al-Din al-Razi:
Annette Baier, (1929–2012),Wilfrid Sellars:David Hume:,
Kurt Baier, (1917–2010),Stephen Toulmin:,Stephen Darwall:
Mikhail Bakhtin, (1895–1975),Fyodor Dostoyevsky:Charles Darwin:F. F. Zelinsky:Karl Marx:Ernst Cassirer:Sigmund Freud:Max Scheler:Friedrich Nietzsche:Hermann Cohen:Søren Kierkegaard:Immanuel Kant:,Tzvetan Todorov:Julia Kristeva:
Mikhail Bakunin, (1814–1876),Herzen:Hegel:Proudhon:Feuerbach:Buonarroti:Marx:,Thompson:Malatesta:Korsch:Nechaev:Goldman:Kropotkin:Postman:Chomsky:Cafiero:Marcuse:Neill:Guérin:
Étienne Balibar, (born 1942),Nicos Poulantzas:Hannah Arendt:Jacques Derrida:Louis Althusser:Michel Foucault:Karl Marx:Georg Wilhelm Friedrich Hegel:Jean Hippolyte:Baruch Spinoza:Jean Jacques Rousseau:Vladimir Lenin:,Stephen Resnick:Slavoj Žižek:John Milios:Jacques Rancière:
Roland Barthes, (1915–1980),Bataille:Lacan:Michelet:Freud:Lyotard:Saussure:Valéry:Nietzsche:Marx:Sartre:,Jean Baudrillard:Benoît Peeters:James Wood:Michel Foucault:Susan Sontag:Philippe-Joseph Salazar:Stuart Hall:Julia Kristeva:Eric de Kuyper:Gérard Genette:
Georges Bataille, (1897–1962),G. W. F. Hegel:Émile Durkheim:Marquis de Sade:Maria de Naglowska:Lev Shestov:René Guénon:Karl Marx:Marcel Mauss:Sigmund Freud:Friedrich Nietzsche:Alexandre Kojève:,Roland Barthes:Guy Debord:Jean Baudrillard:Michel Leiris:Jacques Derrida:Michel Foucault:Maurice Blanchot:Giorgio Agamben:Jacques Lacan:Julia Kristeva:Michel Onfray:Nick Land:
Jean Baudrillard, (1929–2007) ,Roland Barthes:Guy Debord:Marshall McLuhan:Soren Kierkegaard:Friedrich Nietzsche:Michel Foucault:Karl Marx:Marcel Mauss:Thorstein Veblen:Jorge Luis Borges:Henri Lefebvre:Georges Bataille:Ferdinand de Saussure:Alfred Jarry:,Gerald Vizenor:Sophie Calle:Peter Halley:Gilles Lipovetsky:Byung-Chul Han:The Wachowskis:Cody Wilson:Slavoj Žižek:Mario Perniola:Nick Land:
Bruno Bauer, (1809–1882),G. W. F. Hegel:Max Stirner:Ludwig Feuerbach:Arthur de Gobineau:David Strauss:,Charles Darwin:Karl Kautsky:Karl Marx:Max Stirner:Sigmund Freud:Friedrich Nietzsche:Friedrich Engels:Arthur Drews:
Alexander Gottlieb Baumgarten, (1714–1762),Gottfried Leibniz:Christian Wolff:,Johann Georg Sulzer:Georg Friedrich Meier:Johann Joachim Winckelmann:Immanuel Kant:
Pierre Bayle, (1647–1706),Descartes:Spinoza:,Diderot:Toland:Vico:Frederick the Great:Condorcet:Maupertuis:Jean-Jacques Rousseau:Mandeville:Hume:Voltaire:des Maizeaux:Gibbon:Berkeley:
Jakob Sigismund Beck, (1761–1840),Christian Jakob Kraus:Johann Schultz:Immanuel Kant:,
Nuel Belnap, (born 1930),Arthur Pap:Frederic Fitch:Paul Weiss:,
Friedrich Eduard Beneke, (1798–1854),John Locke:Immanuel Kant:,eo:Johann Gottlieb Dressler:Friedrich Ueberweg:Karl Fortlage:J. D. Morell:
Walter Benjamin, (1892–1940),Rickert:Brecht:Scholem:Strauss:Eric Gutkind:Adorno:Baudelaire:Kabbalah:Kafka:Bachofen:Hölderlin:Novalis:Lukács:Buber:Ludwig Klages:Marx:Proust:,Taussig:Scholem:Arendt:Adorno:Agamben:Derrida:Perret:Žižek:Sontag:Löwy:Nirenberg:Buck-Morss:
Jeremy Bentham, (1748–1832),Montesquieu:David Hume:Helvétius:Epicurus:Beccaria:Hobbes:Protagoras:Adam Smith:John Locke:,Francis Y. Edgeworth:John Stuart Mill:Henry Sidgwick:Michel Foucault:Peter Singer:John Austin:William Thompson:H. L. A. Hart:Étienne Dumont:A. V. Dicey:Robert Owen:Thomas Hodgskin:
Nikolai Berdyaev, (1874–1948),Dostoyevsky:Baader:Lev Shestov:Böhme:Semyon Frank:Hegel:Kant:Sergey Bulgakov:Solovyov:Leontiev:Seraphim of Sarov:Nietzsche:Khomyakov:,Kroner:Watts:Džalto:Mortimer J. Adler:Semyon Frank:Ellul:Sergey Bulgakov:Maurin:Huxley:Marcel:Ivan Devčić:
Gustav Bergmann, (1906–1987),Friedrich Waismann:Moritz Schlick:Walther Mayer:Rudolf Carnap:,John O'Neill:Vienna Circle:Berlin Circle:
Henri Bergson, (1859–1941),Gottfried Wilhelm Leibniz:Charles Darwin:Herbert Spencer:Arthur Schopenhauer:William James:Plotinus:Félix Ravaisson-Mollien:Maine de Biran:Spinoza:Immanuel Kant:,Necip Fazıl Kısakürek:Wyndham Lewis:Jacques Maritain:Nurettin Topçu:Henry Miller:Nikos Kazantzakis:Vladimir Nabokov:Guy Debord:Émile Bréhier:Gilles Deleuze:Alfred North Whitehead:Gabriel Marcel:Maurice Merleau-Ponty:Édouard Le Roy:Anna-Teresa Tymieniecka:Aldous Huxley:Alfred Schütz:Jawaharlal Nehru:Michel Aflaq:Muhammad Iqbal:Robert Frost:Liang Shuming:Jean-Paul Sartre:Vladimir Jankélévitch:Marcel Proust:Emmanuel Levinas:Emmanuel Mounier:
George Berkeley, (1685–1753),Isaac Newton:Nicolas Malebranche:Bayle:John Locke:,David Hume:Thomas Reid:John Stuart Mill:Ernst Mach:Arthur Schopenhauer:Immanuel Kant:Jorge Luis Borges:
Isaiah Berlin, (1909–1997),Ludwig Wittgenstein:John Stuart Mill:Charles Darwin:Alexander Herzen:Karl Marx:Leo Tolstoy:Giambattista Vico:Lev Shestov:Denis Diderot:Gotthold Ephraim Lessing:Johann Gottfried Herder:Sigmund Freud:Johann Georg Hamann:Friedrich Nietzsche:Benjamin Constant:,Mark Lilla:John Rawls:John Gray:Stephen Jay Gould:Michael Ignatieff:William Galston:Joxe Azurmendi:
Eduard Bernstein, (1850–1932),Jean Jaurès:Karl Kautsky:Hegel:Kant:Karl Höchberg:Marx:Engels:,SPD:Marxist revisionists:
Bessarion, (1403–1472),Gemistus Pletho:,Regiomontanus:Janus Lascaris:George of Trebizond:Theodore Gaza:John Argyropoulos:
Max Black, (1909–1988),Ludwig Wittgenstein:Bertrand Russell:Frank P. Ramsey:G. E. Moore:L. Susan Stebbing:,Anton Friedrich Koch:Keith Donnellan:
Simon Blackburn, (born 1944),Michael Dummett:David Hume:Casimir Lewy:,Michael A. Smith:
Maurice Blanchot, (1907–2003),Lautréamont:Heidegger:Sade:Kafka:Bataille:Hölderlin:Levinas:Maurras:Nietzsche:Mallarmé:,Nancy:Kofman:Barthes:Auster:Joris:Derrida:de Man:Kopić:Foucault:Deleuze:Beckett:Hill:
Brand Blanshard, (1892–1987),Clarence Irving Lewis:Bernard Bosanquet:F. H. Bradley:Horace W. B. Joseph:Josiah Royce:William Pepperell Montague:,A. C. Ewing:James A. Michener:
Ernst Bloch (philosopher), (1885–1977),G. W. F. Hegel:Karl Marx:Heinrich Rickert:Jacob Boehme:Thomas Müntzer:Paracelsus:,Jürgen Moltmann:Ernesto Balducci:Emmanuel Levinas:Walter Benjamin:Theodor W. Adorno:Fredric Jameson:
Ned Block, (born 1942),Hilary Putnam:Alan Turing:,
Maurice Blondel, (1861–1949),Émile Boutroux:,
Norberto Bobbio, (1909–2004),Carlo Cattaneo:Benedetto Croce:Vilfredo Pareto:Luigi Einaudi:Piero Gobetti:Carlo Rosselli:Hans Kelsen:Giorgio Del Vecchio:,Tercio Sampaio Ferraz Jr.:José Guilherme Merquior:Celso Lafer:Luiz Carlos Bresser-Pereira:
Jean Bodin, (1530–1596),Petrus Ramus:,Giovanni Botero:Hugo Grotius:Montesquieu:Eric Voegelin:
Jakob Böhme, (1575–1624),Kaspar von Schwenkfeld:Valentine Weigel:Paracelsus:,Friedrich Wilhelm Joseph Schelling:Hegel:Nikolai Berdyaev:John Amos Comenius:Paul Tillich:Schopenhauer:John Pordage:
Bernard Bolzano, (1781–1848),Immanuel Kant:Gottfried Wilhelm Leibniz:,Benno Kerry:Carl Stumpf:Georg Cantor:Jean Cavaillès:Kazimierz Twardowski:Kevin Mulligan:Gottlob Frege:Edmund Husserl:Gilbert Ryle:Heinrich Scholz:Franz Brentano:
Louis Gabriel Ambroise de Bonald, (1754–1840),Tacitus:Malthus:Bossuet:Socrates:Pascal:Chateaubriand:Plato:Thomas Aquinas:Hénault:Leibniz:Goldsmith:Joseph de Maistre:Augustine of Hippo:Aristotle:Rousseau:Malebranche:,René de La Tour du Pin:Léon Duguit:Louis Veuillot:Carl Schmitt:Balzac:Durkheim:Julius Evola:Chateaubriand:Juan Donoso Cortés:Lamennais:Comte:Charles Maurras:Joseph de Maistre:Frédéric Le Play:
Bonaventure, (1221–1274),Avicebron:Pseudo-Dionysius:Anselm of Canterbury:Stoicism:Cicero:St. Augustine:Aristotle:Alexander of Hales:,Hans Urs von Balthasar:Peter John Olivi:John of the Cross:Nicholas of Cusa:Josef Ratzinger:
George Boole, (1815–1864),Aristotle:Spinoza:Leibniz:Newton:,MacColl:Shannon:Johnson:De Morgan:Shestakov:Keynes:Jevons:Peirce:
Bernard Bosanquet (philosopher), (1848–1923),Hermann Lotze:John Stuart Mill:F. H. Bradley:G. W. F. Hegel:,
Pierre Bourdieu, (1930–2002),Heidegger:Darwin:Kant:Panofsky:Husserl:Freud:Wittgenstein:Saussure:Mauss:Marx:Aron:Durkheim:Strawson:Weber:Canguilhem:Gouhier:Elias:Bachelard:Althusser:Pascal:Sartre:Merleau-Ponty:Cassirer:Lévi-Strauss:Foucault:Nietzsche:,Anthony Giddens:Édouard Louis:Loïc Wacquant:Béatrice Galinon-Mélénec:Antanas Mockus:Didier Eribon:
Emile Boutroux, (1845–1921),Maine de Biran:,Maurice Blondel:Émile Durkheim:
Borden Parker Bowne, (1847–1910),George Berkeley:Gottfried Wilhelm Leibniz:Hermann Lotze:René Descartes:Immanuel Kant:,John W. E. Bowen Sr.:T. C. Chao:Randall Auxier:Walter George Muelder:
Robert Boyle, (1627–1691),Otto von Guericke:Francis Bacon:Galileo Galilei:Katherine Boyle Jones:Evangelista Torricelli:Samuel Hartlib:,
F. H. Bradley, (1846–1924),F. W. J. Schelling:Hermann Lotze:Johann Gottlieb Fichte:Immanuel Kant:G. W. F. Hegel:,Alfred North Whitehead:T. S. Eliot:C. A. Campbell:James Ward:Bernard Bosanquet:
Thomas Bradwardine, (c. 1290–1349),Anselm of Canterbury:Robert Grosseteste:,Jean Buridan:
Richard-Bevan Braithwaite, (1900–1990),G. E. Moore:,Imre Lakatos:Stephen Toulmin:
Richard B. Brandt, (1910–1997),,Allan Gibbard:Peter Railton:
Franz Brentano, (1838–1917),Aristotle:Bernard Bolzano:Friedrich Adolf Trendelenburg:,Martin Heidegger:George Stout:Rudolf Steiner:Carl Stumpf:Tomáš Garrigue Masaryk:Kazimierz Twardowski:Edmund Husserl:Sigmund Freud:Christian von Ehrenfels:Carl Menger:Anton Marty:Vittorio Benussi:Alexius Meinong:
Edgar S. Brightman, (1884–1953),William Ernest Hocking:Borden Parker Bowne:,L. Harold DeWolf:
C. D. Broad, (1887–1971),Bertrand Russell:G. E. Moore:Alfred North Whitehead:John Locke:William Ernest Johnson:,A. J. Ayer:
Emil Brunner, (1889–1966),Leonhard Ragaz:Martin Luther:John Calvin:Edmund Husserl:Martin Buber:Immanuel Kant:Søren Kierkegaard:,
Giordano Bruno, (1548–1600),Averroes:Nicolaus Cusanus:Nicolaus Copernicus:,Gottfried Wilhelm Leibniz:Galileo Galilei:Arthur Schopenhauer:James Joyce:Baruch Spinoza:Molière:
Leon Brunschvicg, (1869–1944),Arthur Schopenhauer:Charles Renouvier:Blaise Pascal:Michel de Montaigne:René Descartes:Immanuel Kant:,Jean Cavaillès:Louis Lavelle:Alexandre Koyré:Gaston Bachelard:Raymond Aron:
Martin Buber, (1878–1965),Pierre-Joseph Proudhon:Ralph Waldo Emerson:Zhuangzi:Ludwig Feuerbach:Wilhelm Dilthey:Sigmund Freud:Friedrich Nietzsche:Georg Simmel:Jacob L. Moreno:Rudolf Bultmann:Immanuel Kant:Søren Kierkegaard:,Fritz Perls:Hans Urs von Balthasar:Laura Perls:Abraham Joshua Heschel:Franz Rosenzweig:Gabriel Marcel:Walter Kaufmann:Emmanuel Levinas:Emil Brunner:John Berger:
Justus Buchler, (1914–1991),Peirce:,Kathleen A. Wallace:Armen Marsoobian:Robert S. Corrington:Victorino Tejera:Stephen David Ross:Beth J. Singer:Christopher Phillips:
Ludwig Büchner, (1824–1899),Charles Darwin:,
Rudolf Bultmann, (1884–1976),John Robinson:Heinrich Schlier:Herbert Braun:Uta Ranke-Heinemann:de:John Shelby Spong:,
Mario Bunge, (1919–2020),Bertrand Russell:Robert K. Merton:Alberto González Domínguez:Ludwig von Bertalanffy:Emile Meyerson:Manuel Sadosky:Domingo Faustino Sarmiento:David Hilbert:Guido Beck:Friedrich Engels:Gino Germani:,
Jacob Burckhardt, (1818–1897),Jules Michelet:,Johan Huizinga:Friedrich Nietzsche:
Tyler Burge, (born 1946),Donald Davidson:Immanuel Kant:Gottlob Frege:Hilary Putnam:,
Jean Buridan, (1300–1358),Porphyry:Thomas Bradwardine:Peter of Spain:John Philoponus:William of Ockham:Aristotle:,Peter of Ailly:Marsilius of Inghen:Nicole Oresme:Copernicus:Albert of Saxony:Nicholas of Cusa:Galileo:
Edmund Burke, (1729–1797),Montesquieu:Edward Coke:Thomas More:Hugo Grotius:David Hume:Joseph Butler:John Selden:Saint Augustine:Thomas Aquinas:Michel de Montaigne:Cicero:Erasmus:Sir William Blackstone:Aristotle:John Fisher:Rockingham:René Descartes:John Milton:,William F Buckley:John Maynard Keynes:William Wordsworth:Russell Kirk:C. H. Douglas:Hilaire Belloc:William Hazlitt:Alexis de Tocqueville:John Stuart Mill:William Ewart Gladstone:John Henry Newman:Lord Acton:Adam Smith:Immanuel Kant:Samuel Taylor Coleridge:G. K. Chesterton:Thomas Babington Macaulay:Warren H. Carroll:Thomas Carlyle:Slobodan Jovanović:Joseph de Maistre:Friedrich Hayek:
Joseph Butler, (1692–1752),Thomas Hobbes:Samuel Clarke:Plato:John Locke:Francis Hutcheson:,John Warwick Montgomery:David Hume:Thomas Reid:Edmund Burke:William Paley:Adam Smith:David Seabury:C. S. Lewis:Jeremy Bentham:
Judith Butler, (born 1956),Theodor Adorno:J. L. Austin:Jacques Derrida:Simone de Beauvoir:Michel Foucault:Louis Althusser:Karl Marx:Gayle Rubin:Monique Wittig:Maurice Merleau-Ponty:Luce Irigaray:Emmanuel Lévinas:Jacques Lacan:Sigmund Freud:Friedrich Nietzsche:G. W. F. Hegel:,Susan Stryker:Sandy Stone:Andrea Smith:Jasbir Puar:Pussy Riot:
Pierre Jean George Cabanis,NA,Marquis de Condorcet:,
Edward Caird, (1835–1908),Benjamin Jowett:,Henry Jones:John Watson:
Thomas Cajetan, (1469–1534),Pico della Mirandola:Saint Jerome:St. Thomas Aquinas:Saint Augustine:Duns Scotus:Averroes:Aristotle:,Henri de Lubac:Étienne Gilson:Ralph McInerny:
Albert Camus, (1913–1960),Augustine:Kafka:Marx:Weil:Stirner:Grenier:Dostoevsky:Schopenhauer:Nietzsche:Kierkegaard:Sartre:,
Georges Canguilhem, (1904–1995),Claude Bernard:Kurt Goldstein:Henri Bergson:Alain:Gaston Bachelard:,Michel Foucault:Gilles Deleuze:Louis Althusser:François Dagognet:Alain Badiou:Pierre Bourdieu:Dominique Lecourt:Arnold Davidson:Jacques-Alain Miller:
Claudia Card, (1940–2015),Susan Griffin:John Rawls:Marilyn Frye:Kant:Adrienne Rich:Marcus George Singer:Mary Daly:Schopenhauer:Nietzsche:,
Rudolf Carnap, (1891–1970),Russell:Kant:Bauch:Husserl:Einstein:Wittgenstein:Frege:Mach:Brentano:Tarski:,Waismann:Davidson:Kaplan:Reichenbach:Bar-Hillel:Sellars:Popper:Bergmann:Tarski:Hempel:Gödel:Lakatos:Dummett:Simon:Kuhn:Goodman:Negarestani:Lewis:Jeffrey:Ayer:Quine:
Carneades, (c. 214–129 BC),Arcesilaus:Plato:Diogenes of Babylon:,Clitomachus:Philo of Larissa:Sextus Empiricus:
Ernst Cassirer, (1874–1945),Friedrich Wilhelm Joseph Schelling:Gottfried Wilhelm Leibniz:Johann Wolfgang von Goethe:Hermann Cohen:Immanuel Kant:,Susanne Langer:Eric Weil:Wilbur Marshall Urban:Leo Strauss:
Hector-Neri Castañeda, (1924–1991),Wilfrid Sellars:Alexius Meinong:,John Perry:
