,name,birth,incoming_links,outgoing_links,page,latitude,longitude
34,Gemistus Pletho,1355-1452,Plotinus:Plato:Demetrios Kydones:,John Argyropoulos:Hermonymus of Sparta:Nicholas of Cusa:Marsilio Ficino:Cosimo de' Medici:Bessarion:,/wiki/Gemistus_Pletho,41.01389,28.95556
35,al-Tamimi,1140-1207,,Ibn Arabi:,/wiki/Mohammed_ibn_Qasim_al-Tamimi,FILL,FILL
36,William Godwin,1756-1836,d'Holbach:Rousseau:Helvétius:,Percy Bysshe Shelley:Herbert Read:,/wiki/William_Godwin,52.664,0.16
37,Gandillac,1906-2006,,Gilles Deleuze:,/wiki/Maurice_de_Gandillac,FILL,FILL
38,Hildegard of Bingen,1098-1179,Jutta von Sponheim:New Testament:Bernard of Clairvaux:John the Evangelist:John Scotus Eriugena:Old Testament:Paul the Apostle:Genesis:Augustine of Hippo:,Frederick I Barbarossa:Eugene III:Margot Fassler:Volmar:Abbot Suger:Elisabeth of Schönau:Grace McLean:constructed language:Rudolf Steiner:New Age movement:Anastasius IV:Mélanie Lipinska:,/wiki/Hildegard_of_Bingen,FILL,FILL
39,Hans Hahn,1879-1934,,Herbert Feigl:,/wiki/Hans_Hahn_(mathematician),48.2,16.367
40,Auguste Comte,1798-1857,Maistre:Bichat:Bacon:Condorcet:Diderot:Ibn Khaldun:Descartes:Saint-Simon:,Émile Durkheim:Eugen Dühring:Edward Spencer Beesly:Charles Darwin:George Henry Lewes:Karl Marx:Sigmund Freud:John Stuart Mill:Herbert Spencer:Pierre Laffitte:Harriet Martineau:Charles Maurras:Leo Strauss:Émile Littré:Friedrich Nietzsche:Frederic Harrison:,/wiki/Auguste_Comte,43.6119,3.8772
41,Horace W. B. Joseph,1867-1943,,Brand Blanshard:,/wiki/H._W._B._Joseph,FILL,FILL
42,Thomas Bayes,1702-1761,,Richard C. Jeffrey:,/wiki/Thomas_Bayes,51.50722,-0.1275
43,Grenier,1898-1971,,Albert Camus:,/wiki/Jean_Grenier,FILL,FILL
44,Gustav Bergmann,1906-1987,Friedrich Waismann:Walther Mayer:Rudolf Carnap:Moritz Schlick:,John O'Neill:Berlin Circle:Vienna Circle:,/wiki/Gustav_Bergmann,48.2,16.367
45,John Lucas (philosopher),1929-2020,Kurt Gödel:,Roger Penrose:,/wiki/John_Lucas_(philosopher),51.2365,-0.5703
46,Islamic philosophy,,,Adelard of Bath:,/wiki/Islamic_philosophy,FILL,FILL
47,Francisco Suárez,1548-1617,Aristotle:Avicenna:Alonso Rodriguez:Duns Scotus:Scholasticism:Thomas Aquinas:,Grotius:Wolff:Dos Santos:Bueno:Hale:Zubiri:Leibniz:Descartes:Heidegger:Salgado:,/wiki/Francisco_Su%C3%A1rez,37.17806,-3.60083
48,Norman Malcolm,1911-1990,Anselm of Canterbury:Søren Kierkegaard:Ludwig Wittgenstein:René Descartes:Oets Kolk (O.K.) Bouwsma:,Sydney Shoemaker:Oets Kolk (O.K.) Bouwsma:John Rawls:,/wiki/Norman_Malcolm,39.54111,-100.56694
49,Ludwig Andreas Feuerbach,1804-1872,Hegel:Jacobi:Daub:Luther:Spinoza:Böhme:Schleiermacher:,Nietzsche:Buber:Marx:Darwin:Wagner:Freud:Malaka:Bauer:Engels:Stirner:,/wiki/Ludwig_Andreas_Feuerbach,48.53972,12.15083
50,Cassuto,1883-1951,,Leo Strauss:,/wiki/Umberto_Cassuto,FILL,FILL
51,Emily Brontë,1818-1848,,Emil Cioran:,/wiki/Emily_Bront%C3%AB,FILL,FILL
52,Max Horkheimer,1895-1973,Dilthey:Hegel:Marx:Pollock:Cornelius:Freud:Kant:Schopenhauer:Adorno:,Marcuse:Habermas:Benjamin:Fromm:Adorno:,/wiki/Max_Horkheimer,48.817,9.167
53,André Bazin,1918-1958,,Stanley Cavell:,/wiki/Andr%C3%A9_Bazin,47.473612,-0.554167
54,Francis Parker Yockey,1917-1960,Joseph de Maistre:Karl Haushofer:Carl Schmitt:Oswald Spengler:Gregor Strasser:Ernst Niekisch:Ernst Jünger:Julius Evola:,H. Keith Thompson:Christian Bouchet:Willis Carto:James H. Madole:,/wiki/Francis_Parker_Yockey,41.88194,-87.62778
55,Ibn Miskawayh,940-1030,al-Kindi:Adurbad-e Mahrspandan:,Mulla Sadra:Nasir al-Din Tusi:,/wiki/Ibn_Miskawayh,FILL,FILL
56,Piera Aulagnier,1923-1990,,Cornelius Castoriadis:,/wiki/Piera_Aulagnier,FILL,FILL
57,Edmund Schlink,1903-1984,,Wolfhart Pannenberg:,/wiki/Edmund_Schlink,FILL,FILL
58,Melanie Klein,1882-1960,,Cornelius Castoriadis:,/wiki/Melanie_Klein,48.2,16.367
59,Michel Foucault,1926-1984,Klages:Hyppolite:Merleau-Ponty:Dumézil:Sade:Kant:Lagache:Canguilhem:Bataille:Barthes:Montaigne:Althusser:Bachelard:Freud:Deleuze:Nietzsche:Hegel:Marx:Artaud:Goffman:Blanchot:Heidegger:,Giorgio Agamben:Judith Butler:Stephen Greenblatt:David Halperin:Jacques Rancière:Edward Said:Pierre Bourdieu:Paul Rabinow:Gilles Deleuze:Félix Guattari:Hubert Dreyfus:Talal Asad:Saba Mahmood:,/wiki/Michel_Foucault,46.58,0.34
60,Guy Debord,1931-1994,Isidore Isou:Dada:Andre Breton:Henri Lefebvre:Friedrich Engels:Comte de Lautréamont:Karl Marx:Anton Pannekoek:Frankfurt School:György Lukács:Cornelius Castoriadis:Georges Bataille:G. W. F. Hegel:Marquis de Sade:Jean-Paul Sartre:,Giorgio Agamben:Paul Virilio:Ken Knabb:Tiqqun:Post-left anarchy:May 1968:Jean Baudrillard:John Zerzan:Punk rock:,/wiki/Guy_Debord,FILL,FILL
61,Axel Hägerström,1868-1939,,Alf Niels Christian Ross:,/wiki/Axel_H%C3%A4gerstr%C3%B6m,FILL,FILL
62,George Berkeley,1685-1753,John Locke:Isaac Newton:Bayle:Nicolas Malebranche:,Arthur Schopenhauer:Immanuel Kant:Ernst Mach:Jorge Luis Borges:John Stuart Mill:David Hume:Thomas Reid:,/wiki/George_Berkeley,FILL,FILL
63,Antoine Destutt de Tracy,1754-1836,Condillac:Cabanis:Locke:Condorcet:,Jefferson:,/wiki/Antoine_Destutt_de_Tracy,48.856613,2.352222
64,Gaston Bachelard,1884-1962,Charles Nodier:Auguste Comte:Émile Meyerson:Carl Jung:Abel Rey:Léon Brunschvicg:Max Picard:,Georges Canguilhem:Rogelio Salmona:Nader El-Bizri:Michel Foucault:François Dagognet:Don Ihde:Cornelius Castoriadis:Gilbert Durand:Alexandre Koyré:Pierre Bourdieu:Gilles Deleuze:Dominique Lecourt:Louis Althusser:Michel Serres:Maurice Merleau-Ponty:Jules Vuillemin:,/wiki/Gaston_Bachelard,48.27,4.72
65,Daub,1765-1836,,Ludwig Andreas Feuerbach:,/wiki/Karl_Daub,FILL,FILL
66,Pierre Corneille,1606-1684,,Voltaire:,/wiki/Pierre_Corneille,FILL,FILL
67,Franz Joseph Gall,1758-1828,,Jerry Fodor:,/wiki/Franz_Joseph_Gall,48.82417,8.80028
68,Giovanni Gentile,1875-1944,Nietzsche:Hegel:Bertrando Spaventa:Plato:Marx:Pasquale Galluppi:Rosmini:Darwin:Vincenzo Gioberti:Croce:Giambattista Vico:Freud:Giuseppe Mazzini:,Ugo Spirito:Giuseppe Bottai:Giovanni Treccani:Margherita Sarfatti:Benedetto Croce:Benito Mussolini:A. James Gregor:Armando Carlini:Luigi Federzoni:,/wiki/Giovanni_Gentile,FILL,FILL
69,Robert Brenner,1943-2043,,Gáspár Miklós Tamás:,/wiki/Robert_Brenner,40.71278,-74.00611
70,Theodor Adorno,1903-1969,Spengler:Kracauer:Husserl:Horkheimer:Schoenberg:Cornelius:Baudelaire:Lukács:Proust:Kant:Simmel:Freud:Berg:Kafka:Kierkegaard:Hegel:Nietzsche:Marx:Benjamin:Bloch:Mann:Weber:,Butler:Honneth:Zerzan:Marcuse:Bauman:Geuss:Habermas:Horkheimer:Benjamin:Fisher:Reichelt:Badiou:Jameson:Žižek:,/wiki/Theodor_Adorno,50.117,8.683
71,Nelson Goodman,1906-1998,Rudolf Carnap:Immanuel Kant:Carl G. Hempel:C. I. Lewis:David Hume:W. V. O. Quine:,Donald Davidson:Sidney Morgenbesser:Stanley Cavell:Israel Scheffler:Jerry Fodor:Arthur Danto:Kendall Walton:Catherine Elgin:Hilary Putnam:Noam Chomsky:Stephen Stich:W. V. O. Quine:,/wiki/Nelson_Goodman,42.3875,-71.1
72,Jesus of Nazareth,BC 5-30 AD,,Thomas Jefferson:,/wiki/Jesus,31.783,35.217
73,Felix Ravaisson-Mollien,1813-1900,Aristotle:Victor Cousin:Descartes:Schelling:Leibniz:Maine de Biran:Pascal:,Pierre Hadot:Louis Lavelle:Paul Ricœur:Martin Heidegger:Dominique Janicaud:Henri Bergson:François Laruelle:Maurice Merleau-Ponty:,/wiki/Felix_Ravaisson-Mollien,50.467,4.867
