,name,birth,incoming_links,outgoing_links,page,latitude,longitude
215,Chaldean Oracles,,,Giovanni Pico della Mirandola:,/wiki/Chaldean_Oracles,FILL,FILL
216,André Bazin,,,Stanley Cavell:,/wiki/Andr%C3%A9_Bazin,47.473612,-0.554167
217,Anton Marty, (1847–1914),Franz Brentano:,Roman Jakobson:,/wiki/Anton_Marty,47.017,8.65
218,Milton Friedman,,,Robert Nozick:,/wiki/Milton_Friedman,40.69278,-73.99028
219,Ibn Khaldun, (1332–1406),Aristotle:Avempace:Al-Farabi:Averroes:At-Turtushi:Ibn Abi Zar:Ibn Jarir:Al-Jahiz:Al-Ghazali:Ibn Hazm:,Ibn al-Khatib:Ibn al-Azraq:Çelebi:Ahmed Cevdet:Hume:Ibn al-Sakkak:Smith:Machiavelli:Mustafa Naima:Amel:Guenon:Schuon:Nasr:Ricardo:Hegel:Al-Maqrizi:Reagan:Laffer:Toynbee:,/wiki/Ibn_Khaldun,36.80639,10.18167
220,Susan Haack, (born 1945),Francis Bacon:W. V. O. Quine:C. S. Peirce:Frank P. Ramsey:,Luciano Floridi:,/wiki/Susan_Haack,FILL,FILL
221,Richard-Bevan Braithwaite, (1900–1990),G. E. Moore:,Stephen Toulmin:Imre Lakatos:,/wiki/Richard-Bevan_Braithwaite,52.061,-1.336
222,Artaud,,,Michel Foucault:,/wiki/Antonin_Artaud,43.2964,5.37
223,Martin Knutzen, (1713–1751),Franz Albert Schultz:John Locke:Christian Wolff:,Ludwig Ernst von Borowski:de:Immanuel Kant:Johann Georg Hamann:Benno Erdmann:,/wiki/Martin_Knutzen,54.71667,20.51667
224,Viète,,,René Descartes:,/wiki/Fran%C3%A7ois_Vi%C3%A8te,46.466,-0.8061
225,Henry Corbin, (1903–1978),Ibn Arabi:Nasr:Luther:Tabataba'i:Gilson:Suhrawardi:Massignon:Heidegger:Avicenna:,Charles Olson:Dariush Shayegan:James Hillman:Hossein Nasr:Gilbert Durand:Temenos Academy:Jacques Lacan:William Chittick:Harold Bloom:,/wiki/Henry_Corbin,48.856613,2.352222
226,Wolfgang Köhler, (1887–1967),,Karl Popper:,/wiki/Wolfgang_K%C3%B6hler,59.43722,24.74528
227,Louise Michel,,,Simone Weil:,/wiki/Louise_Michel,48.1492,5.5106
228,J. L. Austin, (1911–1960),Aristotle:Immanuel Kant:Plato:Gottfried Wilhelm Leibniz:G. E. Moore:John Cook Wilson:Gilbert Ryle:Harold Arthur Prichard:,Jürgen Habermas:Judith Butler:Stanley Cavell:John Searle:Rom Harré:,/wiki/J._L._Austin,54.047,-2.801
229,Charles Sanders Peirce, (1839–1914),Immanuel Kant:George Boole:Benjamin Peirce:Herbert Spencer:G. W. F. Hegel:Richard Whately:Thomas Reid:Duns Scotus:Georg Cantor:,C. W. Mills:Alfred Tarski:Richard Swedberg:William James:John Dewey:Gilles Deleuze:Umberto Eco:Christine Ladd:Louis Couturat:Ernst Schröder:John Deely:,/wiki/Charles_Sanders_Peirce,42.37361,-71.11056
230,Shimon bar Yochai,,,Vladimir Solovyov (philosopher):,/wiki/Shimon_bar_Yochai,32.76,35.53
231,Erich Fromm, (1900–1980),Kierkegaard:Marx:Bachofen:Korsch:Freud:Eckhart:Lukács:Spinoza:Dunayevskaya:Alfred Weber:,Elias Porter:Martin Luther King Jr.:Paulo Freire:Chögyam Trungpa:,/wiki/Erich_Fromm,50.117,8.683
232,Damião de Góis,,,John Henry Newman:,/wiki/Dami%C3%A3o_de_G%C3%B3is,39.05,-9.017
