,name,birth,incoming_links,outgoing_links,page,latitude,longitude
128,Lucretius, (c. 99 – 55 BC),Aristotle:Plato:Gaius Memmius:Socrates:Epicurus:,Pierre Gassendi:Arthur Schopenhauer:Charles Darwin:Stephen Greenblatt:Ovid:Montaigne:Karl Marx:Virgil:Sigmund Freud:Gilles Deleuze:Friedrich Nietzsche:Baruch Spinoza:Cicero:,/wiki/Lucretius,FILL,FILL
129,F. F. Zelinsky,,,Mikhail Bakhtin:,/wiki/Tadeusz_Stefan_Zieli%C5%84ski,FILL,FILL
130,Judith Butler, (born 1956),Jacques Derrida:Michel Foucault:Monique Wittig:Karl Marx:Theodor Adorno:Simone de Beauvoir:Sigmund Freud:Emmanuel Lévinas:Luce Irigaray:J. L. Austin:Jacques Lacan:G. W. F. Hegel:Louis Althusser:Friedrich Nietzsche:Maurice Merleau-Ponty:Gayle Rubin:,Sandy Stone:Jasbir Puar:Susan Stryker:Andrea Smith:Pussy Riot:,/wiki/Judith_Butler,41.48222,-81.66972
131,Leon Brunschvicg, (1869–1944),Arthur Schopenhauer:Immanuel Kant:Michel de Montaigne:René Descartes:Charles Renouvier:Blaise Pascal:,Gaston Bachelard:Louis Lavelle:Jean Cavaillès:Raymond Aron:Alexandre Koyré:,/wiki/Leon_Brunschvicg,48.856613,2.352222
132,Uexküll,,,Gilles Deleuze:,/wiki/Jakob_Johann_von_Uexk%C3%BCll,FILL,FILL
133,Ahad Ha'am,,,Gershom Scholem:,/wiki/Ahad_Ha%27am,FILL,FILL
134,Timon (philosopher), (c. 300 BC),Xenophanes:Pyrrho:Democritus:,Aenesidemus:Sextus Empiricus:,/wiki/Timon_(philosopher),37.846299,22.649131
135,Shakespeare,,,Stanley Cavell:,/wiki/William_Shakespeare,52.19278,-1.70639
136,Francis Parker Yockey, (1917–1960),Joseph de Maistre:Karl Haushofer:Carl Schmitt:Oswald Spengler:Gregor Strasser:Ernst Niekisch:Ernst Jünger:Julius Evola:,H. Keith Thompson:Christian Bouchet:Willis Carto:James H. Madole:,/wiki/Francis_Parker_Yockey,41.88194,-87.62778
137,Peter Lombard, (c. 1100 – 1160),Pseudo-Dionysius:Paul of Tarsus:Avicenna:Hugh of Saint Victor:Peter Abelard:Augustine of Hippo:,William of Ockham:Gabriel Biel:Bonaventure:Albert the Great:Duns Scotus:Thomas Aquinas:,/wiki/Peter_Lombard,45.45,8.617
138,Gesell,,,Maurice Merleau-Ponty:,/wiki/Arnold_Gesell,44.34,-91.92444
