,name,birth,incoming_links,outgoing_links,page,latitude,longitude,births
60,Luis de Molina, (1535–1600),Augustine of Hippo:Thomas Aquinas:,Alvin Plantinga:William Lane Craig:Western Theology:,/wiki/Luis_de_Molina,40.067,-2.15,AD 1535-09-29 00:00:00
61,Muhammad Iqbal, (1877–1938),Jami:Syed Mir Hassan:Sayyid Ali Hujwiri:Thomas Walker Arnold:Abd al-Karīm al-Jīlī:Bismil Azimabadi:Henri Bergson:Mir Sayyid Ali Hamadani:Johann Wolfgang von Goethe:Vladimir Lenin:Friedrich Nietzsche:Rumi:,Muhammad Ali Jinnah:Abul A'la Maududi:Ale Ahmed Suroor:Syed Jawad Naqvi:Dewan Mohammad Azraf:Muhammad Ishaq Madni:Pakistan Movement:Faiz Ahmed Faiz:Fateh Muhammad Malik:Khushwant Singh:Israr Ahmed:Ali Shariati:Islamic Republic of Pakistan:Muhammad Asad:,/wiki/Muhammad_Iqbal,32.4925,74.53111,AD 1877-11-09 00:00:00
62,Daube,,,Leo Strauss:,/wiki/David_Daube,47.995,7.85,AD 1909-02-08 00:00:00
63,Alfred Ayer, (1910–1989),Immanuel Kant:Vienna Circle:Karl Popper:Ludwig Wittgenstein:Bertrand Russell:Voltaire:David Hume:,Mihailo Marković:Peter Strawson:Peter Unger:Ted Honderich:R. M. Hare:,/wiki/Alfred_Ayer,51.50722,-0.1275,AD 1910-10-29 00:00:00
64,Jean-Jacques Rousseau,,,Louis Althusser:,/wiki/Jean-Jacques_Rousseau,46.20167,6.14694,AD 1712-06-28 00:00:00
65,Friedrich August Wolf,,,Friedrich Schleiermacher:,/wiki/Friedrich_August_Wolf,FILL,FILL,FILL
66,Harry Frankfurt, (born 1929),Kant:Descartes:Wittgenstein:,Susan Wolf:J. David Velleman:Pamela Hieronymi:John Martin Fischer:,/wiki/Harry_Frankfurt,40.1775,-74.91889,AD 1929-05-29 00:00:00
67,Jordan of Saxony,,,Albertus Magnus:,/wiki/Jordan_of_Saxony,51.80333,9.69028,AD 1190-11-01 00:00:00
68,Johann Heinrich Pestalozzi, (1746–1827),Jean-Jacques Rousseau:,Albert Einstein:Maria Montessori:,/wiki/Johann_Heinrich_Pestalozzi,31.4167,31.8167,AD 1746-01-12 00:00:00
69,Cornelius Jansen,,,Antoine Arnauld:,/wiki/Cornelius_Jansen,51.87889,5.13583,AD 1585-10-28 00:00:00
70,Charles Cooley,,,George Herbert Mead:,/wiki/Charles_Cooley,42.28139,-83.74833,AD 1864-08-17 00:00:00
71,Zhuang Zhou,) (circa 300 BC),Zhou Era:Chinese thought:Yang Zhu:Laozi:Mozi:Confucius:Hui Shi:,Daoism:Zen:Aleister Crowley:Chinese Buddhism:East Asian philosophies:Alan Watts:,/wiki/Zhuang_Zhou,28.4548,-80.5255,AD 0369-11-01 00:00:00
72,Anaximander, (c. 610 BC–c. 546 BC),Thales of Miletus:,Greek astronomy:Pythagoras:Democritus:Heidegger:Anaximenes:,/wiki/Anaximander,37.53028,27.27833,BC 0610-11-01 00:00:00
73,Ibn Arabi, (1164–1240),Ibn Masarra:Ibn al-Arif:Ibn Barrajan:Ibn Qasi:Hadith:Qur'an:al-Tamimi:Abu Madyan:,Jami:Yahya Efendi:Shah Waliullah:Abd al-Ghani:Sidi Bou Said:'Iraqi:al-Fanārī:Ibn Ajiba:Shabestari:Ahmed Mohammed al-Maqqari:Ni'matullah:Valsan:Nurbakhsh:Naquib al-Attas:al-Sha'rani:Ismail Hakki Bursevi:Schuon:al-Suyuti:Nasr:Qayṣarī:Fairuzabadi:Nursî:Hamzah Fansuri:Amuli:al-Shushtari:Guénon:al-Jīlī:Qunawi:Abdelkader:Mulla Sadra:Hamadani:Yusuf an-Nabhani:Ibn al-Farid:al-Alawi:Bitlisi:Corbin:Mahmoud:,/wiki/Ibn_Arabi,37.98611,-1.13028,AD 1165-07-28 00:00:00
74,Emmanuel Levinas, (1906–1995),Kierkegaard:Marcel:Wahl:Vladimir Jankélévitch:Buber:Rosenzweig:Shestov:Husserl:Henri Bergson:Monsieur Chouchani:Descartes:Heidegger:Maimonides:,Lingis:Butler:Critchley:Dussel:B.-H. Lévy:Bauman:Llewelyn:Bernasconi:Derrida:Marion:Agamben:Ronell:Blanchot:B. Lévy:Finkielkraut:Putnam:Ricoeur:,/wiki/Emmanuel_Levinas,54.89722,23.88611,AD 1906-01-12 00:00:00
75,Giacomo Leopardi, (1798–1837),Pietro Giordani:Monaldo Leopardi:Baron d'Holbach:Plato:Lucretius:Lucian:Virgil:Torquato Tasso:Vittorio Alfieri:Ugo Foscolo:Homer:,Arthur Schopenhauer:Umberto Saba:Giosuè Carducci:Carlo Michelstaedter:Samuel Beckett:Philipp Mainländer:Miguel de Unamuno:Albert Camus:Francesco De Sanctis:Friedrich Nietzsche:,/wiki/Giacomo_Leopardi,43.4,13.55,AD 1798-06-29 00:00:00
76,Susan Isaacs,,,Cornelius Castoriadis:,/wiki/Susan_Sutherland_Isaacs,53.6313,-2.4018,AD 1885-05-24 00:00:00
77,Shang,,,Confucius:,/wiki/Shang_dynasty,FILL,FILL,FILL
78,Beeckman,,,René Descartes:,/wiki/Isaac_Beeckman,51.5,3.617,AD 1588-12-10 00:00:00
79,Raymond Williams, (1921–1988),Louis Althusser:Karl Marx:Antonio Gramsci:,Terry Eagleton:Stuart Hall:Edward Said:,/wiki/Raymond_Williams,51.87907,-2.981892,AD 1921-08-31 00:00:00
80,Evald Vassilievich Ilyenkov, (1924–1979),Hegel:Marx:Lenin:Vygotsky:Spinoza:Engels:,Lev Naumenko:Vasily Davydov:Valerij Kovalenko:Sergei Mareev:,/wiki/Evald_Vassilievich_Ilyenkov,54.78278,32.04528,AD 1924-02-18 00:00:00
81,Hermann Ulrici, (1806–1884),I. H. Fichte:G. W. F. Hegel:,George Sylvester Morris:A. Seth Pringle-Pattison:,/wiki/Hermann_Ulrici,51.79028,14.77389,AD 1806-03-23 00:00:00
82,Erhard Weigel,,,Samuel Pufendorf:,/wiki/Erhard_Weigel,49.667,12.15,AD 1625-12-16 00:00:00
83,Rudolf von Jhering, (1818–1892),F. C. von Savigny:Jeremy Bentham:Charles Darwin:,Karl Llewellyn:Philipp Heck:,/wiki/Rudolf_von_Jhering,53.47139,7.48361,AD 1818-08-22 00:00:00
84,Paul Grice, (1913–1988),Peter Strawson:Aristotle:,Kent Bach:Stephen Levinson:Dan Sperber:Stephen Neale:John Searle:Ernest Lepore:Stephen Schiffer:Jonathan Bennett:Peter Strawson:Deirdre Wilson:,/wiki/Paul_Grice,52.48,-1.9025,AD 1913-03-13 00:00:00
85,Thales of Miletus,,,Anaximander:,/wiki/Thales_of_Miletus,37.53028,27.27833,BC 0626-01-01 00:00:00
86,Pindar,,,Friedrich Nietzsche:,/wiki/Pindar,38.417,23.083,AD 0518-11-01 00:00:00
87,Zeno of Sidon, (1st century BC),Epicurus:Apollodorus:,Philodemus:,/wiki/Zeno_of_Sidon,33.56056,35.37583,BC 0150-11-01 00:00:00
88,Alexandre Koyre, (1892–1964),Edmund Husserl:Gaston Bachelard:Victor Delbos:André Lalande:Henri Bergson:François Picavet:Léon Brunschvicg:E. A. Burtt:,Alexandre Kojève:Nader El-Bizri:Thomas Kuhn:Paul Feyerabend:Abdel Rahman Badawi:,/wiki/Alexandre_Koyre,47.217,38.917,AD 1892-08-29 00:00:00
89,Józef Maria Bocheński,,,Arthur Prior:,/wiki/J%C3%B3zef_Maria_Boche%C5%84ski,50.25,20.35,AD 1902-08-30 00:00:00
90,Mohammed Abed al-Jabri,,,Enrique Dussel:,/wiki/Mohammed_Abed_al-Jabri,32.11667,-1.22694,AD 1935-12-27 00:00:00
91,Radcliffe-Brown,,,Claude Lévi-Strauss:,/wiki/Alfred_Radcliffe-Brown,52.48,-1.9025,AD 1881-01-17 00:00:00
92,Ludwig von Westphalen,,,Karl Marx:,/wiki/Ludwig_von_Westphalen,52.25917,10.75333,FILL
93,Milesian school,,,Anaxagoras:,/wiki/Milesian_school,FILL,FILL,FILL
94,Paracelsus, (1493–1541),Neoplatonism:Johannes Trithemius:Marsilio Ficino:Pythagoreanism:Hermeticism:,Giorgio Agamben:Jane Bennett:Jan Baptist van Helmont:Adam Haslmayr:Thomas Muffet:Gabriel François Venel:Sir Thomas Browne:Franciscus Sylvius:,/wiki/Paracelsus,47.117,8.733,AD 1493-11-01 00:00:00
95,William Rankine,,,Pierre Duhem:,/wiki/William_Rankine,55.953,-3.189,AD 1820-07-05 00:00:00
96,Iris Marion Young, (1949–2006),Jürgen Habermas:Jacques Derrida:Michel Foucault:Karl Marx:Simone de Beauvoir:Maurice Merleau-Ponty:,Seyla Benhabib:,/wiki/Iris_Marion_Young,40.71278,-74.00611,AD 1949-01-02 00:00:00
97,Georges Sorel, (1847–1922),Ernest Renan:Paul de Rousiers:Aristotle:William Godwin:Pierre-Joseph Proudhon:Charles Darwin:Gustave Le Bon:Karl Marx:William James:Sigmund Freud:Hippolyte Taine:Henri Bergson:Alexis de Tocqueville:Giambattista Vico:Blaise Pascal:Vladimir Lenin:Friedrich Nietzsche:,Hubert Lagardelle:Michel Aflaq:Adolf Hitler:Walter Benjamin:Alain de Benoist:Carl Schmitt:Édouard Berth:Paolo Orano:Julius Evola:Benito Mussolini:Albert Camus:Vladimir Lenin:Curzio Malaparte:Antonio Gramsci:,/wiki/Georges_Sorel,49.639,-1.625,AD 1847-11-02 00:00:00
98,Leo the Great,,,John of Damascus:,/wiki/Pope_Leo_I,43.77139,11.25417,AD 0400-11-01 00:00:00
99,Fredric Jameson, (born 1934),Hegel:Raymond Williams:Ursula K. Le Guin:Ernst Bloch:Walter Benjamin:Karl Marx:Theodor Adorno:Northrop Frye:Erich Auerbach:Kenneth Burke:Frankfurt School:György Lukács:Vladimir Lenin:Philip K. Dick:Darko Suvin:Jean-Paul Sartre:Louis Althusser:,Kim Stanley Robinson:Perry Anderson:Alexander R. Galloway:Mark Fisher:Slavoj Žižek:Gopal Balakrishnan:,/wiki/Fredric_Jameson,41.48222,-81.66972,AD 1934-04-14 00:00:00
100,Bleuler,,,Carl Jung:,/wiki/Eugen_Bleuler,47.333,8.583,AD 1857-04-30 00:00:00
101,Sōseki,,,Watsuji Tetsuro:,/wiki/Natsume_S%C5%8Dseki,35.7018306,139.7361333,AD 1867-02-09 00:00:00
102,Ludwig Wittgenstein, (1889–1951),Johann Georg Hamann:Heinrich Hertz:Leo Tolstoy:William James:Fyodor Dostoyevsky:G. E. Moore:Otto Weininger:Bertrand Russell:Oswald Spengler:Piero Sraffa:Gottlob Frege:Augustine of Hippo:Arthur Schopenhauer:Karl Kraus:Hermann von Helmholtz:Adolf Loos:Søren Kierkegaard:Frank P. Ramsey:L. E. J. Brouwer:Ludwig Boltzmann:Georg Christoph Lichtenberg:Johann Wolfgang von Goethe:,Gilbert Ryle:Quentin Skinner:Ian Hacking:Vienna Circle:Stephen Toulmin:Jon Fosse:G. E. Moore:Bertrand Russell:James F. Conant:Alice Crary:Noam Chomsky:Rudolf Carnap:Saul Kripke:Hans Sluga:G. E. M. Anscombe:Peter Hacker:Alan Turing:Frank P. Ramsey:Thomas Kuhn:Norman Malcolm:Paul Feyerabend:John Searle:Daniel Dennett:Cora Diamond:Crispin Wright:James Tully:Talal Asad:,/wiki/Ludwig_Wittgenstein,48.2,16.367,AD 1889-04-26 00:00:00
103,Hugo Münsterberg,,,Morris Raphael Cohen:,/wiki/Hugo_M%C3%BCnsterberg,54.367,18.633,AD 1863-06-01 00:00:00
104,Constantin Pecqueur,,,Karl Marx:,/wiki/Constantin_Pecqueur,FILL,FILL,FILL
105,William Wollaston, (1659–1724),Cudworth:Clarke:Locke:Newton:Cumberland:Descartes:,John Conybeare:Samuel Johnson:John Clarke:,/wiki/William_Wollaston,52.8071,-2.19132,AD 1659-03-26 00:00:00
106,Max Stirner, (1806–1856),Hegel:Epicurus:Fichte:Proudhon:Sade:Feuerbach:Goethe:Yang:Bauer:Smith:,Vaneigem:Gross:Armand:Mühsam:Tucker:Wilson:Mackay:Novatore:Read:Mencken:Camus:Black:Engels:Evola:Brassier:Newman:Igualada:Jünger:Brand:Landauer:Pisarev:Steiner:Marsden:Freud:Arrigoni:Goldman:Bahnsen:Byington:Marx:Adler:Reich:Schmitt:,/wiki/Max_Stirner,49.94806,11.57833,AD 1806-10-25 00:00:00
107,G. E. L. Owen,,,Martha Nussbaum:,/wiki/G._E._L._Owen,50.80583,-1.08722,AD 1922-05-18 00:00:00
108,Mozi,) (c. 470 – c. 390 BC),,Zhuang Zhou:Chinese Buddhism:Logicians:Taoism:Eastern philosophy:,/wiki/Mozi,35.083,117.15,BC 0470-11-01 00:00:00
109,Lactantius,,,Augustine of Hippo:,/wiki/Lactantius,FILL,FILL,FILL
110,Hélène Metzger,,,Thomas Samuel Kuhn:,/wiki/H%C3%A9l%C3%A8ne_Metzger,48.8897,2.1573,AD 1889-08-26 00:00:00
111,Roland Barthes, (1915–1980),Nietzsche:Lacan:Bataille:Michelet:Lyotard:Marx:Saussure:Valéry:Sartre:Freud:,Benoît Peeters:James Wood:Michel Foucault:Gérard Genette:Susan Sontag:Stuart Hall:Jean Baudrillard:Eric de Kuyper:Philippe-Joseph Salazar:Julia Kristeva:,/wiki/Roland_Barthes,49.63,-1.62,AD 1915-11-12 00:00:00
112,Alexander Herzen, (1812–1870),Proudhon:Hegel:Rousseau:Voltaire:,Nietzsche:Guevara:Bakunin:Marx:Lenin:Mao:Darwin:Sartre:Stalin:Engels:Berlin:Freud:Trotsky:Castro:Frankfurt School:Kropotkin:Goldman:,/wiki/Alexander_Herzen,55.75583,37.61722,AD 1812-04-06 00:00:00
113,David Wiggins, (born 1933),,John McDowell:Jonathan Westphal:Jonathan Dancy:,/wiki/David_Wiggins,51.50722,-0.1275,AD 1933-03-08 00:00:00
114,Philippa Foot, (1920–2010),Aristotle:Ludwig Wittgenstein:Thomas Nagel:G. E. M. Anscombe:Thomas Aquinas:,Candace Vogler:Bernard Williams:Judith Jarvis Thomson:Rosalind Hursthouse:John McDowell:Michael Slote:,/wiki/Philippa_Foot,53.495228,-0.785656,AD 1920-10-03 00:00:00
115,Franz Albert Schultz,,,Martin Knutzen:,/wiki/Franz_Albert_Schultz,FILL,FILL,FILL
116,Errico Malatesta, (1853–1932),Pierre-Joseph Proudhon:Mikhail Bakunin:Peter Kropotkin:Carlo Cafiero:Élisée Reclus:,anarchism in Argentina:Virginia Bolten:FORA:Élisée Reclus:Antonio Gramsci:,/wiki/Errico_Malatesta,41.083,14.25,AD 1853-12-14 00:00:00
117,Gottfried Wilhelm Leibniz,,,Robert Merrihew Adams:,/wiki/Gottfried_Wilhelm_Leibniz,51.333,12.383,AD 1646-07-01 00:00:00
118,Robert Nozick, (1938–2001),Immanuel Kant:H.L. Mencken:Ludwig Von Mises:Milton Friedman:Henry Hazlitt:Sidney Morgenbesser:Friedrich von Hayek:John Locke:John Stuart Mill:Carl Gustav Hempel:Edmund Gettier:Murray Rothbard:,Roderick Long:Thomas Ernest Woods Jr.:Rand Paul:Walter Block:Ron Paul:Hans-Hermann Hoppe:Jan Narveson:David Schmidtz:Stefan Molyneux:Thomas Sowell:Lew Rockwell:Tamar Gendler:,/wiki/Robert_Nozick,40.69278,-73.99028,AD 1938-11-16 00:00:00
119,W. V. O. Quine, (1908–2000),Rudolf Carnap:Alfred Tarski:Vienna Circle:Pierre Duhem:A. N. Whitehead:Bertrand Russell:C. I. Lewis:B. F. Skinner:,Hao Wang:Donald Davidson:Roger Gibson:Daniel Dennett:David Lewis:Penelope Maddy:Hilary Putnam:Dagfinn Føllesdal:Noam Chomsky:Gilbert Harman:Peter van Inwagen:Richard Rorty:,/wiki/W._V._O._Quine,41.07306,-81.51778,AD 1908-06-25 00:00:00
120,Nicholas Wolterstorff, (born 1932),Alvin Plantinga:Thomas Reid:William Harry Jellema:John Calvin:Abraham Kuyper:Augustine of Hippo:,Gary Chartier:David Claerbaut:Kendall Walton:,/wiki/Nicholas_Wolterstorff,43.50417,-95.69,AD 1932-01-21 00:00:00
121,Miguel de Unamuno, (1864–1936),Kierkegaard:Sarmiento:St. Augustine:Marcus Aurelius:Rousseau:Pascal:,Joxe Azurmendi:Txillardegi:José Ortega y Gasset:,/wiki/Miguel_de_Unamuno,43.25694,-2.92361,AD 1864-09-29 00:00:00
122,Leskien,,,Ferdinand de Saussure:,/wiki/August_Leskien,54.32333,10.13944,AD 1840-07-08 00:00:00
123,Arthur Prior, (1914–1969),William Ernest Johnson:Charles Sanders Peirce:Józef Maria Bocheński:J. N. Findlay:Jan Łukasiewicz:,Max Cresswell:Robert Bull:Kit Fine:Ruth Barcan Marcus:John Lemmon:,/wiki/Arthur_Prior,-40.95278,175.65833,AD 1914-12-04 00:00:00
124,Jean-Luc Nancy, (born 1940),Nietzsche:Hegel:Bataille:Lacoue-Labarthe:Schelling:Granel:Derrida:Blanchot:Freud:Baudelaire:Simone Weil:Heidegger:,Avital Ronell:Shaj Mohan:Lacoue-Labarthe:Karimi:Esposito:Derrida:Agamben:Werner Hamacher:Blanchot:Todd May:Claire Denis:Divya Dwivedi:,/wiki/Jean-Luc_Nancy,44.84,-0.58,AD 1940-07-26 00:00:00
125,Genet,,,Jacques Derrida:,/wiki/Jean_Genet,48.856613,2.352222,AD 1910-12-19 00:00:00
126,Kurt Koffka, (1886–1941),Carl Stumpf:,Lev Vygotsky:Maurice Merleau-Ponty:Kurt Lewin:,/wiki/Kurt_Koffka,52.52,13.405,AD 1886-03-17 00:00:00
127,Eleusinian Mysteries,,,Plato:,/wiki/Eleusinian_Mysteries,FILL,FILL,FILL
128,Marmontel,,,John Stuart Mill:,/wiki/Jean-Fran%C3%A7ois_Marmontel,FILL,FILL,FILL
129,John Shelby Spong,,,Rudolf Bultmann:,/wiki/John_Shelby_Spong,35.22722,-80.84306,AD 1931-06-16 00:00:00
130,Peter Hacker,,,Joseph Raz:,/wiki/Peter_Hacker,,,AD 1939-07-15 00:00:00
131,Brian Ellis,,,Frank Cameron Jackson:,/wiki/Brian_David_Ellis,,,AD 1929-01-01 00:00:00
132,Georg Friedrich Meier, (1718–1777),A. G. Baumgarten:,Immanuel Kant:,/wiki/Georg_Friedrich_Meier,51.4269,11.9825,AD 1718-03-26 00:00:00
133,Jean Cavaillès, (1903–1944),Bernard Bolzano:Léon Brunschvicg:,Gilles-Gaston Granger:Georges Canguilhem:Jean Hyppolite:Louis Althusser:Jules Vuillemin:,/wiki/Jean_Cavaill%C3%A8s,46.4136,-0.2069,AD 1903-05-15 00:00:00
134,Lawrence,,,Gilles Deleuze:,/wiki/D._H._Lawrence,53.018,-1.304,AD 1885-09-11 00:00:00
135,Peter Wessel Zapffe, (1899–1990),Arthur Schopenhauer:Henrik Ibsen:Henri-Frédéric Amiel:Sigmund Freud:Friedrich Nietzsche:Jakob Johann von Uexküll:,Herman Tønnessen:Thomas Ligotti:,/wiki/Peter_Wessel_Zapffe,69.68278,18.94278,AD 1899-12-18 00:00:00
136,Polemo,,,Arcesilaus:,/wiki/Polemon_(scholarch),FILL,FILL,FILL
137,Alberico Gentili,,,Hugo Grotius:,/wiki/Alberico_Gentili,43.1,13.317,AD 1552-01-14 00:00:00
138,Thrasymachus of Corinth,,,Stilpo:,/wiki/Thrasymachus_of_Corinth,FILL,FILL,FILL
139,Strato of Lampsacus, (c. 340 – c. 268 BC),Aristotle:Theophrastus:,Pierre Bayle:,/wiki/Strato_of_Lampsacus,40.34667,26.69917,BC 0335-11-01 00:00:00
140,Paul Ricœur, (1913–2005),Marcel:Hegel:Levinas:Mounier:Benveniste:Husserl:Jakobson:Jaspers:Gadamer:Kant:,Richard Kearney:Jacques Derrida:Enrique Dussel:Don Ihde:Michel Henry:Cornelius Castoriadis:,/wiki/Paul_Ric%C5%93ur,44.9333,4.8917,AD 1913-02-27 00:00:00
141,Adolf Loos,,,Ludwig Wittgenstein:,/wiki/Adolf_Loos,49.1925,16.60833,AD 1870-12-10 00:00:00
142,Charles Stevenson,,,Allan Gibbard:,/wiki/Charles_Stevenson_(philosopher),39.1,-84.5125,AD 1908-06-27 00:00:00
143,Arthur Oncken Lovejoy, (1873–1962),,George Boas:,/wiki/Arthur_Oncken_Lovejoy,52.52,13.405,AD 1873-10-10 00:00:00
144,Parsons,,,Jürgen Habermas:,/wiki/Talcott_Parsons,38.83389,-104.82528,AD 1902-12-13 00:00:00
145,Louis Gabriel Ambroise de Bonald, (1754–1840),Augustine of Hippo:Aristotle:Chateaubriand:Goldsmith:Plato:Pascal:Malebranche:Tacitus:Bossuet:Malthus:Socrates:Hénault:Joseph de Maistre:Leibniz:Rousseau:Thomas Aquinas:,Durkheim:Joseph de Maistre:Léon Duguit:Charles Maurras:Juan Donoso Cortés:Carl Schmitt:Balzac:Comte:Louis Veuillot:Lamennais:René de La Tour du Pin:Frédéric Le Play:Chateaubriand:Julius Evola:,/wiki/Louis_Gabriel_Ambroise_de_Bonald,44.0986,3.0783,AD 1754-10-02 00:00:00
146,Hermann Lotze, (1817–1881),F. W. J. Schelling:E. H. Weber:Johann Gottlieb Fichte:Alfred Wilhelm Volkmann:G. W. F. Hegel:Christian Hermann Weisse:Johann Friedrich Herbart:Jakob Friedrich Fries:Gustav Theodor Fechner:,James Ward:Wilhelm Windelband:Edmund Husserl:T. H. Green:George Trumbull Ladd:Georg Elias Müller:Josiah Royce:William James:Bertrand Russell:Borden Parker Bowne:Hermann Helmholtz:Carl Stumpf:Gottlob Frege:,/wiki/Hermann_Lotze,51.18139,14.42417,AD 1817-05-21 00:00:00
147,Ernst Troeltsch, (1865–1923),Albrecht Ritschl:Max Weber:,James Luther Adams:H. Richard Niebuhr:,/wiki/Ernst_Troeltsch,48.308,10.904,AD 1865-02-17 00:00:00
148,Maria de Naglowska,,,Georges Bataille:,/wiki/Maria_de_Naglowska,FILL,FILL,FILL
149,Henri Lefebvre, (1901–1991),Gaston Bachelard:Friedrich Engels:François Rabelais:Martin Heidegger:Karl Marx:Heraclitus:Maurice Merleau-Ponty:Roland Barthes:Kostas Axelos:G. W. F. Hegel:Vladimir Lenin:Friedrich Nietzsche:Jean-Jacques Rousseau:,Guy Debord:Situationist International:Michel de Certeau:Raoul Vaneigem:Edward Soja:Mark Poster:David Harvey:Neil Smith:Jean Baudrillard:Fredric Jameson:Jean-Paul Sartre:,/wiki/Henri_Lefebvre,43.6561,-0.5925,AD 1901-06-16 00:00:00
150,John the Evangelist,,,Hildegard of Bingen:,/wiki/John_the_Evangelist,55.9486,-3.2008,FILL
151,Reinhardt,,,Leo Strauss:,/wiki/Karl_Reinhardt_(philologist),FILL,FILL,FILL
152,Pherecydes,,,Pythagoras:,/wiki/Pherecydes_of_Syros,37.6381,21.6306,AD 0580-11-01 00:00:00
153,Charles Leslie Stevenson, (1908–1979),I. A. Richards:Ralph Barton Perry:Ludwig Wittgenstein:G. E. Moore:David Hume:,William Fontaine:Allan Gibbard:,/wiki/Charles_Leslie_Stevenson,39.1,-84.5125,AD 1908-06-27 00:00:00
154,Bas C. van Fraassen, (born 1941),Hans Reichenbach:Adolf Grünbaum:Wilfrid Sellars:Albert Camus:Jean-Paul Sartre:,Alvin Plantinga:Arthur Fine:Elisabeth Lloyd:Nancy Cartwright:Hans Halvorson:Michael Rea:,/wiki/Bas_C._van_Fraassen,51.5,3.883,AD 1941-04-05 00:00:00
155,Ranajit Guha,,,Gayatri Chakravorty Spivak:,/wiki/Ranajit_Guha,FILL,FILL,FILL
156,Stephen Toulmin,,,Kurt Baier:,/wiki/Stephen_Toulmin,51.50722,-0.1275,AD 1922-03-25 00:00:00
157,Hénault,,,Louis Gabriel Ambroise de Bonald:,/wiki/Charles-Jean-Fran%C3%A7ois_H%C3%A9nault,48.856613,2.352222,AD 1685-02-08 00:00:00
158,Martha Nussbaum, (born 1947),Aristotle:Bernard Williams:G. E. L. Owen:Amartya Sen:John Stuart Mill:John Rawls:Adam Smith:Catharine MacKinnon:,David G. Hebert:Elizabeth S. Anderson:Louise Antony:Amartya Sen:Linda Martín Alcoff:,/wiki/Martha_Nussbaum,40.71278,-74.00611,AD 1947-05-06 00:00:00
159,Karl Leonhard Reinhold, (1757–1823),Immanuel Kant:Christoph Martin Wieland:John Spencer:Christoph Gottfried Bardili:,Salomon Maimon:Friedrich Schiller:Adolf Trendelenburg:Johann Gottlieb Fichte:August Ludwig Hülsen:Jakob Friedrich Fries:,/wiki/Karl_Leonhard_Reinhold,48.2,16.367,AD 1757-10-26 00:00:00
160,Henri-Frédéric Amiel,,,Peter Wessel Zapffe:,/wiki/Henri-Fr%C3%A9d%C3%A9ric_Amiel,46.20167,6.14694,AD 1821-09-27 00:00:00
161,Gustav Hugo,,,Friedrich Karl von Savigny:,/wiki/Gustav_Hugo,FILL,FILL,FILL
162,Carl Stumpf, (1848–1936),Bernard Bolzano:Franz Brentano:Hermann Lotze:,Edmund Husserl:Kurt Koffka:Max Scheler:George Stout:Kurt Lewin:Wolfgang Köhler:Robert Musil:,/wiki/Carl_Stumpf,49.8,10.35,AD 1848-04-21 00:00:00
163,Herbert James Paton,,,Gilbert Ryle:,/wiki/Herbert_James_Paton,56.33302,-3.31163,AD 1887-03-30 00:00:00
164,Johann Gottfried Herder, (1744–1803),Immanuel Kant:Johann Joachim Winckelmann:Kalidasa:Johann Georg Hamann:Thomas Blackwell:Baruch Spinoza:Thomas Abbt:,Friedrich Schleiermacher:Wilhelm Dilthey:Walter Rauschenbusch:Franz Boas:Johann Christoph Adelung:Ľudovít Štúr:Hippolyte Taine:G. W. F. Hegel:J. S. Mill:Wilhelm von Humboldt:August Wilhelm Schlegel:Johann Wolfgang von Goethe:Karl Wilhelm Friedrich Schlegel:Friedrich Nietzsche:,/wiki/Johann_Gottfried_Herder,53.917,19.933,AD 1744-08-25 00:00:00
165,Pierre Teilhard de Chardin, (1881–1955),Charles Darwin:Karl Marx:Ignatius of Loyola:Sigmund Freud:Origen:John the Evangelist:Voltaire:Henri Bergson:Paul the Apostle:David Hume:Friedrich Nietzsche:Jean-Jacques Rousseau:Edward Gibbon:,Henri de Lubac:Thomas Berry:Julian Huxley:Marshall McLuhan:Theodosius Dobzhansky:Frank Tipler:Pope Benedict XVI:Pope Francis:,/wiki/Pierre_Teilhard_de_Chardin,45.7833,3.0131,AD 1881-05-01 00:00:00
166,Gaëtan Gatian de Clérambault,,,Jacques Lacan:,/wiki/Ga%C3%ABtan_Gatian_de_Cl%C3%A9rambault,47.0844,2.3964,FILL
167,Borden Parker Bowne, (1847–1910),Immanuel Kant:George Berkeley:Hermann Lotze:Gottfried Wilhelm Leibniz:René Descartes:,Randall Auxier:T. C. Chao:John W. E. Bowen Sr.:Walter George Muelder:,/wiki/Borden_Parker_Bowne,40.29,-74.15,AD 1847-01-14 00:00:00
168,Petrus Ramus, (1515–1572),,Jean Bodin:,/wiki/Petrus_Ramus,49.5319,3.1006,AD 1515-11-01 00:00:00
169,Hans Reichenbach, (1891–1953),Kurt Grelling:Paul Hensel:,Carl Gustav Hempel:Takiyettin Mengüşoğlu:Hilmi Ziya Ülken:İoanna Kuçuradi:,/wiki/Hans_Reichenbach,53.56528,10.00139,FILL
170,Friedrich Albert Lange, (1828–1875),Hermann von Helmholtz:Immanuel Kant:,Friedrich Nietzsche:Hermann Cohen:Eduard Bernstein:,/wiki/Friedrich_Albert_Lange,51.16667,7.08333,AD 1828-09-28 00:00:00
