,name,birth,incoming_links,outgoing_links,page,latitude,longitude,births
400,William of Sherwood,,,Roger Bacon:,/wiki/William_of_Sherwood,FILL,FILL,FILL
401,Gouhier,,,Pierre Bourdieu:,/wiki/Henri_Gouhier,FILL,FILL,FILL
402,Edward Coke,,,Edmund Burke:,/wiki/Edward_Coke,52.73751,0.83397,AD 1552-02-01 00:00:00
403,Ibn Taymiya, (1263–1328),Abdul Qadir Gilani:Al-Hasan ibn 'Ali al-Barbahari:Muhammad ibn Karram:,Al-Maqrizi:Ibn Al-Qayyim:Ibn al-Wardi:Ibn Muflih:Safar Al-Hawali:Muhammad ibn Abd al-Wahhab:Ibn Kathir:al-Dhahabi:Yusuf ibn Abd al-Rahman al-Mizzi:Ibn Abd al-Hadi:Rashid Rida:Ibn Rajab al-Hanbali:,/wiki/Ibn_Taymiya,36.8775,39.03389,AD 0661-11-01 00:00:00
404,Jaegwon Kim, (1934–2019),Carl Hempel:Roderick Chisholm:,Dean Zimmerman:,/wiki/Jaegwon_Kim,35.867,128.6,AD 1934-09-12 00:00:00
405,Gerhard Hessenberg,,,Leonard Nelson:,/wiki/Gerhard_Hessenberg,50.117,8.683,AD 1874-08-16 00:00:00
406,Franz Joseph Gall,,,Jerry Fodor:,/wiki/Franz_Joseph_Gall,48.82417,8.80028,AD 1758-03-09 00:00:00
407,Jean Wahl, (1888–1974),Søren Kierkegaard:Nicolai Hartmann:George Santayana:Martin Heidegger:William James:Henri Bergson:G. W. F. Hegel:,Emmanuel Levinas:Gilles Deleuze:Jean-Paul Sartre:,/wiki/Jean_Wahl,43.2964,5.37,AD 1888-05-25 00:00:00
408,Alexis de Tocqueville, (1805–1859),Aristotle:Montesquieu:Voltaire:Malesherbes:Rousseau:Senior:Pascal:,Pierre Hassner:Max Weber:Claude Lefort:Emmanuel Todd:Raymond Aron:Juan Bautista Alberdi:John Stuart Mill:Pierre Manent:Nassau William Senior:Harvey Mansfield:Camillo Benso of Cavour:Leo Strauss:Friedrich Hayek:,/wiki/Alexis_de_Tocqueville,48.856613,2.352222,AD 1805-07-29 00:00:00
409,Jacques Rancière, (born 1940),Lacan:Aristotle:Lyotard:Plato:Marx:Althusser:Lefort:Arendt:Badiou:Foucault:,Žižek:Critchley:Kristin Ross:Jodi Dean:Gabriel Rockhill:Todd May:Laclau:Levi Bryant:Bernard Aspe:,/wiki/Jacques_Ranci%C3%A8re,36.75389,3.05889,AD 1940-06-10 00:00:00
410,Carl Jung, (1875–1961),Nietzsche:Carus:Janet:Hartmann:Schiller:Flournoy:Heraclitus:Laozi:James:Freud:Goethe:Moltzer:Kant:Bleuler:Meister Eckhart:Schopenhauer:,Erich Neumann:Sonu Shamdasani:Joseph Campbell:Gaston Bachelard:Wolfgang Pauli:Carl Rogers:Terence McKenna:Ross Nichols:James Hillman:Jean Piaget:Arnold J. Toynbee:Freud:Alan Watts:Robert Anton Wilson:Jordan Peterson:Philip K. Dick:Hermann Hesse:,/wiki/Carl_Jung,47.583,9.317,AD 1875-07-26 00:00:00
411,Moritz Schlick, (1882–1936),Arthur Schopenhauer:Immanuel Kant:Ernst Mach:Alois Riehl:Ludwig Wittgenstein:Bertrand Russell:Max Planck:Wilhelm Wundt:,Vienna Circle:Herbert Feigl:Albert Einstein:Susan Stebbing:Gustav Bergmann:Kurt Gödel:Albert Blumberg:,/wiki/Moritz_Schlick,52.52,13.405,AD 1882-04-14 00:00:00
