name,birth,incoming_links,outgoing_links,page,latitude,longitude,births,id
Charles Lyell,,,Charles Darwin:,/wiki/Charles_Lyell,56.6828,-3.0346,AD 1797-11-14 00:00:00,390
Thomas Paine, (1737–1809),Montesquieu:Religious Society of Friends:Jacobin:John Locke:Benjamin Franklin:Voltaire:David Hume:Jean-Jacques Rousseau:Edward Gibbon:,William Godwin:Jyotirao Phule:Mary Wollstonecraft:Christopher Hitchens:Charles Darwin:Karl Marx:Thomas Edison:Mark Twain:Sigmund Freud:Bertrand Russell:Abraham Lincoln:George Carlin:Robert G. Ingersoll:Thomas Jefferson:Pierre Victurnien Vergniaud:Moncure D. Conway:Friedrich Nietzsche:,/wiki/Thomas_Paine,52.41,0.74,AD 1737-02-09 00:00:00,391
Qur'an,,,Ibn Arabi:,/wiki/Quran,FILL,FILL,FILL,392
Aristippus, (c. 435–366 BC),Socrates:,Epicurus:Michel Onfray:Hegesias:Anniceris:Arete of Cyrene:Theodorus:Aristippus the Younger:,/wiki/Aristippus,32.825,21.85806,AD 0435-11-01 00:00:00,393
Pierre-Joseph Proudhon, (1809–1865),Adam Smith:G. W. F. Hegel:Alexander Herzen:Charles Fourier:,Mikhail Bakunin:Victor Hugo:Antero de Quental:Friedrich Wilhelm Schulz:Georges Sorel:Karl Marx:Joseph Déjacque:Peter Kropotkin:Francesc Pi i Margall:Errico Malatesta:Benjamin Tucker:Max Stirner:,/wiki/Pierre-Joseph_Proudhon,47.24,6.02,AD 1809-01-15 00:00:00,394
Alexander Hegius,,,Desiderius Erasmus:,/wiki/Alexander_Hegius_von_Heek,FILL,FILL,FILL,395
Rudolf Steiner, (1861–1925),Nietzsche:Helena Blavatsky:Eduard von Hartmann:Hegel:Fichte:Schiller:Karl Julius Schröer:Franz Brentano:Silvio Gesell:Schelling:Goethe:Kant:,Edouard Schuré:Andrej Belyj:Daniel Nicol Dunlop:Saul Bellow:Andrei Tarkovsky:Max Heindel:Wassily Kandinsky:Hilma af Klint:Richard Tarnas:Josef Beuys:Albert Schweitzer:Owen Barfield:Valentin Tomberg:Hugo Bergmann:Martin Buber:,/wiki/Rudolf_Steiner,46.367,16.65,AD 1861-02-27 00:00:00,396
Wächtershäuser,,,Karl Popper:,/wiki/G%C3%BCnter_W%C3%A4chtersh%C3%A4user,FILL,FILL,FILL,397
Jean Burden,,,Alan Watts:,/wiki/Jean_Burden,42.37028,-87.87111,AD 1914-09-01 00:00:00,398
Alexandre Kojève, (1902–1968),Hegel:Aristotle:Plato:Marx:Strauss:Soloviev:Koyré:Jaspers:Kandinsky:Schmitt:Kant:Heidegger:,Bataille:Lacan:Bloom:Strauss:Rosen:Sartre:Derrida:Breton:Agamben:Foucault:Fukuyama:Louis Althusser:Queneau:Maurice Merleau-Ponty:Aron:,/wiki/Alexandre_Koj%C3%A8ve,55.75583,37.61722,AD 1902-04-28 00:00:00,399
Girolamo Savonarola,,,John Colet:,/wiki/Girolamo_Savonarola,44.833,11.617,AD 1452-09-21 00:00:00,400
Marquis de Condorcet, (1743–1794),Leonhard Euler:Jean le Rond d'Alembert:Voltaire:Benjamin Franklin:Jean-Jacques Rousseau:Turgot:,André Chénier:Charles Darwin:Pierre Jean George Cabanis:Karl Marx:Sigmund Freud:Liberalism:Thomas Clarkson:Jean-Marie Roland:Henri de Saint-Simon:Friedrich Nietzsche:Jacques Pierre Brissot:,/wiki/Marquis_de_Condorcet,49.7964,3.4592,AD 1743-09-17 00:00:00,401
Iamblichus (philosopher), (ca. 245 AD-ca. 325),Aristotle:Plato:Pythagoras:Porphyry:Neopythagoreanism:,Aedesius:Proclus:,/wiki/Iamblichus_(philosopher),35.9875,37.04278,AD 0245-11-01 00:00:00,402
Sainte-Beuve,,,Friedrich Nietzsche:,/wiki/Charles_Augustin_Sainte-Beuve,50.7264,1.6147,AD 1804-12-23 00:00:00,403
Ibn al-Mughallis,,,Ibn Hazm:,/wiki/Ibn_al-Mughallis,3.1556,101.6968,FILL,404
Marshall McLuhan,,,Jean Baudrillard:,/wiki/Marshall_McLuhan,53.53444,-113.49028,AD 1911-07-21 00:00:00,405
Seraphim of Sarov,,,Nikolai Berdyaev:,/wiki/Seraphim_of_Sarov,51.717,36.183,AD 1754-07-30 00:00:00,406
"Victoria, Lady Welby", (1837–1912),F. C. S. Schiller:Charles Sanders Peirce:Charles Darwin:,H. Walter Schmitz:Charles Sanders Peirce:Susan Petrilli:Charles Kay Ogden:,"/wiki/Victoria,_Lady_Welby",51.50722,-0.1275,AD 1837-04-27 00:00:00,407
Thales, (c. 635 – 543 BC),Babylonian astronomy:Ancient Egyptian religion:Ancient Egyptian mathematics:,Xenophanes:Anaximander:Anaximenes:Pythagoras:,/wiki/Thales,37.53028,27.27833,BC 0626-01-01 00:00:00,408
Heraclitus, (ca. 535–475 BC),Anaximander:Bias of Priene:Thales:Anaximenes:,Parmenides:Spengler:Heracliteans:D. H. Lawrence:Anaxagoras:Engels:Lassalle:Plato:Cratylus:Whitehead:Stoicism:Popper:Jung:Empedocles:Western philosophy:Antisthenes:Nietzsche:Hegel:McTaggart:Pater:Heidegger:,/wiki/Heraclitus,37.94111,27.34194,BC 0535-11-01 00:00:00,409
John Selden, (1584–1654),Connan:Hugo Grotius:Alciato:,Blackstone:Locke:Burke:Great Tew:Hobbes:Cumberland:Vico:Pufendorf:Hume:Smith:,/wiki/John_Selden,50.83513,-0.3984,AD 1584-12-16 00:00:00,410
Parmenides, (5th century BC),Heraclitus:Xenophanes of Colophon:,Nietzsche:Melissus of Samos:Eleatic School:Meinong:Plato:Spinoza:Socrates:Leibniz:Zeno of Elea:Empedocles:Anaxagoras:Heidegger:Emanuele Severino:,/wiki/Parmenides,40.16083,15.155,BC 0515-11-01 00:00:00,411
Melchiorre Gioia,,,Antonio Rosmini-Serbati:,/wiki/Melchiorre_Gioia,FILL,FILL,FILL,412
Vladimir Solovyov (philosopher), (1853–1900),Shimon bar Yochai:Sergey Bulgakov:Aristotle:Arthur Schopenhauer:Jakob Böhme:Plato:Friedrich Wilhelm Joseph Schelling:Emanuel Swedenborg:Paracelsus:Søren Kierkegaard:Immanuel Kant:Fyodor Dostoyevsky:Auguste Comte:Plotinus:Blavatsky:Louis Claude de Saint-Martin:Dante:Augustine of Hippo:,Sergey Bulgakov:Alexandre Kojève:Pavel Florensky:Andrei Belyi:Semyon Frank:Alexander Blok:Nicolas Berdyaev:Dostoyevsky:,/wiki/Vladimir_Solovyov_(philosopher),55.75583,37.61722,AD 1853-01-28 00:00:00,413
Rée,,,Friedrich Nietzsche:,/wiki/Paul_R%C3%A9e,54.3,12.583,AD 1849-11-21 00:00:00,414
Alejandro Korn, (1860–1936),Hegel:Kant:,Ángel Vasallo:Juan José Arévalo:Luis Aznar:Francisco Romero:Risieri Frondizi:Pedro Henríquez Ureña:,/wiki/Alejandro_Korn,-35.017,-58.417,AD 1860-05-03 00:00:00,415
Allama Tabatabai, (1903–1981),Mulla Sadra:Hujjat Kuhkamari:Naeeni:Hadi Sabzavari:Sayyed Hosein Badkuba'i:Allameh Qazi:Muhammad Hosein Esfehani:Sayyid Abu'l-Qasim Khwansari:,Musa Sadr:Dariush Shayegan:Makarem Shirazi:Muhammad Beheshti:Hossein Nasr:Hassan Hassanzadeh Amoli:Muhammad al-Tijani:Muhammad Mofatteh:Ebrahim Amini:Sayyed Jalal-ed-Din Ashtiani:Javadi Amoli:Morteza Motahhari:Henry Corbin:,/wiki/Allama_Tabatabai,38.067,46.3,AD 1903-03-16 00:00:00,416
Ibn Furak,,,Fakhr al-Din al-Razi:,/wiki/Ibn_Furak,32.64472,51.6675,AD 0330-11-01 00:00:00,417
Derek Parfit, (1942–2017),Henry Sidgwick:Immanuel Kant:A. J. Ayer:Shelly Kagan:R. M. Hare:Amartya Sen:Jonathan Glover:James Griffin:Thomas Nagel:John Locke:John Stuart Mill:T. M. Scanlon:Christine Korsgaard:P. F. Strawson:David Pears:Ronald Dworkin:,Thomas Hurka:Ruth Chang:Brad Hooker:Jeff McMahan:Samuel Scheffler:Larry Temkin:John Cottingham:Peter Singer:,/wiki/Derek_Parfit,30.66,104.06333,AD 1942-12-11 00:00:00,418
Ehrenhaft,,,Paul Feyerabend:,/wiki/Felix_Ehrenhaft,48.2,16.367,AD 1879-04-24 00:00:00,419
Karl Marx, (1818–1883),Johann Wolfgang von Goethe:Jean Charles Léonard de Sismondi:Charles Darwin:Friedrich Engels:Charles Fourier:Voltaire:Claude Adrien Helvétius:François-Noël Babeuf:Jean-Jacques Rousseau:Ludwig von Westphalen:Aristotle:William Shakespeare:David Ricardo:William Thompson:Moses Hess:Adam Ferguson:Robert Owen:Henri de Saint-Simon:Baruch Spinoza:Max Stirner:Justus von Liebig:Pierre-Joseph Proudhon:Constantin Pecqueur:Baron d'Holbach:Friedrich Wilhelm Schulz:Giambattista Vico:Ludwig Feuerbach:Epicurus:Maximilien Robespierre:Victor Considerant:Charles Babbage:François Guizot:Adam Smith:G. W. F. Hegel:,List of Marxists:,/wiki/Karl_Marx,49.75667,6.64139,AD 1818-05-05 00:00:00,420
Euripides,,,Friedrich Nietzsche:,/wiki/Euripides,37.933,23.5,BC 0480-11-01 00:00:00,421
Hermann Minkowski,,,Albert Einstein:,/wiki/Hermann_Minkowski,54.883,23.9,AD 1864-06-22 00:00:00,422
Seraphim Rose,,,Alan Watts:,/wiki/Seraphim_Rose,32.715,-117.1625,AD 1934-08-13 00:00:00,423
al-Tamimi,,,Ibn Arabi:,/wiki/Mohammed_ibn_Qasim_al-Tamimi,FILL,FILL,FILL,424
Berg,,,Theodor Adorno:,/wiki/Alban_Berg,FILL,FILL,FILL,425
Fénelon,,,Joseph de Maistre:,/wiki/Fran%C3%A7ois_F%C3%A9nelon,44.8464,1.3375,AD 1651-08-06 00:00:00,426
D'Épinay,,,Jean Jacques Rousseau:,/wiki/Louise_d%27%C3%89pinay,FILL,FILL,FILL,427
Old Testament,,,Hildegard of Bingen:,/wiki/Old_Testament,FILL,FILL,FILL,428
Ernst Cassirer, (1874–1945),Immanuel Kant:Friedrich Wilhelm Joseph Schelling:Gottfried Wilhelm Leibniz:Hermann Cohen:Johann Wolfgang von Goethe:,Eric Weil:Susanne Langer:Leo Strauss:Wilbur Marshall Urban:,/wiki/Ernst_Cassirer,51.11,17.0325,AD 1874-07-28 00:00:00,429
Omar Khayyam, (1048–1131),Euclid:al-Khwārizmī:Avicenna:Apollonius of Perge:,Tusi:Nizami Aruzi of Samarcand:Al-Khazini:Edward FitzGerald:André Gide:John Wallis:Hafez:Saccheri:,/wiki/Omar_Khayyam,36.21333,58.79583,AD 1048-05-18 00:00:00,430
Hinduism (Upanishads),,,Arthur Schopenhauer:,/wiki/Upanishads,FILL,FILL,FILL,431
Quintilian,,,Augustine of Hippo:,/wiki/Quintilian,FILL,FILL,FILL,432
Carneades, (c. 214–129 BC),Arcesilaus:Plato:Diogenes of Babylon:,Philo of Larissa:Clitomachus:Sextus Empiricus:,/wiki/Carneades,32.825,21.85806,BC 0214-01-01 00:00:00,433
John Philoponus, (early 6th century),Aristotle:,Jean Buridan:Bonaventure:Giovanni Pico della Mirandola:Galileo Galilei:,/wiki/John_Philoponus,31.2,29.917,AD 0490-11-01 00:00:00,434
Driesch,,,Maurice Merleau-Ponty:,/wiki/Hans_Driesch,49.85,7.867,AD 1867-10-28 00:00:00,435
Ernest Sosa, (born 1940),Roderick Chisholm:Jaegwon Kim:Nicholas Rescher:,John Greco:Brie Gertler:,/wiki/Ernest_Sosa,23.04278,-81.20361,AD 1940-06-17 00:00:00,436
Christine Korsgaard,,,"Onora O'Neill, Baroness O'Neill of Bengarve:",/wiki/Christine_Korsgaard,41.88194,-87.62778,AD 1952-04-09 00:00:00,437
Zupančič,,,Slavoj Žižek:,/wiki/Alenka_Zupan%C4%8Di%C4%8D,46.05556,14.50833,AD 1966-04-01 00:00:00,438
de Staël,,,Ralph Waldo Emerson:,/wiki/Germaine_de_Sta%C3%ABl,48.856613,2.352222,AD 1766-04-22 00:00:00,439
