name,birth,incoming_links,outgoing_links,page,latitude,longitude,births,id
Arthur Schopenhauer, (1788–1860),Aristotle:Plato:Berkeley:Locke:Krause:Schulze:Theravada:Hinduism (Upanishads):Goethe:German mysticism:Spinoza:Hume:Kant:Descartes:,Anjos:Solovyov:Weininger:Kraus:Hartmann:Ryle:Schlick:Zola:Assis:Hesse:Hardy:Mainländer:Schrödinger:Spengler:Vaihinger:Mahler:Rank:Volkelt:Cioran:Fet:Rilke:Zapffe:Huysmans:Campbell:Santayana:Horkheimer:Schoenberg:Wagner:Proust:Dilthey:Bergson:Einstein:Michelstaedter:Jung:Reve:Brahms:Freud:Wittgenstein:Tolstoy:Gray:Bahnsen:Maupassant:Nietzsche:Brouwer:Ludovici:Beckett:Mann:Majorana:Shaw:Borges:Ligotti:,/wiki/Arthur_Schopenhauer,54.367,18.633,AD 1788-02-22 00:00:00,1
Imam Ali,,,Mulla Sadra:,/wiki/Ali,21.4225,39.82333,AD 0600-11-01 00:00:00,2
Dreben,,,John Rawls:,/wiki/Burton_Dreben,42.35806,-71.06361,AD 1927-09-27 00:00:00,3
Schilder,,,Maurice Merleau-Ponty:,/wiki/Paul_Ferdinand_Schilder,FILL,FILL,FILL,4
Crates of Athens,,,Arcesilaus:,/wiki/Crates_of_Athens,FILL,FILL,FILL,5
Abendroth,,,Jürgen Habermas:,/wiki/Wolfgang_Abendroth,FILL,FILL,FILL,6
Sotion,,,Seneca the Younger:,/wiki/Sotion_(Pythagorean),FILL,FILL,FILL,7
Alois Riehl,,,Heinrich Rickert:,/wiki/Alois_Riehl,FILL,FILL,FILL,8
Justus Buchler, (1914–1991),Peirce:,Beth J. Singer:Stephen David Ross:Robert S. Corrington:Kathleen A. Wallace:Armen Marsoobian:Victorino Tejera:Christopher Phillips:,/wiki/Justus_Buchler,40.71278,-74.00611,AD 1914-03-27 00:00:00,9
J. L. Mackie, (1917–1981),David Hume:John Anderson:,Colin MacLeod:Michael Martin:Richard Joyce:,/wiki/J._L._Mackie,57.1414,-2.1319,AD 1917-08-25 00:00:00,10
Jean-François Lyotard, (1924–1998),Nietzsche:Lacan:Durkheim:Austin:Marx:Parsons:Montaigne:Klossowski:Deleuze and Guattari:Freud:Wittgenstein:Kant:Heidegger:,Alain Badiou:Roland Barthes:Margret Grebowicz:Mark Fisher:Richard Rorty:,/wiki/Jean-Fran%C3%A7ois_Lyotard,48.8053,2.135,AD 1924-08-10 00:00:00,11
Al-Shafi'i,,,Fakhr al-Din al-Razi:,/wiki/Al-Shafi%27i,31.517,34.45,AD 0150-11-01 00:00:00,12
Hartmann,,,Carl Jung:,/wiki/Eduard_von_Hartmann,52.52,13.405,AD 1842-02-23 00:00:00,13
Paul Hensel,,,Hans Reichenbach:,/wiki/Paul_Hensel,FILL,FILL,FILL,14
Michael Bratman,,,Allan Gibbard:,/wiki/Michael_Bratman,-34.5997,-58.3731,AD 1945-07-25 00:00:00,15
Felix Ravaisson-Mollien, (1813–1900),Aristotle:Victor Cousin:Descartes:Schelling:Leibniz:Maine de Biran:Pascal:,Pierre Hadot:Louis Lavelle:Paul Ricœur:Martin Heidegger:Dominique Janicaud:Henri Bergson:François Laruelle:Maurice Merleau-Ponty:,/wiki/Felix_Ravaisson-Mollien,50.467,4.867,AD 1813-10-23 00:00:00,16
Charles Renouvier,,,Leon Brunschvicg:,/wiki/Charles_Renouvier,43.6119,3.8772,AD 1815-01-01 00:00:00,17
Thomas More, (1478–1535),Augustine of Hippo:Aristotle:Plato:Amerigo Vespucci:John Fisher:Lucian:Socrates:Thomas Aquinas:Dante Alighieri:Erasmus:Giovanni Pico della Mirandola:Cicero:,William Shakespeare:John Henry Newman:,/wiki/Thomas_More,51.51556,-0.09306,AD 1478-02-07 00:00:00,18
Otto von Guericke,,,Robert Boyle:,/wiki/Otto_von_Guericke,52.13167,11.63917,AD 1602-11-30 00:00:00,19
Pāṇini,,,Ferdinand de Saussure:,/wiki/P%C4%81%E1%B9%87ini,FILL,FILL,FILL,20
Louis Lavelle, (1883–1951),Maine de Biran:,Nikolai Berdiaev:Alfredo Bosi:Pierre Hadot:Paul Ricœur:A. D. Sertillanges:Olavo de Carvalho:Renaud Barbaras:Gabriel Marcel:Jean Guitton:Walter J. Ong:,/wiki/Louis_Lavelle,44.6444,0.8217,AD 1883-07-15 00:00:00,21
Simondon,,,Gilles Deleuze:,/wiki/Gilbert_Simondon,45.4347,4.3903,AD 1924-10-02 00:00:00,22
Karl Popper, (1902–1994),Socrates:Hume:Frege:Fries:Mill:Bolzano:Aristotle:Vienna Circle:Campbell:Husserl:Kant:Descartes:Einstein:Selz:Russell:Kierkegaard:Burke:Peirce:Hayek:Wächtershäuser:Schopenhauer:Tarski:,Eccles:Feyerabend:Penrose:Munz:Gombrich:Deutsch:Hayek:Levinson:Kuhn:Bartley:Gillies:Soros:Lakatos:Shearmur:Jarvie:Gellner:Redhead:Medawar:Magee:Friedman:Lorenz:Miller:Albert:Schmidt:,/wiki/Karl_Popper,48.2,16.367,AD 1902-07-28 00:00:00,23
Étienne Bonnot de Condillac, (1715–1780),Locke:,Bello:Helvétius:Cousin:Lavoisier:Maine de Biran:Rousseau:,/wiki/%C3%89tienne_Bonnot_de_Condillac,45.171546,5.722387,AD 1714-09-30 00:00:00,24
André Leroi-Gourhan,,,Cornelius Castoriadis:,/wiki/Andr%C3%A9_Leroi-Gourhan,48.856613,2.352222,AD 1911-08-25 00:00:00,25
Samuel Richardson,,,Denis Diderot:,/wiki/Samuel_Richardson,52.935,-1.535,AD 1689-08-19 00:00:00,26
Meister Eckhart, (1260–1327/8),Proclus:Pseudo-Dionysius:Johannes Scottus Eriugena:Thomas Aquinas:Augustine of Hippo:,D. T. Suzuki:Huldrych Zwingli:Nicholas of Cusa:Gustav Landauer:Jacques Derrida:Eckhart Tolle:Martin Heidegger:Martin Luther:Carl Gustav Jung:John Tauler:Matthew Fox:Julius Evola:Henry VIII:Erasmus:John Calvin:Henry Suso:,/wiki/Meister_Eckhart,50.94889,10.71833,AD 1260-11-01 00:00:00,27
Turgot,,,Marquis de Condorcet:,/wiki/Anne_Robert_Jacques_Turgot,48.856613,2.352222,AD 1727-05-10 00:00:00,28
Gotthard Günther,,,Edgar Morin:,/wiki/Gotthard_G%C3%BCnther,FILL,FILL,FILL,29
Lucilio Vanini, (1585–1619),Simone Porzio:Pietro Pomponazzi:Julius Caesar Scaliger:Paolo Sarpi:Gerolamo Cardano:,Charles Blount:,/wiki/Lucilio_Vanini,39.95,18.167,AD 1585-01-01 00:00:00,30
David Hartley (philosopher), (1705–1757),Isaac Newton:John Locke:Thomas Reid:,James Mill:Joseph Priestley:William Wordsworth:William James:,/wiki/David_Hartley_(philosopher),53.725,-1.863,AD 1705-06-21 00:00:00,31
Richard Sylvan, (1935–1996),Alexius Meinong:,Graham Priest:,/wiki/Richard_Sylvan,-40.62194,175.28667,AD 1935-12-13 00:00:00,32
Latin Christianity,,,John of Damascus:,/wiki/Latin_Church,FILL,FILL,FILL,33
Alexius Meinong, (1853–1920),David Hume:Franz Brentano:,Terence Parsons:Edward N. Zalta:William J. Rapaport:Roderick Chisholm:Panayot Butchvarov:Ernst Mally:Richard Hönigswald:Bertrand Russell:Héctor-Neri Castañeda:George Stout:Richard Routley:Graham Priest:Dale Jacquette:,/wiki/Alexius_Meinong,49.83,24.01417,AD 1853-07-17 00:00:00,34
Posidonius, (c. 135 – 51 BC),Chrysippus:Panaetius:Aristotle:Plato:,Jason of Nysa:Cleomedes:Plutarch:Strabo:Seneca:Cicero:Livy:Diodorus Siculus:,/wiki/Posidonius,35.418,36.398,BC 0135-11-01 00:00:00,35
Muhammad Abduh, (1849–1905),Abu al-Mānsūr al-Matūrīdī:Ibn Sina:Jamal ad-Din al-Afghani:Abu Hamīd al-Ghāzāli:Shihāb al-Din Sührawardį:Ibn 'Arabi:,Mohammed al-Ghazali:Mahmud Shaltut:Hassan al-Banna:Muhammad al-Tahir ibn Ashur:Sayyid Qutb:Mustafa al-Maraghi:Rashid Rida:Mahmoud Taleghani:Yusuf al-Qaradawi:Abul Kalam Azad:Muhammad Asad:,/wiki/Muhammad_Abduh,31.0275,30.71278,AD 1849-01-01 00:00:00,36
F. C. von Savigny,,,Rudolf von Jhering:,/wiki/Friedrich_Carl_von_Savigny,50.117,8.683,AD 1779-02-21 00:00:00,37
Rogers Albritton,,,Stanley Cavell:,/wiki/Rogers_Albritton,FILL,FILL,FILL,38
Hannah Arendt, (1906–1975),Aristotle:Montesquieu:Walter Benjamin:Karl Marx:Heinrich Blücher:Rosa Luxemburg:Karl Jaspers:Socrates:Goethe:Saint Augustine:Kant:Heidegger:,Giorgio Agamben:Elisabeth Young-Bruehl:Seyla Benhabib:Mario Kopić:Jacques Rancière:Emerita Quito:Claude Lefort:Julia Kristeva:,/wiki/Hannah_Arendt,52.3689,9.7008,AD 1906-10-14 00:00:00,39
Bourget,,,Friedrich Nietzsche:,/wiki/Paul_Bourget,49.892,2.299,AD 1852-09-02 00:00:00,40
Jean Renoir,,,Stanley Cavell:,/wiki/Jean_Renoir,48.856613,2.352222,AD 1894-09-15 00:00:00,41
Albumasar,,,Roger Bacon:,/wiki/Abu_Ma%27shar,36.76667,66.9,AD 0787-08-10 00:00:00,42
John Austin (legal philosophy), (1790–1859),Jeremy Bentham:,Joseph Raz:H. L. A. Hart:,/wiki/John_Austin_(legal_philosophy),52.167,1.0,AD 1790-03-03 00:00:00,43
Abu Yaqub Yusuf,,,Ibn Tufail:,/wiki/Abu_Yaqub_Yusuf,30.9846472,-8.228475,AD 1135-01-01 00:00:00,44
Founding Fathers,,,Leo Strauss:,/wiki/Founding_Fathers_of_the_United_States,FILL,FILL,FILL,45
Thomas Abbt,,,Johann Gottfried Herder:,/wiki/Thomas_Abbt,FILL,FILL,FILL,46
John Rawls, (1921–2002),Locke:Hobbes:Rousseau:Sidgwick:Meade:Mill:Aristotle:Berlin:Hart:Kant:Thoreau:Pareto:Darwin:Freud:King Jr.:Wittgenstein:Dreben:Nietzsche:Marx:Shklar:Malcolm:Constant:Weber:,Honneth:Raz:G.A. Cohen:Fleurbaey:Kymlicka:Harsanyi:Wolin:Sandel:Beitz:Anderson:Nino:Young:Appiah:Ricoeur:Otsuka:Brooks:Barry:Estlund:Scanlon:September Group:Wolff:Korsgaard:Taylor:Scarry:Walzer:Stern:Binmore:Shelby:Forst:O'Neill:Freeman:Foisneau:Neiman:Shapiro:Nussbaum:Davidson:Card:Cavell:Pogge:Krugman:West:Van Parijs:Nozick:Benhabib:Sen:Dworkin:Guttmann:Okin:Habermas:Cohen:Phelps:Rorty:Nagel:Fraser:,/wiki/John_Rawls,39.28944,-76.61528,AD 1921-02-21 00:00:00,47
Georges Bataille, (1897–1962),Alexandre Kojève:Émile Durkheim:Lev Shestov:Karl Marx:Sigmund Freud:Marcel Mauss:Maria de Naglowska:René Guénon:Friedrich Nietzsche:G. W. F. Hegel:Marquis de Sade:,Giorgio Agamben:Michel Leiris:Jacques Derrida:Maurice Blanchot:Guy Debord:Michel Onfray:Michel Foucault:Roland Barthes:Jacques Lacan:Nick Land:Jean Baudrillard:Julia Kristeva:,/wiki/Georges_Bataille,45.7197,3.3382,AD 1897-09-10 00:00:00,48
G. E. Moore, (1873–1958),John McTaggart:Henry Sidgwick:Thomas Reid:Bertrand Russell:George Stout:Gottlob Frege:,W. D. Ross:Ludwig Wittgenstein:Bertrand Russell:,/wiki/G._E._Moore,51.4196,-0.0877,AD 1873-11-04 00:00:00,49
Jean-Jacques Burlamaqui,,,Emerich de Vattel:,/wiki/Jean-Jacques_Burlamaqui,FILL,FILL,FILL,50
H. L. A. Hart, (1907–1992),Friedrich Waismann:Max Weber:Ludwig Wittgenstein:Jeremy Bentham:Hans Kelsen:J. L. Austin:John Austin:,Leslie Green:Neil MacCormick:Laurence Houlgate:Joel Feinberg:Paul Kelly:Norman P. Barry:John Rawls:Tony Honoré:John Gardner:,/wiki/H._L._A._Hart,53.99194,-1.53778,AD 1907-07-18 00:00:00,51
J. J. C. Smart, (1920–2012),Gilbert Ryle:Henry Sidgwick:,David Lewis:D. M. Armstrong:,/wiki/J._J._C._Smart,52.20528,0.11917,AD 1920-09-16 00:00:00,52
John R. Commons,,,Eric Voegelin:,/wiki/John_R._Commons,39.99861,-84.79222,AD 1862-10-13 00:00:00,53
Algirdas Julien Greimas,,,Bruno Latour:,/wiki/Algirdas_Julien_Greimas,54.2,37.617,AD 1917-03-09 00:00:00,54
Cheng Yi (philosopher),) (1033–1107),Mencius:Confucius:Zhou Dunyi:,Zhu Xi:,/wiki/Cheng_Yi_(philosopher),,,AD 1033-01-01 00:00:00,55
Islamic philosophy,,,Adelard of Bath:,/wiki/Islamic_philosophy,FILL,FILL,FILL,56
Speusippus, (410–339 BC),Pythagoreanism:Plato:,Xenocrates:,/wiki/Speusippus,51.9167,5.5667,BC 0408-11-01 00:00:00,57
William David Ross, (1877–1971),H. A. Prichard:Aristotle:Immanuel Kant:G. E. Moore:,Robert Audi:Tom Beauchamp:Bernard Gert:Tara Smith:,/wiki/William_David_Ross,58.596,-3.521,AD 1877-04-15 00:00:00,58
Syed Mir Hassan,,,Muhammad Iqbal:,/wiki/Syed_Mir_Hassan,FILL,FILL,FILL,59
L. E. J. Brouwer,,,Michael Dummett:,/wiki/L._E._J._Brouwer,51.933,4.433,AD 2021-01-01 00:00:00,60
Damaris Cudworth Masham, (1659–1708),Aristotle:Nicholas of Cusa:Ralph Cudworth:Plato:The Bible:Plotinus:Augustine of Hippo:,John Locke:Immanuel Kant:David Hume:Denis Diderot:,/wiki/Damaris_Cudworth_Masham,52.20528,0.11917,AD 1659-01-18 00:00:00,61
Arthur Danto, (1924–2013),Arthur Schopenhauer:Georg Wilhelm Friedrich Hegel:Andy Warhol:Ludwig Wittgenstein:Friedrich Nietzsche:Maurice Merleau-Ponty:Jean-Paul Sartre:Nelson Goodman:,Noël Carroll:David Carrier:George Dickie:,/wiki/Arthur_Danto,42.28139,-83.74833,AD 1924-01-01 00:00:00,62
Étienne Gilson, (1884–1978),Brunschvicg:Aristotle:Aquinas:Comte:Maritain:Bonaventure:Scotus:Dante:Augustine:,Norman Geisler:Thomas Merton:Richard McKeon:Dorothy Day:John F. X. Knasas:Paul Weiss:Vatican II:Henry Corbin:Jacques Maritain:,/wiki/%C3%89tienne_Gilson,48.856613,2.352222,AD 1884-06-13 00:00:00,63
Karl Höchberg,,,Eduard Bernstein:,/wiki/Karl_H%C3%B6chberg,FILL,FILL,FILL,64
Gershom Scholem, (1897–1982),Rosenzweig:Buber:Strauss:Cohen:Ahad Ha'am:Benjamin:Arendt:Kafka:Frege:,Bloom:Chabon:Strauss:Steiner:Idel:Derrida:Benjamin:Arendt:Agamben:Uffenheimer:Eco:Borges:,/wiki/Gershom_Scholem,52.52,13.405,AD 1897-12-05 00:00:00,65
Diotima,,,Plato:,/wiki/Diotima_of_Mantinea,FILL,FILL,FILL,66
Jean Baudrillard, (1929–2007) ,Alfred Jarry:Guy Debord:Marshall McLuhan:Michel Foucault:Henri Lefebvre:Ferdinand de Saussure:Karl Marx:Soren Kierkegaard:Jorge Luis Borges:Roland Barthes:Marcel Mauss:Georges Bataille:Friedrich Nietzsche:Thorstein Veblen:,Slavoj Žižek:Cody Wilson:Gerald Vizenor:Mario Perniola:The Wachowskis:Gilles Lipovetsky:Nick Land:Peter Halley:Byung-Chul Han:Sophie Calle:,/wiki/Jean_Baudrillard,49.2628,4.0347,AD 1929-07-27 00:00:00,67
Jacques Maritain, (1882–1973),Aristotle:John of St. Thomas:Charles Baudelaire:Charles Maurras:Étienne Gilson:Thomas Aquinas:,Mortimer J. Adler:John Haddox:Ivan Illich:Yves Simon:Yves Congar:John F. X. Knasas:Jean Daujat:Emmanuel Mounier:,/wiki/Jacques_Maritain,48.856613,2.352222,AD 1882-11-18 00:00:00,68
Paolo Sarpi,,,Thomas Hobbes:,/wiki/Paolo_Sarpi,FILL,FILL,FILL,69
Gilbert Harman, (born 1938),Willard Van Orman Quine:Noam Chomsky:,Stephen Stich:Joshua Knobe:,/wiki/Gilbert_Harman,40.2229,-74.0102,AD 1938-05-26 00:00:00,70
Abu Madyan,,,Ibn Arabi:,/wiki/Abu_Madyan,37.6,-5.817,AD 1126-11-01 00:00:00,71
Ernst H. Kantorowicz,,,Marcel Gauchet:,/wiki/Ernst_Kantorowicz,52.40833,16.93361,AD 1895-05-03 00:00:00,72
Ibn Miskawayh, (940–1030),al-Kindi:Adurbad-e Mahrspandan:,Mulla Sadra:Nasir al-Din Tusi:,/wiki/Ibn_Miskawayh,,,AD 0932-01-01 00:00:00,73
Jan Patočka, (1907–1977),Fink:Hegel:Nietzsche:Plato:Weischedel:Heraclitus:Husserl:Socrates:Heidegger:,Havel:Charter 77:Prague Spring:Kohák:Czech philosophy:,/wiki/Jan_Pato%C4%8Dka,50.58722,15.15694,AD 1907-06-01 00:00:00,74
Saul Kripke, (born 1940),Dummett:Lewis:Turing:Curry:Marcus:Russell:Wittgenstein:Quine:Frege:Tarski:,Devitt:Weinstein:Chalmers:Burge:Field:Burgess:Yablo:Salmon:Kaplan:Boghossian:Soames:Putnam:Shoemaker:Evans:,/wiki/Saul_Kripke,40.72972,-73.25361,AD 1940-11-13 00:00:00,75
Wilhelm Windelband, (1848–1915),Kuno Fischer:Immanuel Kant:Georg Wilhelm Friedrich Hegel:Hermann Lotze:Johann Friedrich Herbart:,Max Weber:Edmund Husserl:Ernst Troeltsch:Albert Schweitzer:Heinrich Rickert:,/wiki/Wilhelm_Windelband,52.4,13.067,AD 1848-05-11 00:00:00,76
Jean-Paul Sartre, (1905–1980),Wahl:Levinas:Nizan:Merleau-Ponty:Rousseau:Céline:Husserl:Proust:Kojève:Flaubert:Bergson:Darwin:Stekel:Bachelard:Freud:Kierkegaard:Hegel:Nietzsche:Marx:Lefebvre:Heidegger:de Beauvoir:,Debord:Merleau-Ponty:Guevara:van Fraassen:Gorz:Bourdieu:Fanon:Laing:Badiou:Lukács:Camus:Aron:Lacan:Butler:Deleuze:Jeanson:de Beauvoir:Goffman:Rancière:Pinter:Leibowitz:,/wiki/Jean-Paul_Sartre,48.856613,2.352222,AD 1905-06-21 00:00:00,77
Wilfred Cantwell Smith,,,John Hick:,/wiki/Wilfred_Cantwell_Smith,43.74167,-79.37333,AD 1916-07-21 00:00:00,78
Saint Jerome,,,Thomas Cajetan:,/wiki/Jerome,44.9,19.02,AD 0342-01-01 00:00:00,79
de Gérando,,,Ralph Waldo Emerson:,"/wiki/Joseph_Marie,_baron_de_G%C3%A9rando",FILL,FILL,FILL,80
Alfred Wilhelm Volkmann,,,Hermann Lotze:,/wiki/Alfred_Wilhelm_Volkmann,FILL,FILL,FILL,81
Eduard Von Hartmann, (1842–1906),Arthur Schopenhauer:Friedrich Wilhelm Joseph Schelling:Carl Gustav Carus:Georg Wilhelm Friedrich Hegel:Max Stirner:,Arthur Drews:Hans Vaihinger:Sigmund Freud:Carl Jung:Johannes Rehmke:Rudolf Steiner:,/wiki/Eduard_Von_Hartmann,52.52,13.405,AD 1842-02-23 00:00:00,82
Mulla Sadra, (1571–1640),Sheykh Baha'i:Ibn Arabi:Shahab al-Din Suhrawardi:Mir Damad:Imam Ali:Bahāʾ al-dīn al-ʿĀmilī:Avicenna:,Abul A'la Maududi:Gholamhossein Ebrahimi Dinani:Ruhollah Khomeini:Muhammad Husayn Tabatabaei:Hossein Nasr:Hadi Sabzavari:Morteza Motahhari:,/wiki/Mulla_Sadra,29.61,52.5425,AD 1571-02-01 00:00:00,83
Lao Zi,) (4th century BC),,Daoism:Zen:Zhuang Zhou:Neotaoists:Chinese Buddhism:Martin Heidegger:East Asian philosophies:Carl Jung:Lie Yukou:Niels Bohr:Alan Watts:,/wiki/Lao_Zi,33.86,115.484,BC 0571-01-01 00:00:00,84
Hilary of Poitiers,,,Augustine of Hippo:,/wiki/Hilary_of_Poitiers,46.58,0.34,AD 0310-11-01 00:00:00,85
Huch,,,Ludwig Klages:,/wiki/Friedrich_Huch,FILL,FILL,FILL,86
Theophrastus, (372–287 BC),Aristotle:Plato:,Peripatetic school:Alexander of Aphrodisias:Strato of Lampsacus:,/wiki/Theophrastus,39.171,25.931,BC 0371-11-01 00:00:00,87
Robert Filmer, (1588–1653),Hobbes:Aristotle:Milton:Grotius:,Tyrrell:Moldbug:Sidney:Locke:,/wiki/Robert_Filmer,51.21583,0.61583,AD 1588-11-01 00:00:00,88
Karl Christian Friedrich Krause, (1781–1832),Immanuel Kant:Friedrich W. Schelling:Plato:Johann Gottlieb Fichte:G. W. F. Hegel:Baruch Spinoza:,Julián Sanz del Rio:Hipólito Yrigoyen:Arthur Schopenhauer:Francisco Giner de los Ríos:,/wiki/Karl_Christian_Friedrich_Krause,50.96667,11.9,AD 1781-05-06 00:00:00,89
Gemistus Pletho, (c. 1355 – c. 1452),Plotinus:Plato:Demetrios Kydones:,John Argyropoulos:Hermonymus of Sparta:Nicholas of Cusa:Marsilio Ficino:Cosimo de' Medici:Bessarion:,/wiki/Gemistus_Pletho,41.01389,28.95556,AD 1355-01-01 00:00:00,90
Nicholas Onufrievich Lossky, (1870–1965),Hegel:Wilhelm Windelband:Pavel Florensky:Wilhelm Wundt:Origen:Vladimir Solovyov:Plotinus:,Nicolai Hartmann:Vladimir Lossky:,/wiki/Nicholas_Onufrievich_Lossky,55.883,27.167,AD 1870-12-06 00:00:00,91
Cornelius Castoriadis, (1922–1997),Martin Heidegger:Piera Aulagnier:György Lukács:G. L. Boggs:Jean-Jacques Rousseau:Maurice Merleau-Ponty:Susan Isaacs:Aristotle:Jacques Derrida:Max Weber:J. G. Fichte:Hannah Arendt:Joan Robinson:Leon Trotsky:Serge Latouche:Gaston Bachelard:Edmund Husserl:Jacques Ellul:Paul Ricœur:Karl Marx:Giambattista Vico:Francisco Varela:C. L. R. James:Jean Laplanche:Melanie Klein:Sigmund Freud:Rosa Luxemburg:Jean-Bertrand Pontalis:René Poirier:André Leroi-Gourhan:,Nicole Loraux:Harald Wolf:Zygmunt Bauman:Pierre Vidal-Naquet:Graham Ward:Nikolas Kompridis:Shimshon Bichler:François Roustang:Jonathan Nitzan:Marcel Gauchet:Raphaël Gély:Guy Debord:Jacques Le Goff:Lorraine Code:Maurice Brinton:Elias Petropoulos:Johann Pál Arnason:Frieder Otto Wolf:Edgar Morin:Takis Fotopoulos:Sophie Klimis:René Lourau:Sudipta Kaviraj:Daniel Cohn-Bendit:Robin Hahnel:Serge Latouche:Mathieu Potte-Bonneville:Georges Lapassade:Hans Joas:Vincent Descombes:Vincent de Gaulejac:Myriam Revault d'Allonnes:Anthony Giddens:Andrew Arato:Claude Lefort:Jean Baudrillard:Laurent Van Eynde:Georges Duby:Francisco Varela:Gabriel Rockhill:John B. Thompson:Jean-Claude Michéa:Yorgos Oikonomou:Hans G. Furth:E. P. Thompson:Danilo Martuccelli:Richard Rorty:,/wiki/Cornelius_Castoriadis,41.01389,28.95556,AD 1922-03-11 00:00:00,92
Norwood Russell Hanson, (1922–1967),Ludwig Wittgenstein:,Thomas Kuhn:,/wiki/Norwood_Russell_Hanson,50.0675,14.4717,AD 1924-08-17 00:00:00,93
'Ilm al-Huruf,,,Ibn Sabin:,/wiki/%27Ilm_al-huruf,FILL,FILL,FILL,94
Monaldo Leopardi,,,Giacomo Leopardi:,/wiki/Monaldo_Leopardi,FILL,FILL,FILL,95
Michel de Montaigne, (1533–1592),Horace:Diogenes Laertius:Plato:Lucretius:Ovid:Heraclitus:Étienne de La Boétie:Plutarch:Terence:Virgil:Seneca:Socrates:Sextus Empiricus:Augustine:Epicurus:Cicero:,Charles Darwin:Albert Hirschman:José Saramago:Voltaire:Eric Hoffer:Blaise Pascal:Francis Bacon:Virginia Woolf:Jean-Jacques Rousseau:William Shakespeare:William Hazlitt:Isaac Asimov:Michel Foucault:Jean Paul Sartre:Pierre Charron:Fulton Sheen:Ralph Waldo Emerson:David Hume:Gore Vidal:Montesquieu:Michel Onfray:Karl Marx:John Henry Newman:Stefan Zweig:Jean-François Lyotard:Étienne de La Boétie:René Descartes:Sigmund Freud:Albert Camus:Friedrich Nietzsche:Alexander Pushkin:Edward Gibbon:,/wiki/Michel_de_Montaigne,44.87833,0.03,AD 1533-02-28 00:00:00,96
Sylvain Lazarus,,,Alain Badiou:,/wiki/Sylvain_Lazarus,FILL,FILL,FILL,97
Curt John Ducasse,,,Roderick Chisholm:,/wiki/Curt_John_Ducasse,45.65,0.16,AD 1881-07-07 00:00:00,98
Toni Morrison,,,Cornel West:,/wiki/Toni_Morrison,41.44833,-82.16889,AD 1931-02-18 00:00:00,99
Abu al-Mānsūr al-Matūrīdī,,,Muhammad Abduh:,/wiki/Abu_Mansur_al-Maturidi,39.7,66.983,AD 0853-01-01 00:00:00,100
F. H. Bradley, (1846–1924),Immanuel Kant:Hermann Lotze:Johann Gottlieb Fichte:G. W. F. Hegel:F. W. J. Schelling:,James Ward:C. A. Campbell:T. S. Eliot:Alfred North Whitehead:Bernard Bosanquet:,/wiki/F._H._Bradley,51.46,-0.14,AD 1846-01-30 00:00:00,101
Franz Rosenzweig, (1886–1929),Kierkegaard:Hegel:Rosenstock-Huessy:Buber:Schelling:Cohen:,Buber:Levinas:Glatzer:Fackenheim:Santner:Derrida:Benjamin:Leo Strauss:Irad Kimhi:,/wiki/Franz_Rosenzweig,51.3158,9.4979,AD 1886-12-25 00:00:00,102
Adam Müller,,,Othmar Spann:,/wiki/Adam_M%C3%BCller,52.52,13.405,AD 1779-06-30 00:00:00,103
Tawney,,,Leo Strauss:,/wiki/R._H._Tawney,22.5726723,88.3638815,AD 1880-11-30 00:00:00,104
Ernst Friedrich Apelt,,,Leonard Nelson:,/wiki/Ernst_Friedrich_Apelt,FILL,FILL,FILL,105
Mozart,,,Søren Kierkegaard:,/wiki/Wolfgang_Amadeus_Mozart,FILL,FILL,FILL,106
Klemens von Metternich,,,John Henry Newman:,/wiki/Klemens_von_Metternich,50.35972,7.59778,AD 1773-05-15 00:00:00,107
Adam Marsh,,,Roger Bacon:,/wiki/Adam_Marsh,FILL,FILL,FILL,108
Nausiphanes,,,Epicurus:,/wiki/Nausiphanes,FILL,FILL,FILL,109
Semën Liudvigovich Frank, (1877–1950),Nietzsche:Hegel:Solovyov:Nicolaus Cusanus:Dostoyevsky:Plotinus:Kant:Nikolai Berdyaev:,Nikolai Berdyaev:,/wiki/Sem%C3%ABn_Liudvigovich_Frank,55.75583,37.61722,AD 1877-01-28 00:00:00,110
Robert Brenner,,,Gáspár Miklós Tamás:,/wiki/Robert_Brenner,40.71278,-74.00611,AD 1943-11-28 00:00:00,111
Paul Feyerabend, (1924–1994),Mill:Kierkegaard:Anscombe:Popper:Bachelard:Koyré:Wittgenstein:Lessing:Ehrenhaft:,McCloskey:Lakatos:McKenna:Murphy:Churchland:Nader:Kuhn:Foucault:Hacking:,/wiki/Paul_Feyerabend,48.2,16.367,AD 1924-01-13 00:00:00,112
Charles Péguy,,,Emmanuel Mounier:,/wiki/Charles_P%C3%A9guy,47.9025,1.909,AD 1873-01-07 00:00:00,113
Considérant,,,Nikolai Chernyshevsky:,/wiki/Victor_Prosper_Considerant,46.9419,5.8792,AD 1808-10-12 00:00:00,114
Jules Lequier, (1814–1862),J. G. Fichte:,Charles Renouvier:Charles Hartshorne:William James:,/wiki/Jules_Lequier,48.4044,-2.9081,AD 1814-01-30 00:00:00,115
Thomas Henry Huxley, (1825–1895),Edward Forbes:Charles Darwin:,Henry Fairfield Osborn:Julian Huxley:E. Ray Lankester:Hubert Harrison:H. G. Wells:William Henry Flower:Aldous Huxley:,/wiki/Thomas_Henry_Huxley,FILL,FILL,FILL,116
