,name,birth,incoming_links,outgoing_links,page,latitude,longitude,births
72,Sidney Hook, (1902–1989),Morris Raphael Cohen:John Dewey:Karl Marx:Bertrand Russell:,Paul Kurtz:Barbara Branden:Lionel Trilling:Morris Janowitz:,/wiki/Sidney_Hook,40.71278,-74.00611,AD 1902-12-20 00:00:00
73,Heinz von Foerster,,,Edgar Morin:,/wiki/Heinz_von_Foerster,48.2,16.367,AD 1911-11-13 00:00:00
74,Johannes Nikolaus Tetens, (1736–1807),David Hume:Gottfried Wilhelm Leibniz:John Locke:Christian Wolff:,Immanuel Kant:,/wiki/Johannes_Nikolaus_Tetens,54.35389,8.82611,AD 1736-09-16 00:00:00
75,German mysticism,,,Arthur Schopenhauer:,/wiki/Friends_of_God,FILL,FILL,FILL
76,Raya Dunayevskaya, (1910–1987),Leon Trotsky:Frantz Fanon:Friedrich Engels:Georg Wilhelm Friedrich Hegel:Karl Marx:Rosa Luxemburg:Vladimir Lenin:,Cyril Smith:Kevin B. Anderson:Andrew Kliman:Erich Fromm:,/wiki/Raya_Dunayevskaya,48.93,28.69,AD 1910-05-01 00:00:00
77,Bloch,,,Theodor Adorno:,/wiki/Ernst_Bloch,49.48111,8.43528,AD 1885-07-08 00:00:00
78,Archytas, (428–347 BC),Philolaus:,Menaechmus:Eudoxus of Cnidus:,/wiki/Archytas,40.467,17.233,BC 0435-01-01 00:00:00
79,Jakob Böhme, (1575–1624),Paracelsus:Kaspar von Schwenkfeld:Valentine Weigel:,Hegel:Friedrich Wilhelm Joseph Schelling:John Amos Comenius:Paul Tillich:John Pordage:Schopenhauer:Nikolai Berdyaev:,/wiki/Jakob_B%C3%B6hme,51.025,15.08139,AD 1575-04-24 00:00:00
80,Zoroaster,,,Friedrich Nietzsche:,/wiki/Zoroaster,FILL,FILL,FILL
81,Thomas Müntzer,,,Ernst Bloch (philosopher):,/wiki/Thomas_M%C3%BCntzer,51.567,10.95,AD 1489-11-01 00:00:00
82,Klossowski,,,Gilles Deleuze:,/wiki/Pierre_Klossowski,48.856613,2.352222,AD 1905-08-09 00:00:00
83,Karl Julius Schröer,,,Rudolf Steiner:,/wiki/Karl_Julius_Schr%C3%B6er,FILL,FILL,FILL
84,Gregory of Rimini, (d. 1358),Petrus Aureolus:William of Ockham:Augustine:,Pope Alexander V:Pierre d'Ailly:Hugolino of Orvieto:Martin Luther:James of Eltville:Henry of Langenstein:Marsilius of Inghen:Pierre Ceffons:,/wiki/Gregory_of_Rimini,44.05944,12.56833,AD 1300-11-01 00:00:00
85,Goffman,,,Michel Foucault:,/wiki/Erving_Goffman,53.33556,-111.17556,AD 1922-06-11 00:00:00
86,Thomas Hobbes, (1588–1679),Niccolò Machiavelli:Aristotle:Plato:Roger Bacon:Tacitus:Robert Grosseteste:René Descartes:Hugo Grotius:Thomas White:Francis Bacon:William of Ockham:Epicurus:Paolo Sarpi:Thucydides:Cicero:,legal:sociology:political:,/wiki/Thomas_Hobbes,51.584,-2.098,AD 1588-04-05 00:00:00
87,Burroughs,,,Gilles Deleuze:,/wiki/William_S._Burroughs,38.62722,-90.19778,AD 1914-02-05 00:00:00
88,George Santayana, (1863–1952),Aristotle:Plato:Lucretius:Democritus:William James:Spinoza:Schopenhauer:,Wallace Stevens:Russel Kirk:Glenn Gould:John Lachs:,/wiki/George_Santayana,40.417,-3.717,AD 1863-12-16 00:00:00
89,Philodemus, (1st century BC),Zeno of Sidon:Epicurus:,Virgil:Horace:,/wiki/Philodemus,32.65417,35.6875,BC 0110-11-01 00:00:00
90,Willard Gibbs,,,Pierre Duhem:,/wiki/Josiah_Willard_Gibbs,41.31,-72.92361,AD 1839-02-11 00:00:00
91,Monica,,,Augustine of Hippo:,/wiki/Saint_Monica,36.286,7.951,AD 0332-11-01 00:00:00
92,Ruth Fuller Sasaki,,,Alan Watts:,/wiki/Ruth_Fuller_Sasaki,FILL,FILL,FILL
93,Jean Buridan, (1300–1358),William of Ockham:Aristotle:Thomas Bradwardine:Porphyry:John Philoponus:Peter of Spain:,Galileo:Nicholas of Cusa:Nicole Oresme:Peter of Ailly:Albert of Saxony:Marsilius of Inghen:Copernicus:,/wiki/Jean_Buridan,50.5303,2.6408,AD 1301-11-01 00:00:00
94,Ellen Meiksins Wood,,,Gáspár Miklós Tamás:,/wiki/Ellen_Meiksins_Wood,40.71278,-74.00611,AD 1942-04-12 00:00:00
95,Guillaume Budé,,,John Colet:,/wiki/Guillaume_Bud%C3%A9,48.856613,2.352222,AD 1467-01-26 00:00:00
96,Jürgen Habermas, (born 1929),Adorno:Rawls:Dewey:Marcuse:Schelling:Horkheimer:Mead:Kant:Dilthey:Durkheim:Bühler:Parsons:Abendroth:Freud:Wittgenstein:Apel:Kierkegaard:Hegel:Austin:Marx:Peirce:Heidegger:Weber:Piaget:,Benhabib:Honneth:Kompridis:Friedman:Offe:McCarthy:Wilber:Forst:Gould:Fraser:Hoppe:,/wiki/J%C3%BCrgen_Habermas,51.033,7.567,AD 1929-06-18 00:00:00
97,Thomas Jefferson, (1743–1826),Destutt de Tracy:William Robertson:Montesquieu:Isaac Newton:John Locke:Voltaire:Jesus of Nazareth:Bolingbroke:William Blackstone:Francis Bacon:David Hume:Edward Gibbon:,Benjamin Tucker:Albert Jay Nock:James Monroe:,/wiki/Thomas_Jefferson,38.012382833,-78.417777833,AD 1743-04-13 00:00:00
98,Richard Rorty, (1931–2007),Isaiah Berlin:Jacques Derrida:Walter Rauschenbusch:Michel Foucault:Thomas Kuhn:Donald Davidson:Martin Heidegger:Jean-François Lyotard:William James:Ludwig Wittgenstein:Wilfrid Sellars:John Dewey:John Rawls:Leo Strauss:Hubert Dreyfus:Friedrich Nietzsche:W. V. O. Quine:,Jeffrey Stout:Richard J. Bernstein:Cornel West:Richard Posner:Gianni Vattimo:Robert Brandom:Laurence BonJour:Jurgen Habermas:Chantal Mouffe:Alice Crary:Michael Williams:John McDowell:,/wiki/Richard_Rorty,40.71278,-74.00611,AD 1931-10-04 00:00:00
99,John Wyclif, (c. 1330 – 1384),Thomas Bradwardine:Richard Fitzralph:Roger Bacon:William of Ockham:Robert Grosseteste:Augustine of Hippo:,William Tyndale:Huldrych Zwingli:Martin Luther:Henry VIII:John Calvin:Jan Hus:,/wiki/John_Wyclif,54.38,-1.719,AD 1328-11-01 00:00:00
100,Vittorio Alfieri,,,Giacomo Leopardi:,/wiki/Vittorio_Alfieri,44.9,8.20694,AD 1749-01-16 00:00:00
101,Jean-Baptiste Say,,,"Claude Henri de Rouvroy, Comte de Saint-Simon:",/wiki/Jean-Baptiste_Say,45.76,4.84,AD 1767-01-05 00:00:00
102,Aimé Césaire,,,Frantz Fanon:,/wiki/Aim%C3%A9_C%C3%A9saire,14.87,-61.12,AD 1913-06-26 00:00:00
103,Klein,,,Leo Strauss:,/wiki/Jacob_Klein_(philosopher),FILL,FILL,FILL
104,Lermontov,,,Lev Shestov:,/wiki/Mikhail_Lermontov,55.75583,37.61722,FILL
105,George Boole, (1815–1864),Aristotle:Leibniz:Newton:Spinoza:,Shannon:MacColl:Keynes:Johnson:Jevons:Shestakov:Peirce:De Morgan:,/wiki/George_Boole,53.23444,-0.53861,AD 1815-11-02 00:00:00
106,Svetozar Marković, (1846–1875),Karl Marx:Nikolai Chernyshevsky:,Ljubodrag Simonović:Nikola Pašić:,/wiki/Svetozar_Markovi%C4%87,43.917,22.3,AD 1846-09-21 00:00:00
107,Alexander of Hales, (died 1245),Aristotle:Bernard of Clairvaux:Peter Lombard:Pseudo-Dionysius:St. Anselm:St. Augustine:Richard of Saint Victor:,Richard Rufus of Cornwall:Bonaventure:Alexander Carpenter:,/wiki/Alexander_of_Hales,52.617,-2.717,AD 1185-11-01 00:00:00
108,Leucippus, (5th century BC),Milesian School:Zeno of Elea:,Democritus:,/wiki/Leucippus,40.933,24.967,FILL
109,Richard of Saint Victor,,,Alexander of Hales:,/wiki/Richard_of_Saint_Victor,FILL,FILL,FILL
110,Jacobin,,,Thomas Paine:,/wiki/Jacobin,FILL,FILL,FILL
111,Bateson,,,Gilles Deleuze:,/wiki/Gregory_Bateson,52.179,0.095,AD 1904-05-09 00:00:00
112,Max Scheler, (1874–1928),Edmund Husserl:Wilhelm Dilthey:Franz Brentano:Rudolf Eucken:Henri Bergson:Theodor Lipps:Carl Stumpf:Blaise Pascal:Georg Simmel:Friedrich Nietzsche:,Viktor Frankl:Nicolai Hartmann:Edith Stein:Karol Wojtyła:Martin Heidegger:Dietrich von Hildebrand:Ortega y Gasset:Maurice Merleau-Ponty:Martin Buber:,/wiki/Max_Scheler,48.133,11.567,AD 1874-08-22 00:00:00
113,Émile Meyerson,,,Gaston Bachelard:,/wiki/%C3%89mile_Meyerson,51.24806,22.57028,AD 1859-02-12 00:00:00
114,Kracauer,,,Theodor Adorno:,/wiki/Siegfried_Kracauer,50.117,8.683,AD 1889-02-08 00:00:00
115,Laozi,,,Martin Heidegger:,/wiki/Laozi,33.86,115.484,BC 0571-01-01 00:00:00
116,Richard Swinburne, (born 1934),Rudolf Carnap:Aristotle:Plato:Carl Hempel:René Descartes:Thomas Aquinas:,Keith Ward:William Lane Craig:Antony Flew:Dean Zimmerman:Brian Davies:,/wiki/Richard_Swinburne,52.49285,-1.968226,AD 1934-12-26 00:00:00
117,Marcus Aurelius, (121–180),Epictetus:Heraclitus:Quintus:Apollonius:Socrates:Sextus of Chaeronea:,Stoic philosophy:,/wiki/Marcus_Aurelius,41.883,12.5,AD 0121-04-26 00:00:00
118,Christoph Martin Wieland,,,Karl Leonhard Reinhold:,/wiki/Christoph_Martin_Wieland,FILL,FILL,FILL
119,Mencius,) (372–289 BC),Zisi:Confucius:,Chinese philosophy:,/wiki/Mencius,35.403,117.007,BC 0372-11-01 00:00:00
120,18th-century English constitution,,,"Charles de Secondat, Baron de Montesquieu:",/wiki/Acts_of_Union_1707,FILL,FILL,FILL
121,Gerald Cohen, (1941–2009),Isaiah Berlin:Karl Marx:John Rawls:Gilbert Ryle:Louis Althusser:,Jonathan Wolff:Will Kymlicka:John Roemer:Larry Temkin:John McMurtry:Michael Otsuka:Euclid Tsakalotos:Alan Carter:,/wiki/Gerald_Cohen,45.50889,-73.55417,AD 1941-04-14 00:00:00
122,Zhou Dunyi,,,Cheng Yi (philosopher):,/wiki/Zhou_Dunyi,,,AD 1017-01-01 00:00:00
123,Hebrew Bible,,,Leo Strauss:,/wiki/Hebrew_Bible,FILL,FILL,FILL
124,Jennifer Hornsby, (born 1951),Donald Davidson:John L. Austin:Bernard Williams:,Rae Langton:Nancy Bauer:,/wiki/Jennifer_Hornsby,,,AD 1951-01-01 00:00:00
125,Jamal al-Din al-Afghani, (1839–1897),Alpharabius:Avempace:Mulla Sadra:Nasir al-Din al-Tusi:Averroes:Mir Damad:Suhrawardi:Avicenna:,Saad Zaghloul:Maulana Azad:Mirza Reza Kermani:Muhammad Abduh:Rashid Rida:,/wiki/Jamal_al-Din_al-Afghani,35.0,71.2,AD 1839-11-01 00:00:00
126,Jan Łukasiewicz,,,Arthur Prior:,/wiki/Jan_%C5%81ukasiewicz,49.83,24.01417,AD 1878-12-21 00:00:00
