name,birth,incoming_links,outgoing_links,page,latitude,longitude
Sextus Empiricus, (2nd/3rd century),Agrippa:Aenesidemus:Pyrrho:Herodotus of Tarsus:Timon of Phlius:,Hegel:Edmund Husserl:Nassim Taleb:Michel de Montaigne:Friedrich Nietzsche:David Hume:Descartes:,/wiki/Sextus_Empiricus,FILL,FILL
al-Masihi,,,Avicenna:,/wiki/Abu_Sahl_%27Isa_ibn_Yahya_al-Masihi,FILL,FILL
Domingo Faustino Sarmiento,,,Mario Bunge:,/wiki/Domingo_Faustino_Sarmiento,FILL,FILL
Nicolas Chamfort,,,Emil Cioran:,/wiki/Nicolas_Chamfort,FILL,FILL
Andre Breton,,,Guy Debord:,/wiki/Andr%C3%A9_Breton,FILL,FILL
Herman Boerhaave,,,Julien Offray de La Mettrie:,/wiki/Herman_Boerhaave,FILL,FILL
Herbert Marcuse, (1898–1979),Friedrich Pollock:Immanuel Kant:Edmund Husserl:Friedrich Engels:Martin Heidegger:Karl Marx:Sigmund Freud:Theodor W. Adorno:G. W. F. Hegel:Max Horkheimer:Friedrich Nietzsche:,Jürgen Habermas:Xi Jinping:Douglas Kellner:Emerita Quito:Andrew Feenberg:Bob Black:Angela Davis:George Katsiaficas:Norman O. Brown:Abbie Hoffman:,/wiki/Herbert_Marcuse,FILL,FILL
Benjamin Tucker, (1854–1939),Spencer:Bakunin:Jefferson:Proudhon:Warren:Spooner:Molinari:Ricardo:Smith:Stirner:,Wilson:Meulen:Armand:Mackay:Mella:Rocker:Rothbard:Carson:Cleyre:Chernyi:,/wiki/Benjamin_Tucker,FILL,FILL
Semyon Frank,,,Nikolai Berdyaev:,/wiki/Semyon_Frank,FILL,FILL
Stendhal,,,Friedrich Nietzsche:,/wiki/Stendhal,FILL,FILL
Morris Raphael Cohen, (1880–1947),Josiah Royce:William James:Hugo Münsterberg:,Sidney Hook:Ernest Nagel:,/wiki/Morris_Raphael_Cohen,FILL,FILL
Thomas of Erfurt,,,Martin Heidegger:,/wiki/Modistae#History,FILL,FILL
Kalidasa,,,Johann Gottfried Herder:,/wiki/Kalidasa,FILL,FILL
John of Damascus, (c. 676–749),Basil of Caesarea:Aristotle:Plato:Gregory of Nazianzus:Latin Christianity:Leo the Great:Neoplatonism:John Chrysostum:Cyril of Alexandria:Paul the Apostle:Athanasius of Alexandria:Gregory of Nyssa:,Hesychasm:Eastern:Western:Christian philosophy:Second Council of Nicaea:Scholasticism:,/wiki/John_of_Damascus,FILL,FILL
Simone de Beauvoir, (1908–1986),Kierkegaard:Hegel:Nietzsche:Bergson:Marx:Wollstonecraft:Darwin:Husserl:Sade:Sartre:Leibniz:Freud:Kant:Descartes:Heidegger:,Butler:Kim:Rich:Quito:Sartre:Hoagland:Paglia:Greer:Camus:Friedan:,/wiki/Simone_de_Beauvoir,FILL,FILL
Northrop Frye,,,Stanley Cavell:,/wiki/Northrop_Frye,FILL,FILL
