,name,birth,incoming_links,outgoing_links,page
0,Muhammad Abduh, (1849–1905),Abu al-Mānsūr al-Matūrīdī:Ibn Sina:Jamal ad-Din al-Afghani:Abu Hamīd al-Ghāzāli:Shihāb al-Din Sührawardį:Ibn 'Arabi:,Mohammed al-Ghazali:Mahmud Shaltut:Hassan al-Banna:Muhammad al-Tahir ibn Ashur:Sayyid Qutb:Mustafa al-Maraghi:Rashid Rida:Mahmoud Taleghani:Yusuf al-Qaradawi:Abul Kalam Azad:Muhammad Asad:,/wiki/Muhammad_Abduh
1,Peter Abelard, (1079–1142),Boethius:Aristotle:Porphyry:,Arnold of Brescia:William of Ockham:John of Salisbury:,/wiki/Peter_Abelard
2,Miguel Abensour, (1939–2017),Claude Lefort:,,/wiki/Miguel_Abensour
3,Abhinavagupta, (fl. c. 975–1025),,Lakṣmaṇagupta:Śambhunātha:Bhūtirāja:,/wiki/Abhinavagupta
4,Robert Merrihew Adams, (born 1937),Gottfried Wilhelm Leibniz:Søren Kierkegaard:,,/wiki/Robert_Merrihew_Adams
5,Adelard of Bath, (12th century),Euclid:Aristotle:Plato:Islamic philosophy:,William of Conches:Roger Bacon:Hugh of Saint Victor:Isaac of Stella:Robert Grosseteste:Peter Abelard:,/wiki/Adelard_of_Bath
6,Theodor Adorno, (1903–1969),Spengler:Kracauer:Husserl:Horkheimer:Schoenberg:Cornelius:Baudelaire:Lukács:Proust:Kant:Simmel:Freud:Berg:Kafka:Kierkegaard:Hegel:Nietzsche:Marx:Benjamin:Bloch:Mann:Weber:,Butler:Honneth:Zerzan:Marcuse:Bauman:Geuss:Habermas:Horkheimer:Benjamin:Fisher:Reichelt:Badiou:Jameson:Žižek:,/wiki/Theodor_Adorno
7,Aenesidemus, (1st century BC),Pyrrho:Heraclitus:Timon:,Favorinus:Plutarch:Sextus Empiricus:,/wiki/Aenesidemus
8,Jamal al-Din al-Afghani, (1839–1897),Alpharabius:Avempace:Mulla Sadra:Nasir al-Din al-Tusi:Averroes:Mir Damad:Suhrawardi:Avicenna:,Saad Zaghloul:Maulana Azad:Mirza Reza Kermani:Muhammad Abduh:Rashid Rida:,/wiki/Jamal_al-Din_al-Afghani
9,Agrippa the Sceptic, (1st/2nd century),Aenesidemus:Pyrrho:Timon:,Sextus Empiricus:,/wiki/Agrippa_the_Sceptic
10,Hans Albert, (born 1921),Karl Popper:Max Weber:Karl-Otto Apel:,,/wiki/Hans_Albert
11,Albert of Saxony (philosopher), (c. 1316–1390),Jean Buridan:William of Ockham:Aristotle:Abu'l-Barakāt al-Baghdādī:,,/wiki/Albert_of_Saxony_(philosopher)
12,Albertus Magnus,"), (1193?–1280)",Aristotle:Plato:Pseudo-Dionysius:Proclian:Al-Farabi:Averroes:Jordan of Saxony:Plotinus:Avicenna:Maimonides:Avicebron:,Nicholas of Cusa:Meister Eckhart:Scholasticism:Thomas Aquinas:,/wiki/Albertus_Magnus
13,Alcmaeon of Croton, (5th century BC),Pythagoras:,Calcidius:Aristotle:Galen:Favorinus:Plutarch:Stobaeus:,/wiki/Alcmaeon_of_Croton
14,Alexander of Hales, (died 1245),Aristotle:Bernard of Clairvaux:Peter Lombard:Pseudo-Dionysius:St. Anselm:St. Augustine:Richard of Saint Victor:,Richard Rufus of Cornwall:Bonaventure:Alexander Carpenter:,/wiki/Alexander_of_Hales
15,Samuel Alexander, (1859–1938),Immanuel Kant:Bertrand Russell:T. H. Green:F. H. Bradley:Baruch Spinoza:,Alfred North Whitehead:John Anderson:,/wiki/Samuel_Alexander
16,Louis Althusser, (1918–1990),Niccolò Machiavelli:Georges Canguilhem:Gaston Bachelard:Montesquieu:Jean-Jacques Rousseau:Jean Cavaillès:Karl Marx:Sigmund Freud:Mao Zedong:Jacques Lacan:Vladimir Lenin:G. W. F. Hegel:Baruch Spinoza:Antonio Gramsci:,Mahdi Amel:Jacques Rancière:Richard D. Wolff:Slavoj Žižek:Stephen Resnick:Judith Butler:Michel Foucault:Terry Eagleton:Pierre Bourdieu:Étienne Balibar:Dominique Lecourt:Pierre Macherey:Jacques-Alain Miller:Alain Badiou:Stuart Hall:Anthony Giddens:Giulio Angioni:Gilles Deleuze:Roy Bhaskar:Nicos Poulantzas:,/wiki/Louis_Althusser
17,Ammonius Saccas, (3rd century),Aristotle:Socrates:Plato:,Plotinus:Origen:Hypatia:Tertullian:,/wiki/Ammonius_Saccas
18,Anaxagoras, (died 462 BC),Parmenides:Milesian school:,Archelaus:Pericles:Protagoras:John Stuart Mill:Socrates:,/wiki/Anaxagoras
19,Anaximander, (c. 610 BC–c. 546 BC),Thales of Miletus:,Greek astronomy:Pythagoras:Democritus:Heidegger:Anaximenes:,/wiki/Anaximander
20,Anaximenes of Miletus, (6th century BC),Anaximander:Thales:,Scylax of Caryanda:Leucippus:Heraclitus:Diogenes of Apollonia:,/wiki/Anaximenes_of_Miletus
21,John Anderson (philosopher), (1893–1962),Henry Jones:G. E. Moore:Heraclitus:Bertrand Russell:Samuel Alexander:,John Passmore:David Stove:Hedley Bull:J. L. Mackie:A. J. Baker:Eugene Kamenka:David Armstrong:,/wiki/John_Anderson_(philosopher)
22,G. E. M. Anscombe, (1918–2001),Peter Geach:Ludwig Wittgenstein:Thomas Aquinas:,Charles Taylor:Alasdair MacIntyre:Roger Scruton:Donald Davidson:Michael Dummett:Thomas Nagel:John Searle:Brian Davies:Anthony Kenny:Iris Murdoch:Philippa Foot:,/wiki/G._E._M._Anscombe
23,Anselm of Canterbury, (1034–1109),Boethius:Augustine of Hippo:,Thomas Bradwardine:Bonaventure:William of Ockham:Robert Grosseteste:Duns Scotus:Thomas Aquinas:,/wiki/Anselm_of_Canterbury
24,Antisthenes,NA,Heraclitus:,,/wiki/Antisthenes_(Heraclitean)
25,Karl-Otto Apel, (1922–2017),Immanuel Kant:Martin Heidegger:Charles S. Peirce:Georg Henrik von Wright:Max Horkheimer:,Jürgen Habermas:Vittorio Hösle:Hans-Hermann Hoppe:,/wiki/Karl-Otto_Apel
26,Thomas Aquinas, (1225–1274),St. Paul:Aristotle:Anselm of Canterbury:Plato:Pseudo-Dionysius:Albertus Magnus:Averroes:Socrates:Cicero:Boethius:Al-Ghazali:Avicenna:Maimonides:Augustine of Hippo:,Western philosophy:Catholic theology:Protestant theology:,/wiki/Thomas_Aquinas
27,Arcesilaus, (316–241 BC),Plato:Crantor:Theophrastus:Pyrrho:Socrates:Crates of Athens:Timon of Phlius:Polemo:,Favorinus:Plutarch:Carneades:Lacydes:Clitomachus:Philo of Larissa:Cicero:,/wiki/Arcesilaus
28,Archytas, (428–347 BC),Philolaus:,Menaechmus:Eudoxus of Cnidus:,/wiki/Archytas
29,Hannah Arendt, (1906–1975),Aristotle:Montesquieu:Walter Benjamin:Karl Marx:Heinrich Blücher:Rosa Luxemburg:Karl Jaspers:Socrates:Goethe:Saint Augustine:Kant:Heidegger:,Giorgio Agamben:Elisabeth Young-Bruehl:Seyla Benhabib:Mario Kopić:Jacques Rancière:Emerita Quito:Claude Lefort:Julia Kristeva:,/wiki/Hannah_Arendt
30,Aristippus, (c. 435–366 BC),Socrates:,Epicurus:Michel Onfray:Hegesias:Anniceris:Arete of Cyrene:Theodorus:Aristippus the Younger:,/wiki/Aristippus
31,Aristotle, (384 BC–322 BC),Enlightenment:List of writers influenced by Aristotle:Aquinas:Averroes:Aristotelianism:Western philosophy:,,/wiki/Aristotle
32,David Malet Armstrong, (1926–2014),John Anderson:,,/wiki/David_Malet_Armstrong
33,Antoine Arnauld, (1612–1694),Thomas Bradwardine:Cornelius Jansen:Estius:Bernard of Clairvaux:Aquinas:René Descartes:Augustine:,Gottfried Wilhelm Leibniz:Nicolas Malebranche:Francisque Bouillier:Jacques-Bénigne Bossuet:,/wiki/Antoine_Arnauld
34,Kenneth Arrow, (1921–2017),Alfred Tarski:,,/wiki/Kenneth_Arrow
35,Augustine of Hippo, (354–430),Cyprian:Sallust:Lucan:Lactantius:Hilary of Poitiers:Socrates:Optatus:Anthony:Quintilian:Aristotle:Arnobius:Terence:Virgil:Monica:Ambrose:Cicero:Ticonius:Plato:Seneca the Younger:Stoicism:Plotinus:Paul:Horace:Victorinus:Ambrosiaster:Anaximander:,Western philosophy:Catholic theology:Protestant theology:,/wiki/Augustine_of_Hippo
36,Marcus Aurelius, (121–180),Epictetus:Heraclitus:Quintus:Apollonius:Socrates:Sextus of Chaeronea:,Stoic philosophy:,/wiki/Marcus_Aurelius
37,Sri Aurobindo, (1872–1950),,Ken Wilber:Haridas Chaudhuri:Mirra Alfassa:Auroville:,/wiki/Sri_Aurobindo
38,John Austin (legal philosophy), (1790–1859),Jeremy Bentham:,Joseph Raz:H. L. A. Hart:,/wiki/John_Austin_(legal_philosophy)
39,J. L. Austin, (1911–1960),Aristotle:Immanuel Kant:Plato:Gottfried Wilhelm Leibniz:G. E. Moore:John Cook Wilson:Gilbert Ryle:Harold Arthur Prichard:,Jürgen Habermas:Judith Butler:Stanley Cavell:John Searle:Rom Harré:,/wiki/J._L._Austin
40,Richard Avenarius, (1843–1896),Hume:Kant:,Alexander Bogdanov:Anatoly Lunacharsky:Ernst Mach:William James:,/wiki/Richard_Avenarius
41,Averroes,"), (1126–1198)",Aristotle:Plato:Avempace:Al-Farabi:Socrates:Ibn Bajja:Al-Ghazali:Avicenna:,Marcantonio Zimara:Gaetano da Thiene:Averroism:Siger of Brabant:Marsilius of Padua:Pietro Pomponazzi:Samuel ibn Tibbon:John of Jandun:Boethius of Dacia:Al-Bitruji:Agostino Nifo:Maimonides:Thomas Aquinas:,/wiki/Averroes
42,Avicenna,"), (980–1037)",Aristotle:Galen:Al-Biruni:Abul Hasan Hankari:Neoplatonism:al-Masihi:al-Farabi:Rhazes:Hippocrates:,Ibn Rushd:Omar Khayyám:Shahab al-Din Suhrawardi:Al-Biruni:Albertus Magnus:Tusi:Duns Scotus:Aquinas:Abu 'Ubayd al-Juzjani:Enlightenment philosophers:Hossein Nasr:René Descartes:Ibn Tufail:William of Ockham:Ibn al-Nafis:Maimonides:,/wiki/Avicenna
43,Alfred Ayer, (1910–1989),Immanuel Kant:Vienna Circle:Karl Popper:Ludwig Wittgenstein:Bertrand Russell:Voltaire:David Hume:,Mihailo Marković:Peter Strawson:Peter Unger:Ted Honderich:R. M. Hare:,/wiki/Alfred_Ayer
44,Gaston Bachelard, (1884–1962),Charles Nodier:Auguste Comte:Émile Meyerson:Carl Jung:Abel Rey:Léon Brunschvicg:Max Picard:,Georges Canguilhem:Rogelio Salmona:Nader El-Bizri:Michel Foucault:François Dagognet:Don Ihde:Cornelius Castoriadis:Gilbert Durand:Alexandre Koyré:Pierre Bourdieu:Gilles Deleuze:Dominique Lecourt:Louis Althusser:Michel Serres:Maurice Merleau-Ponty:Jules Vuillemin:,/wiki/Gaston_Bachelard
45,Francis Bacon, (1561–1626),Aristotle:Paracelsus:Telesio:Plato:Biringuccio:Roger Bacon:William Gilbert:Michel de Montaigne:Palissy:Machiavelli:Cicero:,Feliks Koneczny:Thomas Hobbes:Isaac Newton:John Locke:Voltaire:Thomas Jefferson:Basil Montagu:Robert Boyle:Encyclopédistes:Jean-Jacques Rousseau:William Petty:,/wiki/Francis_Bacon
46,Roger Bacon, (1214–1294),Al Kindi:Aristotle:Adam Marsh:Albumasar:Averroes:Avicenna:William of Sherwood:Ibn al-Haytham:Robert Grosseteste:Al Farabi:,Francis Bacon:Juan Bautista Alberdi:Thomas Hobbes:,/wiki/Roger_Bacon
47,Alain Badiou, (born 1937) ,G. W. F. Hegel:Georges Canguilhem:Jean Hyppolite:Mao Zedong:Vladimir Lenin:Sylvain Lazarus:Plato:Stéphane Mallarmé:Karl Marx:Fernando Pessoa:Samuel Beckett:Jacques Lacan:Paul Cohen:Jean-François Lyotard:Gilles Deleuze:Louis Althusser:Friedrich Nietzsche:Jean-Paul Sartre:Georg Cantor:,Ray Brassier:Peter Hallward:Quentin Meillassoux:Mehdi Belhaj Kacem:Jason Barker:Justin Clemens:Nina Power:François Laruelle:Simon Critchley:Alberto Toscano:Tristan Garcia:Oliver Feltham:Sylvain Lazarus:Slavoj Žižek:,/wiki/Alain_Badiou
48,Hibat Allah Abu'l-Barakat al-Baghdaadi, (1080–1165),Ibn Sina:,Fakhr al-Din al-Razi:Shahab al-Din Suhrawardi:Abraham Ibn Ezra:Samauʼal Al-Maghribī:Jean Buridan:Albert of Saxony:Ibn Kammuna:,/wiki/Hibat_Allah_Abu%27l-Barakat_al-Baghdaadi
49,Annette Baier, (1929–2012),Wilfrid Sellars:David Hume:,,/wiki/Annette_Baier
50,Kurt Baier, (1917–2010),Stephen Toulmin:,Stephen Darwall:,/wiki/Kurt_Baier
51,Mikhail Bakhtin, (1895–1975),Immanuel Kant:Fyodor Dostoyevsky:Søren Kierkegaard:Charles Darwin:Max Scheler:Ernst Cassirer:Karl Marx:Sigmund Freud:F. F. Zelinsky:Hermann Cohen:Friedrich Nietzsche:,Tzvetan Todorov:Julia Kristeva:,/wiki/Mikhail_Bakhtin
52,Mikhail Bakunin, (1814–1876),Hegel:Marx:Proudhon:Feuerbach:Herzen:Buonarroti:,Neill:Malatesta:Marcuse:Thompson:Guérin:Korsch:Chomsky:Postman:Kropotkin:Cafiero:Nechaev:Goldman:,/wiki/Mikhail_Bakunin
53,Étienne Balibar, (born 1942),Jean Hippolyte:Jacques Derrida:Georg Wilhelm Friedrich Hegel:Michel Foucault:Karl Marx:Nicos Poulantzas:Vladimir Lenin:Hannah Arendt:Jean Jacques Rousseau:Louis Althusser:Baruch Spinoza:,John Milios:Stephen Resnick:Slavoj Žižek:Jacques Rancière:,/wiki/%C3%89tienne_Balibar
54,Roland Barthes, (1915–1980),Nietzsche:Lacan:Bataille:Michelet:Lyotard:Marx:Saussure:Valéry:Sartre:Freud:,Benoît Peeters:James Wood:Michel Foucault:Gérard Genette:Susan Sontag:Stuart Hall:Jean Baudrillard:Eric de Kuyper:Philippe-Joseph Salazar:Julia Kristeva:,/wiki/Roland_Barthes
55,Georges Bataille, (1897–1962),Alexandre Kojève:Émile Durkheim:Lev Shestov:Karl Marx:Sigmund Freud:Marcel Mauss:Maria de Naglowska:René Guénon:Friedrich Nietzsche:G. W. F. Hegel:Marquis de Sade:,Giorgio Agamben:Michel Leiris:Jacques Derrida:Maurice Blanchot:Guy Debord:Michel Onfray:Michel Foucault:Roland Barthes:Jacques Lacan:Nick Land:Jean Baudrillard:Julia Kristeva:,/wiki/Georges_Bataille
56,Jean Baudrillard, (1929–2007) ,Alfred Jarry:Guy Debord:Marshall McLuhan:Michel Foucault:Henri Lefebvre:Ferdinand de Saussure:Karl Marx:Soren Kierkegaard:Jorge Luis Borges:Roland Barthes:Marcel Mauss:Georges Bataille:Friedrich Nietzsche:Thorstein Veblen:,Slavoj Žižek:Cody Wilson:Gerald Vizenor:Mario Perniola:The Wachowskis:Gilles Lipovetsky:Nick Land:Peter Halley:Byung-Chul Han:Sophie Calle:,/wiki/Jean_Baudrillard
57,Bruno Bauer, (1809–1882),David Strauss:Arthur de Gobineau:Ludwig Feuerbach:G. W. F. Hegel:Max Stirner:,Charles Darwin:Friedrich Engels:Arthur Drews:Karl Marx:Sigmund Freud:Karl Kautsky:Friedrich Nietzsche:Max Stirner:,/wiki/Bruno_Bauer
58,Alexander Gottlieb Baumgarten, (1714–1762),Christian Wolff:Gottfried Leibniz:,Immanuel Kant:Johann Joachim Winckelmann:Georg Friedrich Meier:Johann Georg Sulzer:,/wiki/Alexander_Gottlieb_Baumgarten
59,Pierre Bayle, (1647–1706),Descartes:Spinoza:,Gibbon:Berkeley:Maupertuis:Toland:Mandeville:Condorcet:Diderot:Voltaire:Vico:des Maizeaux:Hume:Frederick the Great:Jean-Jacques Rousseau:,/wiki/Pierre_Bayle
60,Jakob Sigismund Beck, (1761–1840),Johann Schultz:Immanuel Kant:Christian Jakob Kraus:,,/wiki/Jakob_Sigismund_Beck
61,Nuel Belnap, (born 1930),Frederic Fitch:Arthur Pap:Paul Weiss:,,/wiki/Nuel_Belnap
62,Friedrich Eduard Beneke, (1798–1854),John Locke:Immanuel Kant:,Johann Gottlieb Dressler:eo:Karl Fortlage:J. D. Morell:Friedrich Ueberweg:,/wiki/Friedrich_Eduard_Beneke
63,Walter Benjamin, (1892–1940),Eric Gutkind:Kabbalah:Buber:Marx:Hölderlin:Brecht:Strauss:Bachofen:Novalis:Ludwig Klages:Rickert:Baudelaire:Lukács:Proust:Scholem:Kafka:Adorno:,Perret:Löwy:Derrida:Arendt:Sontag:Agamben:Nirenberg:Scholem:Taussig:Buck-Morss:Žižek:Adorno:,/wiki/Walter_Benjamin
64,Jeremy Bentham, (1748–1832),Helvétius:Beccaria:Montesquieu:Adam Smith:Protagoras:John Locke:Hobbes:David Hume:Epicurus:,A. V. Dicey:Henry Sidgwick:Étienne Dumont:Michel Foucault:William Thompson:Francis Y. Edgeworth:John Stuart Mill:Robert Owen:Peter Singer:John Austin:H. L. A. Hart:Thomas Hodgskin:,/wiki/Jeremy_Bentham
65,Nikolai Berdyaev, (1874–1948),Nietzsche:Solovyov:Baader:Hegel:Sergey Bulgakov:Seraphim of Sarov:Khomyakov:Lev Shestov:Semyon Frank:Dostoyevsky:Leontiev:Böhme:Kant:,Ellul:Marcel:Sergey Bulgakov:Mortimer J. Adler:Kroner:Huxley:Watts:Džalto:Semyon Frank:Ivan Devčić:Maurin:,/wiki/Nikolai_Berdyaev
66,Gustav Bergmann, (1906–1987),Friedrich Waismann:Walther Mayer:Rudolf Carnap:Moritz Schlick:,John O'Neill:Berlin Circle:Vienna Circle:,/wiki/Gustav_Bergmann
67,Henri Bergson, (1859–1941),Arthur Schopenhauer:Immanuel Kant:Charles Darwin:Gottfried Wilhelm Leibniz:William James:Herbert Spencer:Spinoza:Plotinus:Maine de Biran:Félix Ravaisson-Mollien:,Henry Miller:Vladimir Jankélévitch:Emmanuel Levinas:Émile Bréhier:Nikos Kazantzakis:Maurice Merleau-Ponty:Emmanuel Mounier:Guy Debord:Jawaharlal Nehru:Robert Frost:Necip Fazıl Kısakürek:Alfred North Whitehead:Marcel Proust:Aldous Huxley:Liang Shuming:Édouard Le Roy:Michel Aflaq:Alfred Schütz:Anna-Teresa Tymieniecka:Muhammad Iqbal:Gabriel Marcel:Jacques Maritain:Vladimir Nabokov:Nurettin Topçu:Wyndham Lewis:Gilles Deleuze:Jean-Paul Sartre:,/wiki/Henri_Bergson
68,George Berkeley, (1685–1753),John Locke:Isaac Newton:Bayle:Nicolas Malebranche:,Arthur Schopenhauer:Immanuel Kant:Ernst Mach:Jorge Luis Borges:John Stuart Mill:David Hume:Thomas Reid:,/wiki/George_Berkeley
69,Isaiah Berlin, (1909–1997),Benjamin Constant:Charles Darwin:Lev Shestov:Johann Georg Hamann:Karl Marx:Leo Tolstoy:Ludwig Wittgenstein:Sigmund Freud:John Stuart Mill:Johann Gottfried Herder:Giambattista Vico:Alexander Herzen:Denis Diderot:Friedrich Nietzsche:Gotthold Ephraim Lessing:,Stephen Jay Gould:John Gray:Joxe Azurmendi:Mark Lilla:Michael Ignatieff:John Rawls:William Galston:,/wiki/Isaiah_Berlin
70,Eduard Bernstein, (1850–1932),Hegel:Marx:Jean Jaurès:Karl Höchberg:Karl Kautsky:Kant:Engels:,Marxist revisionists:SPD:,/wiki/Eduard_Bernstein
71,Bessarion, (1403–1472),Gemistus Pletho:,John Argyropoulos:George of Trebizond:Theodore Gaza:Janus Lascaris:Regiomontanus:,/wiki/Bessarion
72,Max Black, (1909–1988),Frank P. Ramsey:G. E. Moore:Ludwig Wittgenstein:Bertrand Russell:L. Susan Stebbing:,Anton Friedrich Koch:Keith Donnellan:,/wiki/Max_Black
73,Simon Blackburn, (born 1944),David Hume:Casimir Lewy:Michael Dummett:,Michael A. Smith:,/wiki/Simon_Blackburn
74,Maurice Blanchot, (1907–2003),Nietzsche:Lautréamont:Bataille:Levinas:Hölderlin:Sade:Maurras:Mallarmé:Heidegger:Kafka:,de Man:Barthes:Joris:Auster:Kofman:Hill:Derrida:Beckett:Nancy:Foucault:Deleuze:Kopić:,/wiki/Maurice_Blanchot
75,Brand Blanshard, (1892–1987),Josiah Royce:Bernard Bosanquet:William Pepperell Montague:F. H. Bradley:Horace W. B. Joseph:Clarence Irving Lewis:,James A. Michener:A. C. Ewing:,/wiki/Brand_Blanshard
76,Ernst Bloch (philosopher), (1885–1977),Paracelsus:Jacob Boehme:Karl Marx:Thomas Müntzer:Heinrich Rickert:G. W. F. Hegel:,Walter Benjamin:Theodor W. Adorno:Emmanuel Levinas:Jürgen Moltmann:Ernesto Balducci:Fredric Jameson:,/wiki/Ernst_Bloch_(philosopher)
77,Ned Block, (born 1942),Alan Turing:Hilary Putnam:,,/wiki/Ned_Block
78,Maurice Blondel, (1861–1949),Émile Boutroux:,,/wiki/Maurice_Blondel
79,Norberto Bobbio, (1909–2004),Piero Gobetti:Vilfredo Pareto:Carlo Rosselli:Carlo Cattaneo:Luigi Einaudi:Benedetto Croce:Hans Kelsen:Giorgio Del Vecchio:,José Guilherme Merquior:Celso Lafer:Tercio Sampaio Ferraz Jr.:Luiz Carlos Bresser-Pereira:,/wiki/Norberto_Bobbio
80,Jean Bodin, (1530–1596),Petrus Ramus:,Eric Voegelin:Giovanni Botero:Hugo Grotius:Montesquieu:,/wiki/Jean_Bodin
81,Jakob Böhme, (1575–1624),Paracelsus:Kaspar von Schwenkfeld:Valentine Weigel:,Hegel:Friedrich Wilhelm Joseph Schelling:John Amos Comenius:Paul Tillich:John Pordage:Schopenhauer:Nikolai Berdyaev:,/wiki/Jakob_B%C3%B6hme
82,Bernard Bolzano, (1781–1848),Gottfried Wilhelm Leibniz:Immanuel Kant:,Kevin Mulligan:Kazimierz Twardowski:Edmund Husserl:Heinrich Scholz:Jean Cavaillès:Franz Brentano:Benno Kerry:Carl Stumpf:Gilbert Ryle:Gottlob Frege:Georg Cantor:,/wiki/Bernard_Bolzano
83,Louis Gabriel Ambroise de Bonald, (1754–1840),Augustine of Hippo:Aristotle:Chateaubriand:Goldsmith:Plato:Pascal:Malebranche:Tacitus:Bossuet:Malthus:Socrates:Hénault:Joseph de Maistre:Leibniz:Rousseau:Thomas Aquinas:,Durkheim:Joseph de Maistre:Léon Duguit:Charles Maurras:Juan Donoso Cortés:Carl Schmitt:Balzac:Comte:Louis Veuillot:Lamennais:René de La Tour du Pin:Frédéric Le Play:Chateaubriand:Julius Evola:,/wiki/Louis_Gabriel_Ambroise_de_Bonald
84,Bonaventure, (1221–1274),Aristotle:Anselm of Canterbury:Pseudo-Dionysius:Alexander of Hales:St. Augustine:Stoicism:Cicero:Avicebron:,John of the Cross:Nicholas of Cusa:Hans Urs von Balthasar:Peter John Olivi:Josef Ratzinger:,/wiki/Bonaventure
85,George Boole, (1815–1864),Aristotle:Leibniz:Newton:Spinoza:,Shannon:MacColl:Keynes:Johnson:Jevons:Shestakov:Peirce:De Morgan:,/wiki/George_Boole
86,Bernard Bosanquet (philosopher), (1848–1923),F. H. Bradley:Hermann Lotze:John Stuart Mill:G. W. F. Hegel:,,/wiki/Bernard_Bosanquet_(philosopher)
87,Pierre Bourdieu, (1930–2002),Merleau-Ponty:Cassirer:Pascal:Husserl:Kant:Canguilhem:Aron:Elias:Durkheim:Saussure:Darwin:Gouhier:Althusser:Sartre:Bachelard:Freud:Wittgenstein:Foucault:Panofsky:Nietzsche:Mauss:Lévi-Strauss:Strawson:Marx:Heidegger:Weber:,Loïc Wacquant:Antanas Mockus:Édouard Louis:Béatrice Galinon-Mélénec:Anthony Giddens:Didier Eribon:,/wiki/Pierre_Bourdieu
88,Emile Boutroux, (1845–1921),Maine de Biran:,Émile Durkheim:Maurice Blondel:,/wiki/Emile_Boutroux
89,Borden Parker Bowne, (1847–1910),Immanuel Kant:George Berkeley:Hermann Lotze:Gottfried Wilhelm Leibniz:René Descartes:,Randall Auxier:T. C. Chao:John W. E. Bowen Sr.:Walter George Muelder:,/wiki/Borden_Parker_Bowne
90,Robert Boyle, (1627–1691),Samuel Hartlib:Evangelista Torricelli:Otto von Guericke:Francis Bacon:Katherine Boyle Jones:Galileo Galilei:,,/wiki/Robert_Boyle
91,F. H. Bradley, (1846–1924),Immanuel Kant:Hermann Lotze:Johann Gottlieb Fichte:G. W. F. Hegel:F. W. J. Schelling:,James Ward:C. A. Campbell:T. S. Eliot:Alfred North Whitehead:Bernard Bosanquet:,/wiki/F._H._Bradley
92,Thomas Bradwardine, (c. 1290–1349),Robert Grosseteste:Anselm of Canterbury:,Jean Buridan:,/wiki/Thomas_Bradwardine
93,Richard-Bevan Braithwaite, (1900–1990),G. E. Moore:,Stephen Toulmin:Imre Lakatos:,/wiki/Richard-Bevan_Braithwaite
94,Richard B. Brandt, (1910–1997),,Peter Railton:Allan Gibbard:,/wiki/Richard_B._Brandt
95,Franz Brentano, (1838–1917),Bernard Bolzano:Aristotle:Friedrich Adolf Trendelenburg:,Christian von Ehrenfels:Kazimierz Twardowski:Edmund Husserl:Martin Heidegger:Carl Menger:Alexius Meinong:Sigmund Freud:Tomáš Garrigue Masaryk:Vittorio Benussi:Carl Stumpf:George Stout:Rudolf Steiner:Anton Marty:,/wiki/Franz_Brentano
96,Edgar S. Brightman, (1884–1953),William Ernest Hocking:Borden Parker Bowne:,L. Harold DeWolf:,/wiki/Edgar_S._Brightman
97,C. D. Broad, (1887–1971),G. E. Moore:Alfred North Whitehead:William Ernest Johnson:Bertrand Russell:John Locke:,A. J. Ayer:,/wiki/C._D._Broad
98,Emil Brunner, (1889–1966),Leonhard Ragaz:Immanuel Kant:Søren Kierkegaard:Edmund Husserl:Martin Luther:John Calvin:Martin Buber:,,/wiki/Emil_Brunner
99,Giordano Bruno, (1548–1600),Nicolaus Copernicus:Nicolaus Cusanus:Averroes:,Arthur Schopenhauer:James Joyce:Gottfried Wilhelm Leibniz:Molière:Baruch Spinoza:Galileo Galilei:,/wiki/Giordano_Bruno
100,Leon Brunschvicg, (1869–1944),Arthur Schopenhauer:Immanuel Kant:Michel de Montaigne:René Descartes:Charles Renouvier:Blaise Pascal:,Gaston Bachelard:Louis Lavelle:Jean Cavaillès:Raymond Aron:Alexandre Koyré:,/wiki/Leon_Brunschvicg
101,Martin Buber, (1878–1965),Immanuel Kant:Pierre-Joseph Proudhon:Søren Kierkegaard:Wilhelm Dilthey:Jacob L. Moreno:Sigmund Freud:Ludwig Feuerbach:Rudolf Bultmann:Ralph Waldo Emerson:Georg Simmel:Friedrich Nietzsche:Zhuangzi:,Abraham Joshua Heschel:Hans Urs von Balthasar:Gabriel Marcel:Franz Rosenzweig:Emmanuel Levinas:Emil Brunner:John Berger:Fritz Perls:Walter Kaufmann:Laura Perls:,/wiki/Martin_Buber
102,Justus Buchler, (1914–1991),Peirce:,Beth J. Singer:Stephen David Ross:Robert S. Corrington:Kathleen A. Wallace:Armen Marsoobian:Victorino Tejera:Christopher Phillips:,/wiki/Justus_Buchler
103,Ludwig Büchner, (1824–1899),Charles Darwin:,,/wiki/Ludwig_B%C3%BCchner
104,Rudolf Bultmann, (1884–1976),John Robinson:Heinrich Schlier:de:John Shelby Spong:Uta Ranke-Heinemann:Herbert Braun:,,/wiki/Rudolf_Bultmann
105,Mario Bunge, (1919–2020),Guido Beck:Manuel Sadosky:Friedrich Engels:Gino Germani:Domingo Faustino Sarmiento:Ludwig von Bertalanffy:Alberto González Domínguez:Bertrand Russell:David Hilbert:Robert K. Merton:Emile Meyerson:,,/wiki/Mario_Bunge
106,Jacob Burckhardt, (1818–1897),Jules Michelet:,Friedrich Nietzsche:Johan Huizinga:,/wiki/Jacob_Burckhardt
107,Tyler Burge, (born 1946),Gottlob Frege:Immanuel Kant:Donald Davidson:Hilary Putnam:,,/wiki/Tyler_Burge
