,name,birth,incoming_links,outgoing_links,page
2119,Edie,NA,Maurice Merleau-Ponty:,,/wiki/James_M._Edie
2120,Giorgi,NA,Maurice Merleau-Ponty:,,/wiki/Amedeo_Gi
2121,Guenther,NA,Maurice Merleau-Ponty:,,/wiki/Lisa_Guenther
2122,Johnson,NA,Maurice Merleau-Ponty:,,/wiki/Galen_Johnson
2123,Lawlor,NA,Maurice Merleau-Ponty:,,/wiki/Leonard_Lawlor
2124,Manha,NA,Maurice Merleau-Ponty:,,/wiki/Heo_Manha
2125,McClamrock,NA,Maurice Merleau-Ponty:,,/wiki/Ron_McClamrock
2126,Schillebeeckx,NA,Maurice Merleau-Ponty:,,/wiki/Edward_Schillebeeckx
2127,Thảo,NA,Maurice Merleau-Ponty:,,/wiki/Tran_Duc_Thao
2128,Vesely,NA,Maurice Merleau-Ponty:,,/wiki/Dalibor_Vesely
2129,Cliff Slaughter,NA,István Mészáros (philosopher):,,/wiki/Cliff_Slaughter
2130,Demosthenes,NA,,John Stuart Mill:,/wiki/Demosthenes
2131,Francis Place,NA,,John Stuart Mill:,/wiki/Francis_Place
2132,Senior,NA,,John Stuart Mill:,/wiki/Nassau_William_Senior
2133,Utopian Socialists,NA,,John Stuart Mill:,/wiki/Utopian_socialism
2134,Marmontel,NA,,John Stuart Mill:,/wiki/Jean-Fran%C3%A7ois_Marmontel
2135,Social liberalism,NA,John Stuart Mill:,,/wiki/Social_liberalism
2136,Crisp,NA,John Stuart Mill:,,/wiki/Roger_Crisp
2137,William Lane Craig,NA,Luis de Molina:,,/wiki/William_Lane_Craig
2138,Western Theology,NA,Luis de Molina:,,/wiki/Western_Christianity
2139,Isaac Asimov,NA,Michel de Montaigne:,,/wiki/Isaac_Asimov
2140,Albert Hirschman,NA,Michel de Montaigne:,,/wiki/Albert_O._Hirschman
2141,Eric Hoffer,NA,Michel de Montaigne:,,/wiki/Eric_Hoffer
2142,Alexander Pushkin,NA,Michel de Montaigne:,,/wiki/Alexander_Pushkin
2143,José Saramago,NA,Michel de Montaigne:,,/wiki/Jos%C3%A9_Saramago
2144,Virginia Woolf,NA,Michel de Montaigne:,,/wiki/Virginia_Woolf
2145,Fulton Sheen,NA,Michel de Montaigne:,,/wiki/Fulton_J._Sheen
2146,Gore Vidal,NA,Michel de Montaigne:,,/wiki/Gore_Vidal
2147,Stefan Zweig,NA,Michel de Montaigne:,,/wiki/Stefan_Zweig
2148,18th-century English constitution,NA,,"Charles de Secondat, Baron de Montesquieu:",/wiki/Acts_of_Union_1707
2149,United States Constitution,NA,"Charles de Secondat, Baron de Montesquieu:",,/wiki/Constitution_of_the_United_States
2150,Prosper de Barante,NA,"Charles de Secondat, Baron de Montesquieu:",,"/wiki/Amable_Guillaume_Prosper_Brugi%C3%A8re,_baron_de_Barante"
2151,W. D. Ross,NA,G. E. Moore:,,/wiki/W._D._Ross
2152,Amerigo Vespucci,NA,,Thomas More:,/wiki/Amerigo_Vespucci
2153,Henri Laborit,NA,,Edgar Morin:,/wiki/Henri_Laborit
2154,Heinz von Foerster,NA,,Edgar Morin:,/wiki/Heinz_von_Foerster
2155,Henri Atlan,NA,,Edgar Morin:,/wiki/Henri_Atlan
2156,René Thom,NA,,Edgar Morin:,/wiki/Ren%C3%A9_Thom
2157,Gotthard Günther,NA,,Edgar Morin:,/wiki/Gotthard_G%C3%BCnther
2158,Léon Brillouin,NA,,Edgar Morin:,/wiki/L%C3%A9on_Brillouin
2159,Gaetano Salvemini,NA,Gaetano Mosca:,,/wiki/Gaetano_Salvemini
2160,Robert Michels,NA,Gaetano Mosca:,,/wiki/Robert_Michels
2161,Seymour Martin Lipset,NA,Gaetano Mosca:,,/wiki/Seymour_Martin_Lipset
2162,James Burnham,NA,Gaetano Mosca:,,/wiki/James_Burnham
2163,Samuel T. Francis,NA,Gaetano Mosca:,,/wiki/Samuel_T._Francis
2164,Jacques Chevalier,NA,,Emmanuel Mounier:,/wiki/Jacques_Chevalier
2165,Charles Péguy,NA,,Emmanuel Mounier:,/wiki/Charles_P%C3%A9guy
2166,Marc Sangnier,NA,,Emmanuel Mounier:,/wiki/Marc_Sangnier
2167,Ngo Dinh Nhu,NA,Emmanuel Mounier:,,/wiki/Ng%C3%B4_%C4%90%C3%ACnh_Nhu
2168,Abbé Pierre,NA,Emmanuel Mounier:,,/wiki/Abb%C3%A9_Pierre
2169,Pierre Trudeau,NA,Emmanuel Mounier:,,/wiki/Pierre_Trudeau
2170,Logicians,NA,Mozi:,,/wiki/School_of_Names
2171,Imam Ali,NA,,Mulla Sadra:,/wiki/Ali
2172,Bahāʾ al-dīn al-ʿĀmilī,NA,,Mulla Sadra:,/wiki/Baha%27_al-din_al-%27Amili
2173,Hadi Sabzavari,NA,Mulla Sadra:,,/wiki/Hadi_Sabzavari
2174,Ruhollah Khomeini,NA,Mulla Sadra:,,/wiki/Ruhollah_Khomeini
2175,Morteza Motahhari,NA,Mulla Sadra:,,/wiki/Morteza_Motahhari
2176,Gholamhossein Ebrahimi Dinani,NA,Mulla Sadra:,,/wiki/Gholamhossein_Ebrahimi_Dinani
2177,Rachel Carson,NA,,Arne Næss:,/wiki/Rachel_Carson
2178,P. Suppes,NA,Ernest Nagel:,,/wiki/Patrick_Suppes
2179,I. Levi,NA,Ernest Nagel:,,/wiki/Isaac_Levi
2180,H. Kyburg,NA,Ernest Nagel:,,/wiki/Henry_E._Kyburg_Jr.
2181,Esposito,NA,Jean-Luc Nancy:,,/wiki/Roberto_Esposito
2182,Claire Denis,NA,Jean-Luc Nancy:,,/wiki/Claire_Denis
2183,Divya Dwivedi,NA,Jean-Luc Nancy:,,/wiki/Divya_Dwivedi
2184,Karimi,NA,Jean-Luc Nancy:,,/wiki/Ahmad_Milad_Karimi
2185,Werner Hamacher,NA,Jean-Luc Nancy:,,/wiki/Werner_Hamacher
2186,Todd May,NA,Jean-Luc Nancy:,,/wiki/Todd_May
2187,Shaj Mohan,NA,Jean-Luc Nancy:,,/wiki/Shaj_Mohan
2188,Mario Tronti,NA,,Antonio Negri:,/wiki/Mario_Tronti
2189,Galvano Della Volpe,NA,,Antonio Negri:,/wiki/Galvano_Della_Volpe
2190,Jacques Camatte,NA,,Antonio Negri:,/wiki/Jacques_Camatte
2191,Richard J. F. Day,NA,Antonio Negri:,,/wiki/Gramsci_Is_Dead
2192,Leopoldina Fortunati,NA,Antonio Negri:,,/wiki/Leopoldina_Fortunati
2193,Hugo Chávez,NA,Antonio Negri:,,/wiki/Hugo_Ch%C3%A1vez
2194,Neo-Kantianism,NA,,Leonard Nelson:,/wiki/Neo-Kantianism
2195,Ernst Friedrich Apelt,NA,,Leonard Nelson:,/wiki/Ernst_Friedrich_Apelt
2196,Gerhard Hessenberg,NA,,Leonard Nelson:,/wiki/Gerhard_Hessenberg
2197,Minna Specht,NA,Leonard Nelson:,,/wiki/Minna_Specht
2198,Paul Bernays,NA,Leonard Nelson:,,/wiki/Paul_Bernays
2199,Kurt Grelling,NA,Leonard Nelson:,,/wiki/Kurt_Grelling
2200,James George Frazer,NA,,Otto Neurath:,/wiki/James_Ge
2201,Tractarianism,NA,,John Henry Newman:,/wiki/Oxford_Movement
2202,Damião de Góis,NA,,John Henry Newman:,/wiki/Dami%C3%A3o_de_G%C3%B3is
2203,Keble,NA,,John Henry Newman:,/wiki/John_Keble
2204,Marquis de Lafayette,NA,,John Henry Newman:,"/wiki/Gilbert_du_Motier,_Marquis_de_Lafayette"
2205,Klemens von Metternich,NA,,John Henry Newman:,/wiki/Klemens_von_Metternich
2206,Richard Whately,NA,,John Henry Newman:,/wiki/Richard_Whately
2207,Montalembert,NA,,John Henry Newman:,/wiki/Charles_Forbes_Ren%C3%A9_de_Montalembert
2208,Charles Dickens,NA,John Henry Newman:,,/wiki/Charles_Dickens
2209,Francis,NA,John Henry Newman:,,/wiki/Pope_Francis
2210,Gerard Manley Hopkins,NA,John Henry Newman:,,/wiki/Gerard_Manley_Hopkins
2211,Ronald Knox,NA,John Henry Newman:,,/wiki/Ronald_Knox
2212,Leo XIII,NA,John Henry Newman:,,/wiki/Pope_Leo_XIII
2213,Flannery O'Connor,NA,John Henry Newman:,,/wiki/Flannery_O%27Connor
2214,Jaroslav Pelikan,NA,John Henry Newman:,,/wiki/Jaroslav_Pelikan
2215,Linda Trinkaus Zagzebski,NA,John Henry Newman:,,/wiki/Linda_Zagzebski
2216,Mário Ferreira dos Santos,NA,Nicholas of Cusa:,,/wiki/M%C3%A1rio_Ferreira_dos_Santos
2217,Roberto Mangabeira Unger,NA,Nicholas of Cusa:,,/wiki/Roberto_Mangabeira_Unger
2218,Harry Mulisch,NA,Nicholas of Cusa:,,/wiki/Harry_Mulisch
2219,James W. Fowler,NA,H. Richard Niebuhr:,,/wiki/James_W._Fowler
2220,James Gustafson,NA,H. Richard Niebuhr:,,/wiki/James_Gustafson
2221,Gordon Kaufman,NA,H. Richard Niebuhr:,,/wiki/Gordon_D._Kaufman
2222,Zoroaster,NA,,Friedrich Nietzsche:,/wiki/Zoroaster
2223,Archilochus,NA,,Friedrich Nietzsche:,/wiki/Archilochus
2224,Theognis of Megara,NA,,Friedrich Nietzsche:,/wiki/Theognis_of_Megara
2225,Pindar,NA,,Friedrich Nietzsche:,/wiki/Pindar
2226,Aeschylus,NA,,Friedrich Nietzsche:,/wiki/Aeschylus
2227,Sophocles,NA,,Friedrich Nietzsche:,/wiki/Sophocles
2228,Euripides,NA,,Friedrich Nietzsche:,/wiki/Euripides
2229,French Moralists,NA,,Friedrich Nietzsche:,/wiki/French_moralists
2230,Stendhal,NA,,Friedrich Nietzsche:,/wiki/Stendhal
2231,Ortlepp,NA,,Friedrich Nietzsche:,/wiki/Ernst_Ortlepp
2232,Sainte-Beuve,NA,,Friedrich Nietzsche:,/wiki/Charles_Augustin_Sainte-Beuve
2233,Maupassant,NA,,Friedrich Nietzsche:,/wiki/Guy_de_Maupassant
2234,Renan,NA,,Friedrich Nietzsche:,/wiki/Ernest_Renan
2235,von Hellwald,NA,,Friedrich Nietzsche:,/wiki/Friedrich_von_Hellwald
2236,Rée,NA,,Friedrich Nietzsche:,/wiki/Paul_R%C3%A9e
2237,Bourget,NA,,Friedrich Nietzsche:,/wiki/Paul_Bourget
2238,Auden,NA,Friedrich Nietzsche:,,/wiki/W._H._Auden
2239,Hamsun,NA,Friedrich Nietzsche:,,/wiki/Knut_Hamsun
2240,Mencken,NA,Friedrich Nietzsche:,,/wiki/H._L._Mencken
2241,Stevens,NA,Friedrich Nietzsche:,,/wiki/Wallace_Stevens
2242,Strindberg,NA,Friedrich Nietzsche:,,/wiki/August_Strindberg
2243,Tönnies,NA,Friedrich Nietzsche:,,/wiki/Ferdinand_T%C3%B6nnies
2244,Weizmann,NA,Friedrich Nietzsche:,,/wiki/Chaim_Weizmann
2245,Yeats,NA,Friedrich Nietzsche:,,/wiki/W._B._Yeats
2246,Hajime Tanabe,NA,Nishida Kitaro:,,/wiki/Hajime_Tanabe
2247,Tosaka Jun,NA,Nishida Kitaro:,,/wiki/Jun_Tosaka
